senario,Number_of_EVs,EV,Arrival,Depart,Type,BatteryCapacity,Distance,Demand,alloc_charger,delay
1,10,1,4.0,17.0,small,16,39.216130265070895,15.0,19,0
1,10,2,3.0,17.0,small,16,35.1714001289365,13.0,19,0
1,10,3,6.0,18.0,truck,70,48.050335353737566,39.0,19,0
1,10,4,11.0,16.0,suv,54,35.78442793291356,21.0,19,0
1,10,5,5.0,16.0,small,16,44.79653093327515,16,4,0
1,10,6,9.0,19.0,small,16,35.7097592902292,14.0,19,0
1,10,7,9.0,16.0,suv,54,30.52018646752103,18.0,19,0
1,10,8,12.0,17.0,suv,54,56.72324378473591,33.0,19,0
1,10,9,11.0,16.0,suv,54,16.41541872708318,9.0,19,0
1,10,10,8.0,19.0,suv,54,24.30944116339287,14.0,19,0
2,10,1,5.0,17.0,suv,54,52.37181558378138,30.0,19,0
2,10,2,12.0,16.0,truck,70,30.946278155067255,25.0,19,0
2,10,3,13.0,16.0,suv,54,29.20822115429033,17.0,19,0
2,10,4,9.0,16.0,truck,70,72.34852572610066,59.0,19,0
2,10,5,11.0,16.0,small,16,61.19171056801969,16,8,0
2,10,6,7.0,17.0,truck,70,51.58998358749287,42.0,19,0
2,10,7,5.0,16.0,small,16,65.87995353927153,16,19,0
2,10,8,9.0,16.0,truck,70,65.66717680051164,54.0,19,0
2,10,9,11.0,17.0,small,16,36.71051505505014,14.0,8,0
2,10,10,13.0,16.0,suv,54,39.091884689602814,22.0,19,0
3,10,1,5.0,17.0,suv,54,61.989371888077926,36.0,19,0
3,10,2,6.0,17.0,small,16,20.467050474049472,8.0,19,0
3,10,3,10.0,17.0,small,16,66.81569589105827,16,19,0
3,10,4,10.0,16.0,sedan,24,49.82808909002709,21.0,19,0
3,10,5,7.0,17.0,truck,70,49.24694838381749,40.0,19,0
3,10,6,4.0,16.0,truck,70,13.170213408654902,11.0,19,0
3,10,7,5.0,17.0,sedan,24,41.561410465389315,18.0,19,0
3,10,8,11.0,17.0,sedan,24,67.6608296154071,24,19,0
3,10,9,13.0,16.0,sedan,24,49.20241906242329,21.0,19,0
3,10,10,9.0,16.0,truck,70,59.73012328586867,49.0,19,0
4,10,1,11.0,16.0,sedan,24,73.55237250900709,24,19,0
4,10,2,10.0,17.0,sedan,24,19.4359221888591,8.0,8,0
4,10,3,9.0,17.0,suv,54,38.208209683243545,22.0,19,0
4,10,4,11.0,17.0,small,16,53.65406681840682,16,8,0
4,10,5,7.0,17.0,small,16,45.31436229929667,16,8,0
4,10,6,7.0,17.0,small,16,17.102420592200378,6.0,8,0
4,10,7,9.0,16.0,truck,70,23.90230078077344,20.0,8,0
4,10,8,8.0,16.0,suv,54,33.912841519875734,19.0,19,0
4,10,9,12.0,17.0,truck,70,27.381461197005198,22.0,19,0
4,10,10,9.0,16.0,sedan,24,27.57138604686988,12.0,19,0
5,10,1,7.0,18.0,truck,70,37.4486958778716,31.0,19,0
5,10,2,10.0,16.0,sedan,24,46.61287658566464,20.0,8,0
5,10,3,9.0,16.0,suv,54,29.520392958648557,17.0,19,0
5,10,4,10.0,17.0,truck,70,42.076741705840696,34.0,19,0
5,10,5,8.0,16.0,suv,54,35.660888132569525,20.0,19,0
5,10,6,4.0,16.0,truck,70,10.873910779927797,9.0,8,0
5,10,7,10.0,17.0,truck,70,39.71804209369278,32.0,19,0
5,10,8,7.0,16.0,suv,54,26.415510772762183,15.0,8,0
5,10,9,8.0,16.0,small,16,37.568789635139986,14.0,8,0
5,10,10,10.0,17.0,sedan,24,37.028471182278736,16.0,8,0
6,10,1,8.0,16.0,small,16,43.03465144244197,16,8,0
6,10,2,7.0,16.0,suv,54,51.14818585191984,29.0,19,0
6,10,3,7.0,17.0,small,16,39.46740819549737,15.0,8,0
6,10,4,8.0,16.0,truck,70,42.21493695047377,35.0,19,0
6,10,5,4.0,16.0,small,16,13.819562541127809,5.0,8,0
6,10,6,6.0,16.0,small,16,40.59006530229499,15.0,8,0
6,10,7,6.0,16.0,truck,70,20.809846733646776,17.0,19,0
6,10,8,8.0,16.0,small,16,45.241906138270785,16,19,0
6,10,9,8.0,16.0,small,16,19.71417262457861,7.0,8,0
6,10,10,9.0,16.0,sedan,24,51.00950895431713,22.0,19,0
7,10,1,7.0,16.0,sedan,24,45.05489706189001,19.0,19,0
7,10,2,9.0,16.0,suv,54,46.492839284840905,27.0,19,0
7,10,3,11.0,17.0,small,16,57.94071053367661,16,8,0
7,10,4,8.0,16.0,suv,54,37.77633816755154,22.0,8,0
7,10,5,9.0,17.0,small,16,50.73816878771825,16,8,0
7,10,6,8.0,17.0,truck,70,50.447573128802915,41.0,19,0
7,10,7,5.0,16.0,truck,70,32.40511325408171,27.0,19,0
7,10,8,8.0,16.0,suv,54,22.406484079449445,13.0,19,0
7,10,9,7.0,16.0,suv,54,33.33749609831645,19.0,19,0
7,10,10,7.0,16.0,small,16,36.37115712978662,14.0,8,0
8,10,1,9.0,16.0,sedan,24,40.84826432105723,18.0,19,0
8,10,2,10.0,16.0,small,16,41.79415915329307,16.0,8,0
8,10,3,8.0,17.0,truck,70,27.90536374885712,23.0,19,0
8,10,4,11.0,16.0,truck,70,56.80597925502708,46.0,19,0
8,10,5,10.0,17.0,sedan,24,40.60148261923545,17.0,19,0
8,10,6,6.0,16.0,truck,70,29.973949235577706,25.0,8,0
8,10,7,6.0,17.0,truck,70,38.47077774368656,31.0,19,0
8,10,8,11.0,16.0,small,16,47.47384808645154,16,8,0
8,10,9,9.0,16.0,sedan,24,37.42768026325757,16.0,19,0
8,10,10,8.0,16.0,small,16,28.429698209289832,11.0,8,0
9,10,1,12.0,16.0,suv,54,30.26678163615714,17.0,19,0
9,10,2,7.0,18.0,sedan,24,22.52409427542544,10.0,19,0
9,10,3,4.0,16.0,small,16,54.42048226704336,16,8,0
9,10,4,10.0,16.0,small,16,50.712707947296956,16,8,0
9,10,5,9.0,16.0,truck,70,45.41640144382141,37.0,19,0
9,10,6,8.0,17.0,suv,54,65.15688058085755,37.0,19,0
9,10,7,10.0,17.0,small,16,34.56603155516693,13.0,8,0
9,10,8,10.0,16.0,sedan,24,36.768201446608295,16.0,8,0
9,10,9,9.0,16.0,truck,70,53.25338647688071,44.0,19,0
