scenario,obj_value,number_of_EVs,Demand,Type_4,Installed_4,Type_8,Installed_8,Type_19,Installed_19,Type_50,Installed_50
1,2200.0,10,221.0,4,0,3,0,3,1,3,0
2,2200.0,10,248.0,4,0,3,0,3,1,3,0
3,2200.0,10,194.0,3,0,2,0,2,1,2,0
4,2200.0,10,230.0,4,0,3,0,3,1,3,0
5,2200.0,10,248.0,4,0,3,0,3,1,3,0
6,2200.0,10,199.0,3,0,2,0,2,1,2,0
7,3200.0,10,243.0,4,1,3,0,3,1,3,0
8,2200.0,10,215.0,4,0,3,0,3,1,3,0
9,2200.0,10,227.0,4,0,3,0,3,1,3,0
10,2200.0,10,185.0,2,0,2,0,2,1,2,0
11,3200.0,10,285.0,5,1,4,0,4,1,4,0
12,2200.0,10,222.0,4,0,3,0,3,1,3,0
13,2200.0,10,193.0,3,0,2,0,2,1,2,0
14,2200.0,10,169.0,2,0,2,0,2,1,2,0
15,2200.0,10,175.0,2,0,2,0,2,1,2,0
16,2200.0,10,157.0,2,0,2,0,2,1,2,0
17,2200.0,10,193.0,3,0,2,0,2,1,2,0
18,2200.0,10,252.0,4,0,3,0,3,1,3,0
19,2200.0,10,230.0,4,0,3,0,3,1,3,0
20,2200.0,10,269.0,4,0,3,0,3,1,3,0
21,2200.0,10,234.0,4,0,3,0,3,1,3,0
22,2200.0,10,202.0,4,0,3,0,3,1,3,0
23,2200.0,10,155.0,2,0,2,0,2,1,2,0
24,2200.0,10,188.0,2,0,2,0,2,1,2,0
25,2200.0,10,185.0,2,0,2,0,2,1,2,0
26,2200.0,10,205.0,4,0,3,0,3,1,3,0
27,2200.0,10,242.0,4,0,3,0,3,1,3,0
28,2200.0,10,208.0,4,0,3,0,3,1,3,0
29,2200.0,10,187.0,2,0,2,0,2,1,2,0
30,2200.0,10,197.0,3,0,2,0,2,1,2,0
31,3000.0,10,249.0,4,0,3,2,3,0,3,0
32,2200.0,10,155.0,2,0,2,0,2,1,2,0
33,2200.0,10,188.0,2,0,2,0,2,1,2,0
34,2200.0,10,185.0,2,0,2,0,2,1,2,0
35,2200.0,10,205.0,4,0,3,0,3,1,3,0
36,2200.0,10,242.0,4,0,3,0,3,1,3,0
37,2200.0,10,208.0,4,0,3,0,3,1,3,0
38,2200.0,10,187.0,2,0,2,0,2,1,2,0
39,2200.0,10,197.0,3,0,2,0,2,1,2,0
40,3000.0,10,249.0,4,0,3,2,3,0,3,0
41,2200.0,10,155.0,2,0,2,0,2,1,2,0
42,2200.0,10,188.0,2,0,2,0,2,1,2,0
43,2200.0,10,185.0,2,0,2,0,2,1,2,0
44,2200.0,10,205.0,4,0,3,0,3,1,3,0
45,2200.0,10,242.0,4,0,3,0,3,1,3,0
46,2200.0,10,208.0,4,0,3,0,3,1,3,0
47,2200.0,10,187.0,2,0,2,0,2,1,2,0
48,2200.0,10,197.0,3,0,2,0,2,1,2,0
49,3000.0,10,249.0,4,0,3,2,3,0,3,0
50,2200.0,10,155.0,2,0,2,0,2,1,2,0
