Model,scenario,obj_value,number_of_EVs,Demand,AvailabeType_4,InstalledType_4,AvailabeType_8,InstalledType_8,AvailabeType_19,InstalledType_19,Time
FCFS,1,2200.0,10,137.0,3,0,2,0,2,1,1.0749719142913818
FCFS,2,3200.0,10,183.0,3,1,2,0,2,1,0.6954362392425537
FCFS,3,3000.0,10,195.0,4,0,3,2,2,0,1.6150527000427246
FCFS,4,4400.0,10,228.0,4,0,3,0,2,2,1.5536034107208252
FCFS,5,3500.0,10,155.0,3,2,2,1,2,0,1.1593000888824463
FCFS,6,3700.0,10,192.0,3,0,2,1,2,1,0.6893951892852783
FCFS,7,3700.0,10,166.0,3,0,2,1,2,1,1.0667555332183838
FCFS,8,4400.0,10,225.0,4,0,3,0,2,2,1.133791446685791
FCFS,9,3000.0,10,145.0,3,0,2,2,2,0,1.0350470542907715
FCFS,10,3700.0,10,175.0,3,0,2,1,2,1,1.1768383979797363
FCFS,11,3700.0,10,210.0,4,0,3,1,2,1,1.2477452754974365
FCFS,12,2500.0,10,133.0,3,1,2,1,2,0,0.7724661827087402
FCFS,13,5200.0,10,215.0,4,0,3,2,2,1,0.7204608917236328
FCFS,14,3200.0,10,185.0,3,1,2,0,2,1,1.0906624794006348
FCFS,15,3000.0,10,149.0,3,0,2,2,2,0,1.1044402122497559
FCFS,16,2200.0,10,168.0,3,0,2,0,2,1,0.8058350086212158
FCFS,17,3000.0,10,163.0,3,0,2,2,2,0,0.9282350540161133
FCFS,18,3200.0,10,177.0,3,1,2,0,2,1,0.9914476871490479
FCFS,19,3200.0,10,168.0,3,1,2,0,2,1,1.1991970539093018
FCFS,20,3000.0,10,165.0,3,0,2,2,2,0,0.8675503730773926
FCFS,21,3200.0,10,168.0,3,1,2,0,2,1,0.7999458312988281
FCFS,22,2500.0,10,167.0,3,1,2,1,2,0,0.9101390838623047
FCFS,23,3200.0,10,169.0,3,1,2,0,2,1,0.8689389228820801
FCFS,24,3200.0,10,216.0,4,1,3,0,2,1,1.1066794395446777
FCFS,25,3700.0,10,197.0,4,0,3,1,2,1,0.7398812770843506
FCFS,26,3000.0,10,182.0,3,0,2,2,2,0,1.079686164855957
FCFS,27,3700.0,10,209.0,4,0,3,1,2,1,0.8342118263244629
FCFS,28,4700.0,10,239.0,4,1,3,1,2,1,1.0540831089019775
FCFS,29,3700.0,10,169.0,3,0,2,1,2,1,0.9625997543334961
FCFS,30,4200.0,10,233.0,4,2,3,0,2,1,1.175950050354004
FCFS,31,3500.0,10,155.0,3,2,2,1,2,0,1.245213508605957
FCFS,32,3700.0,10,192.0,3,0,2,1,2,1,0.6854808330535889
FCFS,33,3700.0,10,166.0,3,0,2,1,2,1,1.2234022617340088
FCFS,34,4400.0,10,225.0,4,0,3,0,2,2,1.173196792602539
FCFS,35,3000.0,10,145.0,3,0,2,2,2,0,1.0073235034942627
FCFS,36,3700.0,10,175.0,3,0,2,1,2,1,1.2399885654449463
FCFS,37,3700.0,10,210.0,4,0,3,1,2,1,1.3788785934448242
FCFS,38,2500.0,10,133.0,3,1,2,1,2,0,0.8255577087402344
FCFS,39,5200.0,10,215.0,4,0,3,2,2,1,0.7126502990722656
FCFS,40,3200.0,10,185.0,3,1,2,0,2,1,1.045696496963501
FCFS,41,3000.0,10,149.0,3,0,2,2,2,0,1.0807952880859375
FCFS,42,2200.0,10,168.0,3,0,2,0,2,1,0.804948091506958
FCFS,43,3000.0,10,163.0,3,0,2,2,2,0,0.9271550178527832
FCFS,44,3200.0,10,177.0,3,1,2,0,2,1,0.9356434345245361
FCFS,45,3200.0,10,168.0,3,1,2,0,2,1,1.1101913452148438
FCFS,46,3000.0,10,165.0,3,0,2,2,2,0,0.7842605113983154
FCFS,47,3200.0,10,168.0,3,1,2,0,2,1,0.7995905876159668
FCFS,48,2500.0,10,167.0,3,1,2,1,2,0,0.8764877319335938
FCFS,49,3200.0,10,169.0,3,1,2,0,2,1,0.9010834693908691
FCFS,50,3200.0,10,216.0,4,1,3,0,2,1,1.1879072189331055
FCFS,51,3700.0,10,197.0,4,0,3,1,2,1,0.7427968978881836
FCFS,52,3000.0,10,182.0,3,0,2,2,2,0,1.0792431831359863
FCFS,53,3700.0,10,209.0,4,0,3,1,2,1,0.7131810188293457
FCFS,54,4700.0,10,239.0,4,1,3,1,2,1,1.076181411743164
FCFS,55,3700.0,10,169.0,3,0,2,1,2,1,0.9125664234161377
FCFS,56,4200.0,10,233.0,4,2,3,0,2,1,1.12638521194458
FCFS,57,3500.0,10,155.0,3,2,2,1,2,0,1.1717000007629395
FCFS,58,3700.0,10,192.0,3,0,2,1,2,1,0.700432538986206
FCFS,59,3700.0,10,166.0,3,0,2,1,2,1,1.234851598739624
FCFS,60,4400.0,10,225.0,4,0,3,0,2,2,1.183591365814209
FCFS,61,3000.0,10,145.0,3,0,2,2,2,0,1.016948938369751
FCFS,62,3700.0,10,175.0,3,0,2,1,2,1,1.2530853748321533
FCFS,63,3700.0,10,210.0,4,0,3,1,2,1,1.1454145908355713
FCFS,64,2500.0,10,133.0,3,1,2,1,2,0,0.7434041500091553
FCFS,65,5200.0,10,215.0,4,0,3,2,2,1,0.7082173824310303
FCFS,66,3200.0,10,185.0,3,1,2,0,2,1,0.9789798259735107
FCFS,67,3000.0,10,149.0,3,0,2,2,2,0,1.0545992851257324
FCFS,68,2200.0,10,168.0,3,0,2,0,2,1,0.8518235683441162
FCFS,69,3000.0,10,163.0,3,0,2,2,2,0,0.9505636692047119
FCFS,70,3200.0,10,177.0,3,1,2,0,2,1,0.8969933986663818
FCFS,71,3200.0,10,168.0,3,1,2,0,2,1,1.0991153717041016
FCFS,72,3000.0,10,165.0,3,0,2,2,2,0,0.7934372425079346
FCFS,73,3200.0,10,168.0,3,1,2,0,2,1,0.8066434860229492
FCFS,74,2500.0,10,167.0,3,1,2,1,2,0,0.8748688697814941
FCFS,75,3200.0,10,169.0,3,1,2,0,2,1,0.9134843349456787
FCFS,76,3200.0,10,216.0,4,1,3,0,2,1,1.1863806247711182
FCFS,77,3700.0,10,197.0,4,0,3,1,2,1,0.8027524948120117
FCFS,78,3000.0,10,182.0,3,0,2,2,2,0,1.105478286743164
FCFS,79,3700.0,10,209.0,4,0,3,1,2,1,0.7342438697814941
FCFS,80,4700.0,10,239.0,4,1,3,1,2,1,1.0472021102905273
FCFS,81,3700.0,10,169.0,3,0,2,1,2,1,0.8562006950378418
