NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
2,SUV,19,31,13.5,3,8.823,13.5,51.3,40.5,57.822,0,31,39,46.86,0.77,4.74,1.01,0.973,20,22
4,Sedan,20,30,6.0,3,5.089,6.0,22.8,18.0,15.242,0,20,23,17.83,2.02,4.76,1.14,0.973,19,21
1,SUV,19,33,13.5,3,8.287,13.5,51.3,40.5,5.938,0,29,33,8.63,1.23,4.66,0.91,0.91,21,21
3,Small,21,31,6.0,3,16.532,4.0,15.2,10.0,15.242,0,21,23,12.09,0.65,4.61,1.23,0.881,20,23
5,Sedan,19,33,6.0,3,6.618,6.0,22.8,18.0,86.377,0,29,33,27.75,2.68,4.72,1.01,0.987,19,22
4,Sedan,20,31,6.0,7,8.201,6.0,22.8,18.0,5.938,0,20,23,49.49,3.54,4.63,0.97,0.994,19,23
1,SUV,22,30,13.5,7,3.77,13.5,51.3,40.5,10.783,0,30,39,43.02,1.78,4.75,1.17,0.987,20,21
2,Small,20,32,4.0,7,7.986,4.0,15.2,12.0,3.045,0,29,32,15.52,3.58,4.71,1.17,0.982,19,21
2,Small,17,32,4.0,7,5.177,4.0,15.2,12.0,5.938,0,17,23,31.49,2.89,4.67,1.05,0.989,20,21
4,Sedan,19,29,6.0,7,6.015,6.0,22.8,18.0,5.938,0,19,23,34.7,1.63,4.61,1.09,0.982,21,23
4,SUV,18,31,13.5,7,10.163,13.5,51.3,40.5,15.242,0,31,39,39.31,1.92,4.76,1.05,0.987,20,21
1,Sedan,19,31,6.0,7,8.881,6.0,22.8,18.0,86.377,0,19,23,31.64,2.51,4.64,1.03,0.987,21,21
1,Small,20,32,4.0,7,10.713,4.0,15.2,12.0,24.344,0,32,39,39.6,3.3,4.68,0.94,0.992,21,21
1,Small,18,30,5.0,3,13.548,4.0,15.2,11.0,86.377,0,30,39,11.44,1.72,4.65,1.17,0.95,20,21
1,SUV,18,33,13.5,3,11.444,13.5,51.3,40.5,57.822,0,18,23,48.82,2.94,4.71,0.92,0.993,20,21
1,Sedan,20,34,6.0,7,9.118,6.0,22.8,18.0,86.377,0,29,34,30.01,0.87,4.78,1.06,0.962,19,23
2,SUV,22,35,13.5,3,11.685,13.5,51.3,40.5,3.045,0,35,39,31.8,2.02,4.77,1.03,0.985,19,21
4,SUV,24,30,13.5,7,10.707,13.5,51.3,40.5,3.045,0,30,39,11.25,0.86,4.67,1.05,0.902,19,23
5,Sedan,16,33,6.0,3,10.536,6.0,22.8,18.0,24.344,0,33,39,34.33,1.86,4.66,0.99,0.984,19,22
1,Sedan,16,31,6.0,7,14.158,6.0,22.8,18.0,10.783,0,16,23,35.48,3.45,4.8,0.9,0.992,20,21
