Model,Scenario,Number_of_EVs,EV_No,Arrival,Depart,EV_Type,BatteryCapacity,Distance,Demand,Alloc_charger,Delay
CC_NoDelay,2271,60,1,13,19,Sedan,24,58.648,24,19,0
CC_NoDelay,2271,60,2,10,19,SUV,54,29.899,17,19,0
CC_NoDelay,2271,60,3,12,18,Small,16,73.923,16,19,0
CC_NoDelay,2271,60,4,7,19,SUV,54,33.019,19,19,0
CC_NoDelay,2271,60,5,11,17,Small,16,32.944,12,19,0
CC_NoDelay,2271,60,6,6,17,SUV,54,24.734,14,19,0
CC_NoDelay,2271,60,7,7,18,SUV,54,36.428,21,19,0
CC_NoDelay,2271,60,8,9,20,Sedan,24,53.958,23,19,0
CC_NoDelay,2271,60,9,10,19,Sedan,24,48.521,21,19,0
CC_NoDelay,2271,60,10,6,19,Small,16,23.439,9,19,0
CC_NoDelay,2271,60,11,12,18,Sedan,24,47.032,20,19,0
CC_NoDelay,2271,60,12,14,16,Sedan,24,16.477,7,19,0
CC_NoDelay,2271,60,13,8,21,Small,16,67.806,16,19,0
CC_NoDelay,2271,60,14,8,22,Small,16,20.028,8,19,0
CC_NoDelay,2271,60,15,9,20,Small,16,24.189,9,19,0
CC_NoDelay,2271,60,16,12,18,SUV,54,22.96,13,19,0
CC_NoDelay,2271,60,17,11,18,Sedan,24,53.493,23,19,0
CC_NoDelay,2271,60,18,6,19,SUV,54,60.087,34,19,0
CC_NoDelay,2271,60,19,15,23,Sedan,24,65.076,24,19,0
CC_NoDelay,2271,60,20,9,18,Small,16,41.618,16,19,0
CC_NoDelay,2271,60,21,9,17,Sedan,24,31.913,14,19,0
CC_NoDelay,2271,60,22,8,18,Sedan,24,12.826,5,19,0
CC_NoDelay,2271,60,23,11,20,Small,16,16.824,6,19,0
CC_NoDelay,2271,60,24,6,19,Small,16,56.795,16,19,0
CC_NoDelay,2271,60,25,9,18,SUV,54,34.709,20,19,0
CC_NoDelay,2271,60,26,8,20,Sedan,24,18.864,8,19,0
CC_NoDelay,2271,60,27,11,20,Small,16,25.961,10,19,0
CC_NoDelay,2271,60,28,4,18,Sedan,24,64.309,24,19,0
CC_NoDelay,2271,60,29,6,20,Sedan,24,53.264,23,19,0
CC_NoDelay,2271,60,30,8,18,Small,16,65.139,16,19,0
CC_NoDelay,2271,60,31,7,21,SUV,54,27.482,16,19,0
CC_NoDelay,2271,60,32,4,21,Sedan,24,41.81,18,19,0
CC_NoDelay,2271,60,33,11,21,Small,16,24.704,9,19,0
CC_NoDelay,2271,60,34,7,24,Truck,70,34.733,28,19,0
CC_NoDelay,2271,60,35,7,19,Small,16,46.613,16,19,0
CC_NoDelay,2271,60,36,12,21,Small,16,52.184,16,19,0
CC_NoDelay,2271,60,37,11,18,SUV,54,9.668,6,19,0
CC_NoDelay,2271,60,38,9,24,Small,16,36.451,14,19,0
CC_NoDelay,2271,60,39,9,19,Sedan,24,37.129,16,19,0
CC_NoDelay,2271,60,40,8,16,SUV,54,13.103,8,19,0
CC_NoDelay,2271,60,41,10,21,Small,16,42.16,16,19,0
CC_NoDelay,2271,60,42,9,18,Small,16,30.475,12,19,0
CC_NoDelay,2271,60,43,6,20,SUV,54,29.539,17,19,0
CC_NoDelay,2271,60,44,10,19,Small,16,48.709,16,19,0
CC_NoDelay,2271,60,45,15,21,Sedan,24,37.692,16,19,0
CC_NoDelay,2271,60,46,8,19,Small,16,67.783,16,19,0
CC_NoDelay,2271,60,47,8,22,Sedan,24,17.214,7,19,0
CC_NoDelay,2271,60,48,12,21,Sedan,24,19.677,8,19,0
CC_NoDelay,2271,60,49,13,19,Sedan,24,73.046,24,19,0
CC_NoDelay,2271,60,50,11,17,SUV,54,27.686,16,19,0
CC_NoDelay,2271,60,51,11,20,SUV,54,34.055,20,19,0
CC_NoDelay,2271,60,52,13,22,Sedan,24,67.132,24,19,0
CC_NoDelay,2271,60,53,7,20,Sedan,24,21.026,9,19,0
CC_NoDelay,2271,60,54,6,19,SUV,54,24.966,14,19,0
CC_NoDelay,2271,60,55,8,21,Small,16,69.751,16,19,0
CC_NoDelay,2271,60,56,7,19,Sedan,24,44.408,19,19,0
CC_NoDelay,2271,60,57,7,18,SUV,54,52.551,30,19,0
CC_NoDelay,2271,60,58,8,19,SUV,54,45.499,26,19,0
CC_NoDelay,2271,60,59,9,18,Sedan,24,45.412,19,19,0
CC_NoDelay,2271,60,60,9,21,Sedan,24,36.404,16,19,0
CC_NoDelay,2272,60,1,9,18,Small,16,39.261,15,19,0
CC_NoDelay,2272,60,2,4,18,SUV,54,48.044,28,19,0
CC_NoDelay,2272,60,3,11,17,Small,16,9.68,4,19,0
CC_NoDelay,2272,60,4,9,18,SUV,54,38.536,22,19,0
CC_NoDelay,2272,60,5,7,19,SUV,54,43.256,25,19,0
CC_NoDelay,2272,60,6,14,20,Sedan,24,68.307,24,19,0
CC_NoDelay,2272,60,7,5,20,Sedan,24,28.433,12,19,0
CC_NoDelay,2272,60,8,9,22,Small,16,33.688,13,19,0
CC_NoDelay,2272,60,9,10,20,SUV,54,47.639,27,19,0
CC_NoDelay,2272,60,10,7,17,SUV,54,66.467,38,19,0
CC_NoDelay,2272,60,11,10,21,Small,16,41.994,16,19,0
CC_NoDelay,2272,60,12,9,17,Small,16,54.51,16,19,0
CC_NoDelay,2272,60,13,5,20,Sedan,24,68.976,24,19,0
CC_NoDelay,2272,60,14,6,17,Sedan,24,42.244,18,19,0
CC_NoDelay,2272,60,15,9,21,SUV,54,71.759,41,19,0
CC_NoDelay,2272,60,16,14,20,Small,16,43.342,16,19,0
CC_NoDelay,2272,60,17,9,21,Small,16,10.312,4,19,0
CC_NoDelay,2272,60,18,5,22,Small,16,10.164,4,19,0
CC_NoDelay,2272,60,19,7,21,Sedan,24,63.227,24,19,0
CC_NoDelay,2272,60,20,7,20,Small,16,15.074,6,19,0
CC_NoDelay,2272,60,21,9,18,SUV,54,77.996,45,19,0
CC_NoDelay,2272,60,22,8,20,Small,16,40.721,15,19,0
CC_NoDelay,2272,60,23,7,19,Sedan,24,74.1,24,19,0
CC_NoDelay,2272,60,24,9,21,Small,16,66.894,16,19,0
CC_NoDelay,2272,60,25,13,20,SUV,54,37.041,21,19,0
CC_NoDelay,2272,60,26,9,21,Small,16,77.992,16,19,0
CC_NoDelay,2272,60,27,8,20,Small,16,49.283,16,19,0
CC_NoDelay,2272,60,28,6,19,Sedan,24,78.795,24,19,0
CC_NoDelay,2272,60,29,11,17,Truck,70,40.732,33,19,0
CC_NoDelay,2272,60,30,10,20,Sedan,24,58.106,24,19,0
CC_NoDelay,2272,60,31,3,21,SUV,54,63.762,37,19,0
CC_NoDelay,2272,60,32,9,20,Sedan,24,22.572,10,19,0
CC_NoDelay,2272,60,33,11,20,Truck,70,29.119,24,19,0
CC_NoDelay,2272,60,34,11,21,Small,16,32.528,12,19,0
CC_NoDelay,2272,60,35,7,20,Small,16,31.391,12,19,0
CC_NoDelay,2272,60,36,7,21,Sedan,24,58.277,24,19,0
CC_NoDelay,2272,60,37,9,18,Sedan,24,19.611,8,19,0
CC_NoDelay,2272,60,38,13,19,Small,16,57.483,16,19,0
CC_NoDelay,2272,60,39,12,20,Small,16,60.094,16,19,0
CC_NoDelay,2272,60,40,6,21,Sedan,24,54.895,24,19,0
CC_NoDelay,2272,60,41,7,18,Small,16,50.043,16,19,0
CC_NoDelay,2272,60,42,11,20,Small,16,21.632,8,19,0
CC_NoDelay,2272,60,43,7,21,Truck,70,17.946,15,19,0
CC_NoDelay,2272,60,44,7,20,Truck,70,58.725,48,19,0
CC_NoDelay,2272,60,45,8,19,Small,16,37.016,14,19,0
CC_NoDelay,2272,60,46,9,18,Small,16,9.183,3,19,0
CC_NoDelay,2272,60,47,11,20,SUV,54,31.852,18,19,0
CC_NoDelay,2272,60,48,12,19,Sedan,24,37.326,16,19,0
CC_NoDelay,2272,60,49,7,18,SUV,54,29.112,17,19,0
CC_NoDelay,2272,60,50,8,19,Small,16,72.466,16,19,0
