Model,number_of_EVs,load_price
CC_NoDelay,10,1168.1108999999985
CC_NoDelay,15,1881.3197949999999
CC_NoDelay,20,2387.7585399999984
CC_NoDelay,25,3082.648259999998
CC_NoDelay,30,3684.440455000002
CC_NoDelay,35,4349.3813202
CC_NoDelay,40,5020.792389999996
CC_NoDelay,45,6441.047919849991
CC_NoDelay,50,6391.372430000002
CC_NoDelay,55,6862.545705000002
CC_NoDelay,60,7601.558654533333
CC_OneSlotDelay,10,1166.1698499999986
CC_OneSlotDelay,15,1880.9062550000008
CC_OneSlotDelay,20,2375.8249200000037
CC_OneSlotDelay,25,3095.9173699999965
CC_OneSlotDelay,30,3682.0449523999982
CC_OneSlotDelay,35,4327.508049999998
CC_OneSlotDelay,40,5017.12788935
CC_OneSlotDelay,45,6373.880539949985
CC_OneSlotDelay,50,6364.8632791499995
CC_OneSlotDelay,55,6853.787094950005
CC_OneSlotDelay,60,7587.694562066668
