EV_Number,EV_Type,Arrival,Depart,Demand,AssignedCharger,ChargerType,Delay,Total_load,,Difference
1,Truck,10,19,29,8,19,19,35,,6
2,Small,10,21,16,9,19,20,16,,0
3,Sedan,10,21,24,9,19,21,24,,0
4,Small,13,21,13,4,8,21,13,,0
5,Small,7,18,7,9,19,18,7,,0
6,Small,10,20,16,8,19,11,16,,0
7,Small,9,16,16,9,19,16,16,,0
8,Truck,8,17,32,8,19,17,38,,6
9,Sedan,3,19,5,8,19,12,10,,5
10,Sedan,8,21,10,8,19,21,11,,1
11,Small,9,17,16,9,19,17,16,,0
12,Truck,12,19,12,8,19,18,12,,0
13,Sedan,8,19,12,9,19,18,12,,0
14,SUV,6,17,29,4,8,17,31,,2
15,Truck,10,22,47,8,19,22,47,,0
16,SUV,8,18,24,9,19,17,24,,0
17,Truck,7,19,12,8,19,18,12,,0
18,Small,13,16,15,9,19,16,15,,0
19,Small,8,20,16,8,19,20,16,,0
20,Small,6,23,16,9,19,23,16,,0
21,SUV,10,21,31,8,19,21,31,,0
22,Truck,7,18,38,9,19,18,38,,0
23,Truck,9,18,33,8,19,18,33,,0
24,Sedan,9,20,17,4,8,20,38,,21
25,Sedan,6,23,17,4,8,23,17,,0
26,SUV,9,23,6,9,19,23,12,,6
27,Small,5,18,16,9,19,18,16,,0
28,Sedan,10,21,15,9,19,21,15,,0
29,Small,7,21,6,8,19,21,6,,0
30,SUV,8,21,16,4,8,21,16,,0
31,SUV,8,21,29,9,19,21,29,,0
32,Small,9,19,9,8,19,19,9,,0
33,Sedan,8,20,24,9,19,20,28,,4
34,Sedan,8,20,18,8,19,19,25,,7
35,SUV,5,17,27,9,19,14,27,,0
36,SUV,10,21,5,9,19,21,5,,0
37,Truck,6,20,32,8,19,20,32,,0
38,SUV,9,20,21,4,8,20,21,,0
39,Sedan,8,20,14,9,19,20,14,,0
40,Sedan,9,20,21,9,19,20,21,,0
