EV_Number,EV_Type,Arrival,Depart,Demand,AssignedCharger,ChargerType,Delay,Total_load
1,SUV,11,20,10,2,8,20.0,10.264161253623168
2,Sedan,8,17,14,5,19,17.0,13.999999999999993
3,Small,11,20,13,2,8,19.999999885122225,12.999999696264252
4,Sedan,10,21,16,5,19,21.0,16.0
5,Small,9,18,16,5,19,12.0,16.0
6,SUV,10,16,19,2,8,15.0,19.000000000000004
7,Truck,14,16,13,5,19,16.0,13.0
8,Small,13,20,12,2,8,20.0,12.0
9,Sedan,8,20,16,5,19,20.0,16.0
10,SUV,4,20,33,5,19,17.0,38.0
11,Small,6,18,9,5,19,9.0,9.0
12,Truck,8,16,43,5,19,16.0,43.0
13,Sedan,11,18,13,5,19,18.0,13.0
14,Small,10,17,11,2,8,17.0,10.999999999999998
15,SUV,8,20,10,5,19,15.0,10.0
16,Sedan,9,19,5,2,8,14.0,4.999999999999999
17,Small,6,18,9,2,8,14.0,9.0
18,Sedan,10,21,9,2,8,21.0,9.0
19,Sedan,6,21,14,5,19,21.0,14.0
20,Small,6,17,16,2,8,13.0,16.0
21,Sedan,9,18,24,5,19,14.0,24.0
22,Sedan,10,23,19,5,19,22.0,19.0000000004
23,Sedan,7,19,12,5,19,18.0,12.0
24,Small,7,20,13,5,19,16.0,13.0
25,Small,10,17,12,5,19,16.0,12.0
26,Sedan,9,20,19,5,19,20.0,19.0
27,Small,10,19,16,5,19,19.0,16.0
28,Sedan,8,18,24,5,19,17.0,24.0
29,Small,8,17,8,2,8,15.0,8.0
30,Small,10,19,7,2,8,18.0,7.0
