set N :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;

set M :=  1 2 3 4 5 6 7 8 9 10 ;

set T :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;

param arrival := 
    1 10
    2 7
    3 10
    4 8
    5 11
    6 7
    7 13
    8 10
    9 9
    10 9
    11 13
    12 9
    13 13
    14 12
    15 8
 ;

param depart := 
    1 23
    2 21
    3 18
    4 23
    5 19
    6 22
    7 19
    8 17
    9 22
    10 19
    11 19
    12 18
    13 18
    14 21
    15 24
 ;

param TFC := 
    1 1 3
    2 1 7
    3 1 9
    4 1 4
    5 1 3
    6 1 4
    7 1 5
    8 1 4
    9 1 4
    10 1 4
    11 1 10
    12 1 3
    13 1 4
    14 1 4
    15 1 6
    1 2 3
    2 2 7
    3 2 9
    4 2 4
    5 2 3
    6 2 4
    7 2 5
    8 2 4
    9 2 4
    10 2 4
    11 2 10
    12 2 3
    13 2 4
    14 2 4
    15 2 6
    1 3 3
    2 3 7
    3 3 9
    4 3 4
    5 3 3
    6 3 4
    7 3 5
    8 3 4
    9 3 4
    10 3 4
    11 3 10
    12 3 3
    13 3 4
    14 3 4
    15 3 6
    1 4 3
    2 4 7
    3 4 9
    4 4 4
    5 4 3
    6 4 4
    7 4 5
    8 4 4
    9 4 4
    10 4 4
    11 4 10
    12 4 3
    13 4 4
    14 4 4
    15 4 6
    1 5 3
    2 5 7
    3 5 9
    4 5 4
    5 5 3
    6 5 4
    7 5 5
    8 5 4
    9 5 4
    10 5 4
    11 5 10
    12 5 3
    13 5 4
    14 5 4
    15 5 6
    1 6 2
    2 6 4
    3 6 5
    4 6 2
    5 6 2
    6 6 2
    7 6 3
    8 6 2
    9 6 2
    10 6 2
    11 6 5
    12 6 2
    13 6 2
    14 6 2
    15 6 3
    1 7 2
    2 7 4
    3 7 5
    4 7 2
    5 7 2
    6 7 2
    7 7 3
    8 7 2
    9 7 2
    10 7 2
    11 7 5
    12 7 2
    13 7 2
    14 7 2
    15 7 3
    1 8 2
    2 8 4
    3 8 5
    4 8 2
    5 8 2
    6 8 2
    7 8 3
    8 8 2
    9 8 2
    10 8 2
    11 8 5
    12 8 2
    13 8 2
    14 8 2
    15 8 3
    1 9 2
    2 9 2
    3 9 2
    4 9 1
    5 9 2
    6 9 1
    7 9 1
    8 9 2
    9 9 2
    10 9 2
    11 9 3
    12 9 2
    13 9 2
    14 9 2
    15 9 2
    1 10 2
    2 10 2
    3 10 2
    4 10 1
    5 10 2
    6 10 1
    7 10 1
    8 10 2
    9 10 2
    10 10 2
    11 10 3
    12 10 2
    13 10 2
    14 10 2
    15 10 2
 ;

param installed_cost := 
    1 1000
    2 1000
    3 1000
    4 1000
    5 1000
    6 1500
    7 1500
    8 1500
    9 2200
    10 2200
 ;

param number_of_timeslot := 24 ;
