NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
2,Small,20,29,5.0,3,12.769,4.0,15.2,11.0,3.045,0,29,39,34.39,3.31,4.77,0.93,0.991,19,23
1,Small,17,29,4.0,3,10.797,4.0,15.2,12.0,57.822,0,17,23,32.73,0.73,4.66,0.91,0.959,21,23
5,SUV,18,32,13.5,7,10.493,13.5,51.3,40.5,83.097,0,29,32,14.36,2.74,4.68,1.23,0.975,19,23
4,Small,18,31,4.0,7,10.052,4.0,15.2,12.0,24.344,0,18,23,48.22,1.79,4.77,1.11,0.988,20,21
3,Small,21,31,4.0,7,6.112,4.0,15.2,12.0,24.344,0,31,39,9.19,1.96,4.78,1.02,0.946,20,23
1,Sedan,20,31,6.0,7,9.669,6.0,22.8,18.0,57.822,0,20,23,7.6,1.77,4.66,1.24,0.928,20,23
3,Small,19,32,4.0,3,8.163,4.0,15.2,12.0,3.045,0,32,39,23.26,1.03,4.69,1.24,0.959,21,23
2,Small,20,32,4.0,7,2.714,4.0,15.2,12.0,5.938,0,29,32,41.69,1.93,4.64,0.99,0.988,21,22
2,Small,21,30,4.0,7,5.924,4.0,15.2,12.0,24.344,0,30,39,8.3,1.65,4.63,1.24,0.93,21,21
1,Truck,20,34,17.5,7,8.268,17.5,66.5,52.5,24.344,0,34,39,8.94,1.56,4.61,1.1,0.931,19,21
4,SUV,17,29,13.5,7,8.614,13.5,51.3,40.5,24.344,0,29,39,32.12,1.09,4.77,1.02,0.972,21,22
4,SUV,16,33,13.5,7,3.589,13.5,51.3,40.5,15.242,0,29,33,11.81,1.43,4.64,1.14,0.943,19,23
4,Sedan,18,31,6.0,3,8.443,6.0,22.8,18.0,57.822,0,31,39,23.6,2.87,4.74,1.11,0.985,19,21
1,SUV,18,33,13.5,3,3.044,13.5,51.3,40.5,57.822,0,18,23,36.8,3.36,4.69,1.2,0.992,20,22
5,SUV,18,29,13.5,3,9.345,13.5,51.3,40.5,83.097,0,29,39,7.54,3.17,4.72,1.12,0.959,21,22
2,Sedan,19,32,6.0,3,9.859,6.0,22.8,18.0,83.097,0,29,32,20.61,2.94,4.79,0.92,0.984,20,23
4,SUV,20,32,13.5,3,12.202,13.5,51.3,40.5,83.097,0,32,39,18.02,0.96,4.61,0.91,0.944,21,21
5,Small,19,34,4.0,3,4.778,4.0,15.2,12.0,83.097,0,29,34,16.32,0.81,4.78,0.95,0.927,21,22
2,Small,17,31,5.0,7,12.928,4.0,15.2,11.0,5.938,0,17,23,17.86,2.96,4.74,1.21,0.981,19,22
4,SUV,20,31,13.5,3,11.799,13.5,51.3,40.5,83.097,0,31,39,46.9,3.08,4.62,1.15,0.993,20,22
3,Truck,19,32,17.5,7,4.595,17.5,66.5,52.5,57.822,0,29,32,23.34,1.26,4.79,1.02,0.967,20,23
3,Sedan,18,30,7.0,3,15.214,6.0,22.8,17.0,3.045,0,18,23,36.22,2.27,4.77,1.12,0.988,19,21
1,Small,21,32,4.0,7,6.107,4.0,15.2,12.0,86.377,0,21,23,8.91,1.36,4.69,1.2,0.921,20,22
3,Small,24,36,4.0,7,5.232,4.0,15.2,12.0,15.242,0,29,36,36.81,2.21,4.78,1.12,0.988,19,23
2,Sedan,17,30,6.0,7,10.225,6.0,22.8,18.0,3.045,0,30,39,45.53,0.94,4.61,1.19,0.977,20,22
