NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
5,Small,17,32,4.0,3,6.959,4.0,15.2,12.0,3.045,0,32,39,15.31,2.06,4.72,1.13,0.969,19,22
4,SUV,18,31,13.5,3,10.349,13.5,51.3,40.5,15.242,0,18,23,27.54,1.36,4.69,1.04,0.974,19,22
1,Sedan,20,32,6.0,7,2.936,6.0,22.8,18.0,57.822,0,29,32,7.26,0.73,4.65,0.98,0.828,20,21
2,Small,21,30,4.0,7,9.789,4.0,15.2,12.0,3.045,0,21,23,28.87,2.31,4.8,0.9,0.985,20,23
1,Truck,23,34,17.5,7,11.812,17.5,66.5,52.5,10.783,0,29,34,41.1,2.82,4.68,1.17,0.991,19,23
5,Small,21,31,4.0,7,7.945,4.0,15.2,12.0,83.097,0,31,39,40.05,1.05,4.62,1.12,0.977,21,21
1,SUV,19,31,13.5,3,3.536,13.5,51.3,40.5,24.344,0,19,23,17.28,1.76,4.7,1.1,0.968,20,21
1,Small,17,30,4.0,7,5.324,4.0,15.2,12.0,57.822,0,30,39,22.8,0.99,4.78,1.13,0.957,19,22
5,Small,18,31,5.0,3,13.143,4.0,15.2,11.0,57.822,0,18,23,30.82,2.9,4.66,1.17,0.989,21,23
5,SUV,17,32,13.5,7,12.621,13.5,51.3,40.5,86.377,0,32,39,47.15,0.88,4.75,1.04,0.976,21,21
5,Small,20,36,4.0,3,5.896,4.0,15.2,12.0,86.377,0,20,23,23.37,1.29,4.72,0.93,0.967,21,21
3,Small,20,32,4.0,7,11.576,4.0,15.2,12.0,15.242,0,32,39,26.84,3.49,4.74,0.93,0.989,20,21
1,Sedan,19,32,6.0,7,15.097,6.0,22.8,18.0,3.045,0,29,32,44.67,3.52,4.64,0.98,0.994,21,22
1,Small,21,32,4.0,3,10.903,4.0,15.2,12.0,5.938,0,21,23,44.22,2.99,4.64,1.21,0.992,21,23
3,Small,19,31,4.0,3,8.767,4.0,15.2,12.0,10.783,0,31,39,45.21,0.85,4.63,0.91,0.974,19,23
4,Small,19,29,4.0,3,8.17,4.0,15.2,12.0,24.344,0,19,23,31.92,3.01,4.75,1.08,0.99,19,21
1,SUV,19,31,13.5,3,9.889,13.5,51.3,40.5,57.822,0,19,23,8.58,3.31,4.67,0.91,0.965,19,21
4,Truck,19,32,17.5,7,9.913,17.5,66.5,52.5,57.822,0,32,39,8.22,0.61,4.74,1.12,0.819,19,22
2,SUV,19,31,13.5,7,9.092,13.5,51.3,40.5,24.344,0,31,39,9.2,3.1,4.66,1.16,0.966,20,23
4,Sedan,19,30,6.0,3,12.748,6.0,22.8,18.0,57.822,0,19,23,48.5,1.28,4.72,0.97,0.984,19,23
4,Small,19,31,4.0,7,11.246,4.0,15.2,12.0,57.822,0,31,39,29.07,0.59,4.73,1.04,0.943,20,22
4,Sedan,22,34,6.0,7,9.691,6.0,22.8,18.0,86.377,0,29,34,34.85,3.46,4.69,0.98,0.992,20,22
1,SUV,18,30,13.5,7,13.04,13.5,51.3,40.5,15.242,0,18,23,19.29,0.68,4.79,1.09,0.927,19,21
3,Small,20,32,4.0,3,6.098,4.0,15.2,12.0,10.783,0,20,23,17.55,0.66,4.74,1.09,0.917,19,21
4,Truck,21,31,17.5,7,7.675,17.5,66.5,52.5,5.938,0,31,39,14.42,0.98,4.75,1.12,0.932,21,22
5,Sedan,21,36,6.0,3,4.335,6.0,22.8,18.0,3.045,0,29,36,38.71,2.15,4.77,1.09,0.988,19,21
2,Small,16,31,6.0,7,15.431,4.0,15.2,10.0,5.938,0,16,23,27.05,2.17,4.68,1.24,0.983,19,21
1,SUV,17,31,13.5,7,9.986,13.5,51.3,40.5,15.242,0,31,39,40.38,1.16,4.7,0.93,0.979,19,21
3,Small,19,32,4.0,7,8.037,4.0,15.2,12.0,86.377,0,19,23,29.04,1.47,4.61,0.92,0.977,20,23
5,SUV,24,32,13.5,7,7.872,13.5,51.3,40.5,86.377,0,29,32,31.98,1.23,4.77,0.9,0.975,21,22
5,Truck,16,31,17.5,3,14.353,17.5,66.5,52.5,57.822,0,16,23,31.72,1.77,4.74,1.03,0.982,21,23
3,Sedan,22,30,6.0,3,5.396,6.0,22.8,18.0,10.783,0,30,39,44.09,3.05,4.75,1.05,0.993,20,22
3,Sedan,18,31,7.0,3,15.387,6.0,22.8,17.0,15.242,0,18,23,28.34,1.48,4.6,1.07,0.976,20,23
5,Small,22,31,6.0,7,15.208,4.0,15.2,10.0,83.097,0,31,39,45.65,2.06,4.75,0.97,0.989,21,22
4,Sedan,19,31,6.0,7,6.218,6.0,22.8,18.0,24.344,0,19,23,46.95,1.78,4.75,0.91,0.988,21,22
3,Truck,16,32,17.5,7,9.767,17.5,66.5,52.5,83.097,0,29,32,28.01,0.66,4.68,1.0,0.947,19,22
3,Sedan,20,33,6.0,3,12.0,6.0,22.8,18.0,83.097,0,29,33,20.44,2.53,4.72,0.96,0.981,20,21
4,Sedan,17,31,6.0,7,9.094,6.0,22.8,18.0,3.045,0,17,23,40.37,2.98,4.71,1.25,0.992,19,21
4,Sedan,19,31,6.0,7,3.69,6.0,22.8,18.0,57.822,0,19,23,22.69,1.54,4.78,0.9,0.972,19,22
