,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,offer_010,offer_011,offer_012,offer_013,offer_014,offer_015,offer_016,offer_017,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,bids_010,bids_011,bids_012,bids_013,bids_014,bids_015,bids_016,bids_017,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139188,0.170315,0.120994,0.19181,0.121198,0.161785,0.111394,0.109131,0.133904,0.103403,0.130014,0.205194,0.104218,0.133277,0.111631,0.121224,0.082285,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286651,0.240225,0.228035,0.26741,0.210884,0.145243,0.279136,0.24,0.23676,0.290888,0.148108,0.244828,0.282334,0.218953,0.259222,0.230484,0.165546,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301463,0.307649,0.375489,0.413552,0.365599,0.190029,0.361859,0.360383,0.396552,0.402626,0.373521,0.382789,0.347943,0.333419,0.369702,0.329773,0.246714,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338744,0.482515,0.355007,0.413968,0.352848,0.228557,0.41637,0.39469,0.363264,0.374717,0.323249,0.351595,0.408748,0.435515,0.374169,0.482021,0.19735,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420237,0.404153,0.399087,0.337487,0.400887,0.285012,0.389157,0.447015,0.383018,0.408187,0.403576,0.380172,0.391864,0.339526,0.409209,0.437748,0.508944,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326506,0.296186,0.250696,0.284396,0.2481,0.557578,0.240305,0.264548,0.226364,0.267204,0.341655,0.262119,0.224051,0.462462,0.255581,0.342813,0.801826,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249023,0.349478,0.311786,0.387336,0.310722,0.619546,0.304892,0.390912,0.347669,0.315779,0.282349,0.324044,0.316881,0.244156,0.317079,0.228595,0.606616,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.200794,0.253809,0.225207,0.235034,0.209516,0.299341,0.251382,0.246328,0.214513,0.243172,0.198675,0.214847,0.214882,0.254485,0.231118,0.220468,0.170512,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164402,0.186307,0.114151,0.210566,0.152864,0.296826,0.210209,0.162372,0.169322,0.145117,0.1573,0.142681,0.196921,0.184501,0.180906,0.145031,0.170166,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096266,0.115719,0.132373,0.130499,0.106064,0.058745,0.156757,0.118828,0.12289,0.099122,0.121416,0.133496,0.148287,0.11104,0.111295,0.09023,0.074462,25,0
