NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
1,Small,19,30,7.0,3,17.223,4.0,15.2,9.0,15.242,0,30,39,44.51,1.08,4.78,1.25,0.979,20,21
3,SUV,18,32,13.5,7,13.977,13.5,51.3,40.5,83.097,0,18,23,14.55,2.73,4.64,1.17,0.975,20,21
4,Sedan,21,33,6.0,7,11.842,6.0,22.8,18.0,15.242,0,21,23,20.29,3.2,4.73,1.01,0.985,20,21
3,Truck,19,31,17.5,7,10.724,17.5,66.5,52.5,15.242,0,31,39,8.4,2.38,4.65,1.17,0.951,20,22
3,SUV,19,31,13.5,3,9.841,13.5,51.3,40.5,57.822,0,31,39,40.64,1.02,4.67,0.94,0.976,21,23
4,Sedan,22,33,6.0,7,10.306,6.0,22.8,18.0,3.045,0,29,33,24.85,0.6,4.73,1.02,0.935,19,21
3,Small,19,31,4.0,7,2.613,4.0,15.2,12.0,86.377,0,19,23,47.99,2.98,4.71,1.02,0.993,20,23
3,Sedan,21,30,6.0,3,6.492,6.0,22.8,18.0,83.097,0,30,39,29.93,3.26,4.79,0.96,0.99,19,21
2,Sedan,22,29,6.0,3,7.928,6.0,22.8,18.0,15.242,0,29,39,21.25,1.04,4.76,1.04,0.956,21,21
3,SUV,21,30,13.5,7,9.17,13.5,51.3,40.5,5.938,0,21,23,25.63,1.98,4.73,1.24,0.98,21,21
4,Small,20,34,4.0,7,11.565,4.0,15.2,12.0,10.783,0,29,34,37.09,2.42,4.73,1.17,0.989,20,22
1,Sedan,18,30,6.0,7,13.033,6.0,22.8,18.0,10.783,0,18,23,30.39,0.61,4.69,1.05,0.947,19,22
1,Small,19,33,4.0,7,10.766,4.0,15.2,12.0,10.783,0,29,33,19.73,1.42,4.63,1.01,0.965,20,23
1,Sedan,21,30,6.0,3,10.082,6.0,22.8,18.0,86.377,0,21,23,18.49,0.94,4.71,1.24,0.944,21,21
3,Sedan,21,32,6.0,3,8.498,6.0,22.8,18.0,15.242,0,21,23,22.98,1.81,4.73,1.22,0.976,20,22
5,Sedan,19,35,6.0,3,14.14,6.0,22.8,18.0,57.822,0,35,39,29.22,1.68,4.74,1.13,0.98,21,22
5,Small,18,32,4.0,7,6.827,4.0,15.2,12.0,5.938,0,29,32,24.8,0.71,4.62,1.22,0.945,21,21
3,Sedan,18,33,6.0,7,13.465,6.0,22.8,18.0,5.938,0,33,39,23.46,2.3,4.72,1.17,0.982,19,23
5,Small,23,31,4.0,3,4.34,4.0,15.2,12.0,5.938,0,31,39,14.07,2.63,4.78,0.9,0.973,20,21
3,Sedan,23,32,6.0,7,6.933,6.0,22.8,18.0,86.377,0,32,39,31.41,2.95,4.77,1.1,0.989,19,21
5,Sedan,23,30,6.0,7,11.072,6.0,22.8,18.0,83.097,0,30,39,13.23,2.72,4.78,1.01,0.973,19,22
2,Sedan,18,33,6.0,3,10.309,6.0,22.8,18.0,5.938,0,33,39,48.26,1.7,4.61,0.93,0.988,21,21
1,Small,19,32,4.0,3,7.727,4.0,15.2,12.0,83.097,0,19,23,33.24,1.23,4.65,1.08,0.976,20,22
1,Truck,20,30,17.5,3,10.523,17.5,66.5,52.5,83.097,0,20,23,44.32,1.47,4.65,1.19,0.985,19,21
2,Small,20,31,4.0,3,9.168,4.0,15.2,12.0,83.097,0,31,39,26.88,3.58,4.7,0.96,0.99,20,22
3,Small,21,32,4.0,7,9.146,4.0,15.2,12.0,5.938,0,21,23,12.61,3.02,4.67,1.12,0.974,20,23
4,Small,23,33,4.0,7,11.518,4.0,15.2,12.0,5.938,0,33,39,47.9,0.7,4.74,1.16,0.971,20,23
3,SUV,21,33,13.5,3,9.463,13.5,51.3,40.5,83.097,0,33,39,35.17,2.08,4.72,0.9,0.986,20,22
1,Small,19,33,5.0,7,13.766,4.0,15.2,11.0,86.377,0,33,39,22.15,3.55,4.69,1.01,0.987,20,23
1,SUV,20,33,13.5,3,1.61,13.5,51.3,40.5,83.097,0,33,39,14.38,2.88,4.78,1.21,0.976,21,23
4,Sedan,19,29,6.0,3,5.519,6.0,22.8,18.0,15.242,0,19,23,22.87,0.99,4.8,1.22,0.957,21,21
4,Small,18,30,6.0,7,14.952,4.0,15.2,10.0,24.344,0,18,23,45.37,0.77,4.77,1.2,0.972,20,21
4,SUV,21,30,13.5,3,12.718,13.5,51.3,40.5,10.783,0,30,39,36.97,2.59,4.67,0.98,0.99,19,22
2,Sedan,22,31,6.0,3,8.917,6.0,22.8,18.0,57.822,0,31,39,11.09,3.43,4.73,0.99,0.974,20,21
1,Small,18,34,4.0,3,11.018,4.0,15.2,12.0,24.344,0,34,39,29.96,2.81,4.75,1.16,0.988,21,23
5,Small,17,32,4.0,3,8.241,4.0,15.2,12.0,86.377,0,29,32,7.11,1.91,4.72,0.94,0.929,20,23
3,Small,19,31,5.0,3,11.943,4.0,15.2,11.0,15.242,0,31,39,48.76,1.55,4.75,1.23,0.987,19,21
2,Small,21,30,4.0,3,9.403,4.0,15.2,12.0,15.242,0,21,23,27.78,1.04,4.7,1.22,0.966,21,22
2,Sedan,21,31,6.0,3,12.209,6.0,22.8,18.0,83.097,0,31,39,22.44,1.6,4.68,1.01,0.973,20,21
1,Small,21,32,4.0,3,11.757,4.0,15.2,12.0,10.783,0,32,39,29.58,1.32,4.63,1.1,0.975,19,23
5,Small,20,32,4.0,3,4.545,4.0,15.2,12.0,57.822,0,29,32,10.89,2.54,4.76,1.17,0.964,20,22
3,SUV,18,30,13.5,7,10.152,13.5,51.3,40.5,15.242,0,18,23,25.8,3.46,4.63,1.19,0.989,21,23
4,Truck,19,31,17.5,7,7.867,17.5,66.5,52.5,15.242,0,19,23,16.2,0.72,4.67,0.92,0.918,19,23
4,Sedan,17,32,6.0,3,11.318,6.0,22.8,18.0,15.242,0,32,39,48.09,1.05,4.71,0.94,0.98,20,21
2,SUV,16,32,13.5,7,10.419,13.5,51.3,40.5,15.242,0,16,23,11.97,3.01,4.79,1.15,0.973,21,21
1,Small,21,33,4.0,7,10.049,4.0,15.2,12.0,57.822,0,29,33,45.72,2.87,4.79,0.96,0.992,19,21
4,Sedan,22,30,6.0,3,12.077,6.0,22.8,18.0,10.783,0,30,39,49.27,3.13,4.73,1.12,0.994,21,22
4,Small,23,31,5.0,7,12.14,4.0,15.2,11.0,5.938,0,31,39,18.93,1.88,4.78,1.01,0.972,20,21
4,Small,19,33,5.0,7,12.57,4.0,15.2,11.0,5.938,0,19,23,11.3,3.32,4.69,1.15,0.974,20,21
2,Small,19,34,5.0,3,13.954,4.0,15.2,11.0,10.783,0,29,34,37.28,0.87,4.78,1.2,0.97,20,21
3,Sedan,22,31,6.0,3,13.016,6.0,22.8,18.0,10.783,0,31,39,23.87,2.46,4.71,1.06,0.983,20,21
3,Small,20,31,7.0,3,19.585,4.0,15.2,9.0,83.097,0,31,39,21.54,1.22,4.66,1.1,0.963,20,22
2,Sedan,19,30,8.0,7,17.545,6.0,22.8,16.0,5.938,0,30,39,8.38,2.77,4.8,0.98,0.958,21,21
3,Small,17,30,4.0,7,9.61,4.0,15.2,12.0,83.097,0,17,23,25.58,2.92,4.62,1.22,0.987,21,21
4,Small,19,29,4.0,3,8.517,4.0,15.2,12.0,5.938,0,29,39,38.4,3.54,4.8,1.05,0.993,19,21
1,Sedan,17,32,7.0,7,16.539,6.0,22.8,17.0,3.045,0,29,32,7.75,2.21,4.79,0.92,0.943,19,22
4,Sedan,19,31,6.0,7,12.185,6.0,22.8,18.0,86.377,0,19,23,26.72,3.3,4.79,1.24,0.989,20,21
2,Sedan,18,32,6.0,7,12.908,6.0,22.8,18.0,86.377,0,32,39,19.17,0.64,4.68,1.18,0.922,19,22
2,Sedan,18,31,6.0,7,13.304,6.0,22.8,18.0,57.822,0,31,39,32.22,0.84,4.73,0.91,0.964,19,21
5,Small,22,33,6.0,7,15.439,4.0,15.2,10.0,83.097,0,29,33,28.0,1.23,4.72,0.94,0.971,21,23
3,Small,16,32,5.0,7,13.884,4.0,15.2,11.0,83.097,0,16,23,42.21,2.85,4.71,1.12,0.992,21,21
