,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000853,0.001311,0.001544,0.00055,0.000624,0.002199,0.000814,0.001978,0.001226,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008999,0.009487,0.003637,0.010875,0.009166,0.008109,0.009118,0.009741,0.003712,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01352,0.002167,0.011119,0.00418,0.015891,0.001381,0.001415,0.008172,0.017734,18,0
3,0.002712,0.0,0.002404,0.0,0.009776,0.0,2.2e-05,0.00241,0.003787,0.0,0.001862,0.0,0.001657,0.0,0.002289,0.0,0.0,0.0,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010774,0.000408,0.005988,0.016357,0.001137,0.006536,0.031397,0.014825,0.011576,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02677,0.029118,0.034387,0.032863,0.034911,0.025546,0.021797,0.026763,0.009391,21,0
6,0.0,0.0,0.0,0.0,0.0,0.002706,0.002543,0.0,0.0,0.002892,0.019546,0.013172,0.001786,0.015955,0.0,0.0,0.002152,0.01984,22,0
7,0.010865,0.005444,0.004396,0.0,0.021403,0.004227,0.001554,0.002552,0.008965,0.0,0.0,0.0,0.002777,0.0,0.0,0.0,0.0,0.0,23,0
8,0.0,0.0,0.00417,0.000835,0.0,0.0,0.0,0.00312,0.0,0.01473,0.009342,0.0,0.0,0.028622,0.017845,0.002451,0.0,0.007802,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019911,0.026682,0.013164,0.012394,0.02249,0.023034,0.012675,0.014078,0.014546,25,0
10,0.00249,0.000745,0.006221,0.0,0.003907,0.003936,0.003196,0.004949,0.006864,0.0,0.0,0.0,0.000363,0.0,0.0,0.0,0.0,0.0,26,0
11,0.000479,0.003765,0.0,0.00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012606,0.0,0.003004,0.014595,0.020936,0.013827,0.014187,27,0
12,0.002233,0.001122,0.001081,0.000742,0.003107,0.001068,0.003319,0.00166,0.000749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0
13,0.001914,0.003068,0.001756,0.0,0.002351,0.0,0.001566,0.001543,0.0,0.0,0.0,0.0,0.000407,0.0,0.001343,0.0,0.0,0.000632,29,0
14,0.002159,0.000837,0.00055,3.2e-05,0.003968,0.001278,0.002864,0.001486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000134,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012496,0.017748,0.010746,0.018531,0.015966,0.000999,0.015219,0.008857,0.005476,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016426,0.023627,0.022586,0.011724,0.022654,0.018311,0.023977,0.021435,0.020383,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003554,0.001805,0.002137,0.00143,0.002056,0.004819,0.003506,0.002068,0.002009,33,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01145,0.005461,0.003766,0.018087,0.006057,0.010216,0.003835,0.005522,0.007722,34,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001729,0.001984,0.001919,0.002729,0.002643,0.00241,0.002272,0.00209,0.001633,35,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001614,0.001581,0.001603,0.001485,0.001682,0.001634,0.001575,0.001647,0.001379,36,0
