Iteration,"DAs_load
E_DAs_L","DAs_generation
E_DAs_G","DAs_demand_bid
b_t","DAs_supply_offer
o_t",EVs_Charge,EVs_Discharge,TCL_Power,SL_Power,Inflexible_loads,Solar_Power,Gen1,Gen2,Gen3,Gen4,CDA1_supply,CDA2_supply,CDA3_supply,CDA4_supply,CDA5_supply,CDA6_supply,CDA7_supply,CDA8_supply,CDA1_demand,CDA2_demand,CDA3_demand,CDA4_demand,CDA5_demand,CDA6_demand,CDA7_demand,CDA8_demand,Bus1_price,Bus2_price,Bus3_price,Bus4_price,Bus5_price,Bus6_price,Theta_bus_1,Theta_bus_2,Theta_bus_3,Theta_bus_4,Theta_bus_5,Theta_bus_6
0,0.0015436787968951815,0.0,0.0015436787968951815,0.0,0.0,0.006,0.0011946719359709839,0.0,0.0514170187,0.0003013267291154905,0.036829678796895186,0.0,0.0,0.0,0.000834,0.012161,0.017637,0.00706,0.019456,0.009223,0.02722,0.009855,0.021314,0.021189,0.033204,0.014105,0.013974,0.014119,0.007414,0.013413,16.0,16.0,15.999999999999996,16.0,15.999999999999996,15.999999999999996,0.0,-0.004244256036521047,-0.005390305117479864,-0.003060698423029872,-0.003162401589823303,-0.005136492153729566
0,0.0036370000000000378,0.0,0.0036370000000000378,0.0,0.01260880324304381,0.0,0.013280922710236098,0.0,0.08361937629999999,0.00039910225327967846,0.0,0.0,0.0,0.0,0.00744,0.006984,0.028693,0.024331,0.031157,0.0,0.0,0.014015,0.009168,0.012339,0.032369,0.017977,0.017426,0.000118,0.015343,0.004243,6.0,5.999999999999999,6.0,5.999999999999997,5.999999999999997,6.0,0.0,-0.00033714014535487103,-0.0005699364727272334,0.0005116597500091572,0.00013587946880491263,-0.0004895266911731298
0,0.011119244030879006,0.0,0.011119244030879006,0.0,0.14742553191489363,0.0,0.07036571979684399,0.0,0.11627282580000001,0.00048675658536737954,0.0,0.0,0.0,0.0,0.022557,0.031222,0.02101024403087901,0.0,0.023873,0.008732,0.007587,0.022577,0.024549,0.008899,0.000383,0.006705,0.006809,0.021237,0.026512,0.031345,8.999999999999996,9.0,9.0,8.999999999999995,8.99999999999999,8.999999999999998,0.0,0.0009492099984324169,0.0016046424783217473,-0.0014405657623268444,-0.0020678691849445943,0.0011862531458888318
0,0.0,0.0024041805845836962,0.0,0.0024041805845836962,0.0,0.2094268,0.01565310498340145,0.0,0.12195341750000001,0.00030514002091236426,0.04707781941541635,0.0,0.0,0.0,0.002898,0.020304,0.017899,0.021663,0.013193,0.018389,0.006438,0.020517,0.029739,0.021601,0.022724,0.033172,0.007956,0.024708,0.000789,0.030094,16.0,16.000000000000007,16.000000000000007,15.999999999999991,15.999999999999982,16.000000000000007,0.0,-0.0048569150983531015,-0.005929422138789275,-0.0047748973273643094,-0.005301161885699736,-0.005857847856122334
0,0.005988445556861667,0.0,0.005988445556861667,0.0,0.03105613399728384,0.005583599999999996,0.03641532450856603,0.0,0.11776550820000001,0.0,0.0,0.0,0.0,0.0,0.000993,0.024304,0.006925445556861667,0.017253,0.01,0.000322,0.028812,0.018265,0.014064,0.005705,0.008894,0.014603,0.02239,0.014256,0.010942,0.010032,11.0,10.999999999999996,11.0,11.000000000000004,11.000000000000004,11.000000000000002,0.0,0.00016712390734383823,0.0002825234893331399,-0.00025363510643947214,0.0002129183791281754,0.0002745937566970634
0,0.034386615015186986,0.0,0.034386615015186986,0.0,0.3092765957446809,0.0,0.19401957641092668,0.4074813999999999,0.1208208783,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.012648999999999999,0.014492,0.0,0.025062,0.029437,0.009304,0.009219615015186986,0.007288,0.005447,0.003718,0.004033,0.010539,0.002508,0.03223,1.4e-05,5.999999999999998,5.999999999999998,5.999999999999999,5.999999999999996,5.999999999999993,5.999999999999998,0.0,0.000375751316410301,0.0006352087784505294,-0.0005702578801991627,5.446029749816717e-05,0.0005690472542578513
0,0.013172267970763046,0.0,0.013172267970763046,0.0,0.2242562940860644,0.0,0.05764070903682697,0.0,0.113271036,0.0,2.168404344971009e-19,8.673617379884035e-19,0.0,0.0,0.006628,0.017547267970763038,0.031794,0.01961,0.015276,0.018186,0.013323,0.019333,0.000885,0.032984,0.015124,0.01127,0.002418,0.030131,0.021383,0.01433,10.0,9.999999999999998,10.0,10.000000000000002,10.000000000000004,10.0,0.0,0.00011760775638630727,0.00019881628089595077,-0.00017848706557451344,-0.0005566479721183062,0.00011275033652956984
0,0.0,0.004396120997300661,0.0,0.004396120997300661,0.0,0.2335878294038398,0.004347404684819947,0.0,0.09735679480000001,0.0,0.045227879002699374,0.0,0.0,0.0,0.018165,0.02282,0.00878,0.007341,0.033203,0.019417,0.017874,0.0155,0.021663,0.018565,0.029195,0.00767,0.033282,0.02782,0.032705,0.021824,16.0,16.000000000000007,16.000000000000007,15.999999999999991,15.999999999999982,16.000000000000007,0.0,-0.004430568862599306,-0.005298323409298972,-0.004944659629862027,-0.005897898904156184,-0.005366629793059598
0,0.0,0.004181691750188083,0.0,0.004181691750188083,0.0,0.1981572,0.0074866545943575065,0.0,0.0652197929,0.0,0.008916308249811919,0.0,0.0,0.0,0.019642,0.025867,0.005955,0.021037,0.007105,0.004248,0.003845,0.007123,0.007348,0.028095,0.016686,0.002366,0.002442,0.004936,0.031308,0.014739,16.0,16.000000000000007,16.000000000000007,15.999999999999991,15.999999999999982,16.000000000000007,0.0,-0.0009438068794265616,-0.0011634588628049827,-0.0008680233906793379,-0.0019963567552862653,-0.0012583464016807859
0,0.013163710118553478,0.0,0.013163710118553478,0.0,0.372,0.0,0.002644451356604439,0.0,0.0202668522,0.0,1.734723475976807e-18,0.0,0.0,0.0,0.000217,0.00107,0.029017,0.030181,0.031109,0.025481710118553488,0.005952,0.030039,0.026981,0.007635,0.030421,0.007631,0.00884,0.010275,0.032347,0.015773,11.999999659075852,11.999999659075858,11.999999659075858,11.999999659075849,11.999999659075847,11.999999659075858,0.0,-0.0009725090087600665,-0.0016440295283279064,0.0014759254368241004,0.0009761990595315219,-0.00134552109861713
