,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135,0.0,0.000283,0.000457,0.000388,0.000274,0.000269,0.000269,0.000246,0.0,0.000254,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00677,0.002526,0.000681,0.011403,0.004634,0.000733,0.002558,0.010501,0.001263,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000866,0.004395,0.002738,0.000859,0.001593,0.001502,0.003154,0.001375,0.000526,18,0
3,0.000479,0.0,0.0,0.0018,0.0,0.001482,0.0,0.0,0.0,0.0,0.007379,0.001114,0.0,0.001013,0.0,0.001597,0.002272,0.010275,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022006,0.0,0.0,0.020191,0.0,0.02049,0.026813,0.0,0.0,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013418,0.014,0.008654,0.011355,0.02214,0.013531,0.004954,0.022888,0.009646,21,0
6,0.0,0.002062,0.0,0.002922,0.0,0.003477,0.001067,0.003632,0.0,0.001562,0.0,0.010107,0.0,0.002729,0.0,0.0,0.0,0.007213,22,0
7,0.001854,0.001912,0.002392,0.003167,0.001611,0.0,0.001249,0.0036,0.002506,0.0,0.0,0.0,0.0,0.0,0.005101,0.0,0.0,0.0,23,0
8,0.0,0.0,0.002057,0.0,0.0,0.003536,0.0,0.0,0.0,0.000591,0.003402,0.0,0.004122,0.002693,0.0,0.00257,0.005359,0.001826,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002566,0.002805,0.003363,0.0,0.002113,0.004498,0.002103,0.002217,0.003329,25,0
10,0.002247,0.002518,0.0,0.0,0.00187,0.00406,0.001573,0.0,0.003044,0.0,0.0,0.003045,0.004016,0.0,0.0,0.0,0.004733,0.0,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004502,0.0,0.0,0.0,27,0
12,0.0,0.0,0.002341,0.003919,0.0,0.003769,0.0,0.003749,0.0,0.002571,0.002952,0.0,0.0,0.002171,0.0,0.002039,0.0,0.003217,28,0
13,0.001694,0.0,0.0,0.0,0.001365,0.0,0.001173,0.0,0.00176,0.0,0.013058,0.010607,0.010111,0.0,0.00157,0.0,0.009762,0.0,29,0
14,0.0,0.000977,0.001164,0.0,0.0,0.0,0.0,0.00117,0.0,0.004544,0.0,0.0,0.002875,0.007954,0.006517,0.001413,0.0,0.003968,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001332,0.001814,0.002149,0.00198,0.000646,0.001885,0.004593,0.001659,0.003931,31,0
