,Minute_of_day,reference,November,Active_Occupancy,Total_lighting,CHEST_FREEZER,FRIDGE_FREEZER,FRIDGE,UPRIGHT_FREEZER,ANSWER_MACHINE,CD_PLAYER,CLOCK,PHONE,HIFI,IRON,VACUUM,FAX,PC,PRINTER,TV1,TV2,TV3,VCR_DVD,RECEIVER,HOB,OVEN,MICROWAVE,KETTLE,SMALL_COOKING
0,1,00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
1,2,00:01:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
2,3,00:02:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
3,4,00:03:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
4,5,00:04:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
5,6,00:05:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
6,7,00:06:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
7,8,00:07:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
8,9,00:08:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
9,10,00:09:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
10,11,00:10:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
11,12,00:11:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9,0.0,0,0.0,5.0,4.0,3.0,3.0,0.0,2.0,15.0,0.0,0.0,2,1.0,2.0
