,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000784,0.001311,0.001544,0.000584,0.000624,0.002197,0.000814,0.001978,0.001226,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008999,0.009487,0.003637,0.010875,0.009166,0.008109,0.009118,0.009741,0.003712,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01352,0.002223,0.011119,0.00418,0.015891,0.002815,0.001374,0.008172,0.017734,18,0
3,0.002742,0.0,0.002404,0.0,0.009776,0.0,0.0,0.002598,0.003872,0.0,0.001807,0.0,0.0014,0.0,0.001304,0.0,0.0,0.0,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010774,0.000408,0.005988,0.016357,0.001137,0.006536,0.031397,0.014825,0.011576,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02677,0.029118,0.034387,0.032863,0.034911,0.025546,0.021797,0.026763,0.009391,21,0
6,0.0,0.0,0.0,0.0,0.0,0.004465,0.002491,0.0,0.0,0.002892,0.019546,0.013172,0.001913,0.015955,0.0,0.0,0.002152,0.01984,22,0
7,0.010809,0.005535,0.004396,0.0,0.021403,0.000934,0.001787,0.00185,0.008965,0.0,0.0,0.0,0.002443,0.0,0.0,0.0,0.0,0.0,23,0
8,0.0,0.0,0.004182,0.000358,0.0,0.0,0.0,0.003344,0.0,0.01473,0.009342,0.0,0.0,0.028622,0.017845,0.002451,0.0,0.007802,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019911,0.026682,0.013164,0.012394,0.02249,0.023034,0.012675,0.014078,0.014546,25,0
10,0.002157,0.000745,0.006209,0.0,0.003907,0.006668,0.003083,0.005132,0.006553,0.0,0.0,0.0,0.00061,0.0,0.0,0.0,0.0,0.0,26,0
11,0.000479,0.003675,0.0,0.00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012606,0.0,0.003004,0.014595,0.020936,0.013827,0.014187,27,0
12,0.002439,0.001122,0.001081,0.000642,0.003107,0.001034,0.003382,0.001784,0.000889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0
13,0.001899,0.003068,0.001756,0.0,0.002351,0.0,0.001886,0.001607,0.0,0.0,0.0,0.0,0.000308,0.0,0.000195,0.0,0.0,0.000632,29,0
14,0.002258,0.000837,0.00055,0.000336,0.003968,0.0,0.00239,0.001361,0.0,0.0,0.0,0.0,0.0,0.0,0.000586,0.0,0.0,4.9e-05,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012422,0.017748,0.010746,0.018531,0.015966,0.000999,0.015219,0.008857,0.005476,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016426,0.023627,0.022586,0.0117,0.022654,0.018302,0.023977,0.021435,0.020382,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003554,0.001805,0.002137,0.00143,0.002056,0.004819,0.003506,0.002024,0.002009,33,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011531,0.005461,0.003766,0.01812,0.006057,0.010225,0.003835,0.005522,0.007723,34,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001729,0.001984,0.001919,0.002729,0.002643,0.00241,0.002268,0.00209,0.001633,35,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001614,0.001581,0.001603,0.001485,0.001682,0.001634,0.001575,0.001647,0.001379,36,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001592,0.001457,0.001719,0.00146,0.001545,0.00165,0.001695,0.001473,0.001359,37,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002285,0.0015,0.002254,0.001468,0.001526,0.001648,0.001555,0.0016,0.001822,38,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001388,0.001558,0.001438,0.001437,0.001477,0.001695,0.001468,0.001633,0.001374,39,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001311,0.002216,0.001544,0.000624,0.001226,0.000741,0.000477,0.002025,0.000761,16,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009487,0.008109,0.008991,0.009166,0.003634,0.009118,0.010492,0.009741,0.008999,17,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003089,0.002872,0.009181,0.015625,0.009287,0.002047,0.00341,0.007402,0.013523,18,1
3,0.0,0.0,0.002543,0.009398,0.004163,0.0,0.0,0.00121,0.001853,0.001923,0.001521,0.0,0.0,0.0,0.000723,0.003285,0.0,0.0,19,1
4,0.000582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005546,0.005944,0.000147,0.031737,0.030407,0.015367,0.013835,0.009784,20,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026703,0.023131,0.032312,0.032496,0.006976,0.019382,0.030448,0.024348,0.024355,21,1
6,0.0,0.002504,0.0,0.0,0.0,0.000852,0.0,0.0,0.0,0.018861,0.0,0.011917,0.01527,0.019155,0.0,0.001935,0.001467,0.002207,22,1
7,0.002655,0.001279,0.00272,0.021001,0.009693,0.001225,0.0,0.00069,0.008151,0.0,0.0,0.0,0.0,0.0,0.0,0.00301,0.0,0.0,23,1
8,0.0,0.0,0.004983,0.0,0.0,0.0,0.0,0.002198,0.0,0.008613,0.017116,0.0,0.027893,0.007073,0.001722,0.002086,0.0,0.014001,24,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026682,0.023034,0.013162,0.0264,0.013656,0.011085,0.010804,0.014078,0.019081,25,1
10,0.000644,0.004128,0.005544,0.004426,0.010786,0.003356,0.000307,0.006087,0.001461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1
11,0.001394,0.0,0.0,0.0,0.0,0.0,0.00023,0.0,0.001111,0.0,0.01385,0.011861,0.002259,0.014187,0.020191,0.0,0.013827,0.0,27,1
12,0.001129,0.000317,0.001231,0.002614,1.7e-05,0.002111,0.0,0.000545,0.001851,0.0,0.0,0.0,0.0,0.0,0.0,0.000201,0.0,0.0,28,1
13,0.004559,0.0,0.001345,0.002668,0.0,0.001828,0.0,0.001019,0.001746,0.0,0.001505,0.0,0.0,0.000118,0.0,0.000913,0.0,0.0,29,1
14,0.001123,0.000576,0.001554,0.002015,0.000304,0.002307,0.000212,0.001363,0.001524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017748,7.3e-05,0.010746,0.015123,0.004416,0.014159,0.017471,0.008857,0.011756,31,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023627,0.0165,0.022586,0.022654,0.018572,0.023977,0.023549,0.01982,0.023824,32,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001719,0.004826,0.002137,0.002056,0.002009,0.003273,0.001197,0.001792,0.003666,33,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005461,0.012019,0.003766,0.006057,0.009501,0.006811,0.007331,0.007138,0.004679,34,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001984,0.00241,0.002505,0.002643,0.001633,0.001873,0.002729,0.00209,0.001729,35,1
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001581,0.001634,0.001705,0.001682,0.001379,0.001575,0.001485,0.001647,0.001614,36,1
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001457,0.00165,0.001719,0.001545,0.001359,0.001695,0.00146,0.001473,0.001592,37,1
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.001648,0.001566,0.001526,0.001822,0.001555,0.001468,0.0016,0.002285,38,1
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001558,0.001695,0.001438,0.001477,0.001374,0.001468,0.001437,0.001633,0.001388,39,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002025,0.000761,0.001226,0.00227,0.000766,0.001011,0.001544,0.001145,0.001321,16,2
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009741,0.008999,0.003433,0.008109,0.009715,0.009118,0.010071,0.009166,0.009487,17,2
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00839,0.013523,0.017596,0.001912,0.002745,0.001681,0.010259,0.01496,0.002638,18,2
3,0.001564,0.000609,0.004067,0.0,0.0,0.0,0.002404,0.009202,0.0,0.0,0.0,0.0,0.002394,0.00448,0.002161,0.0,0.0,0.003642,19,2
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001605,0.012713,0.008662,0.02774,0.004424,0.014245,0.029285,0.005944,0.000467,0.0,20,2
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022146,0.022153,0.004774,0.020929,0.028246,0.01718,0.030111,0.030294,0.024501,21,2
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000792,0.001532,0.01848,7.9e-05,0.00355,0.001004,0.011981,0.014595,0.018186,22,2
7,0.000839,0.004981,0.008929,0.000367,0.0,0.000507,0.004106,0.019768,0.001223,0.0,0.0,0.0,0.0,0.003472,0.0,0.0,0.0,0.0,23,2
8,0.000807,0.0,0.0,0.0,0.0,0.0,0.004013,0.0,0.0,0.0,0.013288,0.00636,0.016403,0.002219,0.001009,0.0,0.02718,0.0079,24,2
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014078,0.017501,0.012076,0.023034,0.009224,0.009505,0.013163,0.02733,0.026682,25,2
10,0.003833,0.001486,0.010268,0.003839,0.0,0.002211,0.005637,0.002846,0.001452,0.0,0.0,0.0,0.0,0.000624,0.0,0.0,0.0,0.0,26,2
11,0.0,0.001223,0.0,0.0,0.0,0.0,0.0,0.0,0.001014,0.013827,0.0,0.014187,0.013115,0.0,0.019456,0.011126,0.001524,0.0,27,2
12,0.000848,0.000822,0.0,0.000839,0.0,0.001399,0.001069,0.002052,0.000693,0.0,0.0,0.000142,0.0,0.000676,0.0,0.0,0.0,0.0,28,2
13,0.001482,0.000699,0.0,0.0,0.0,0.001716,0.001603,0.002896,0.003345,0.0,0.0,0.001133,0.002733,0.000732,0.0,0.0,0.0,0.0,29,2
14,0.00132,0.00161,0.000413,0.000722,0.0,0.00141,0.000438,0.00188,0.000949,0.0,0.0,0.0,0.0,0.000183,0.0,0.0,0.0,0.0,30,2
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008858,0.010753,0.003413,0.000191,0.016468,0.013156,0.010746,0.01412,0.017748,31,2
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017888,0.023824,0.022625,0.014549,0.024552,0.023977,0.022586,0.020779,0.022891,32,2
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002112,0.003957,0.002009,0.004821,0.001325,0.003046,0.002137,0.002064,0.001808,33,2
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009069,0.004679,0.00548,0.013975,0.007331,0.006811,0.003766,0.007933,0.0062,34,2
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001729,0.001633,0.00241,0.002729,0.001873,0.001919,0.002643,0.001984,35,2
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001614,0.001379,0.001634,0.001485,0.001575,0.001603,0.001682,0.001581,36,2
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001592,0.001359,0.00165,0.00146,0.001695,0.001719,0.001545,0.001457,37,2
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.002285,0.001822,0.001648,0.001468,0.001555,0.002254,0.001526,0.0015,38,2
