NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
3,Small,20,30,4.0,7,11.073,4.0,15.2,12.0,5.938,0,20,23,47.16,0.74,4.8,1.25,0.972,21,21
3,Sedan,23,32,6.0,3,10.702,6.0,22.8,18.0,10.783,0,32,39,17.89,1.14,4.72,1.08,0.952,19,21
4,Sedan,18,31,6.0,7,7.001,6.0,22.8,18.0,24.344,0,31,39,10.96,3.26,4.76,1.24,0.972,19,22
3,Sedan,21,34,10.0,3,22.17,6.0,22.8,14.0,15.242,0,21,23,28.64,1.35,4.75,1.16,0.974,21,22
1,Small,22,33,4.0,3,10.531,4.0,15.2,12.0,10.783,0,29,33,14.43,0.62,4.62,1.16,0.894,20,22
3,Small,20,31,4.0,7,10.69,4.0,15.2,12.0,24.344,0,20,23,20.86,0.85,4.72,1.18,0.945,19,21
3,Small,19,33,4.0,3,8.972,4.0,15.2,12.0,24.344,0,33,39,14.59,3.55,4.71,1.24,0.981,19,21
5,Truck,20,31,17.5,3,8.721,17.5,66.5,52.5,5.938,0,20,23,37.59,1.28,4.76,1.23,0.979,20,22
3,Sedan,22,30,6.0,7,13.029,6.0,22.8,18.0,3.045,0,30,39,25.98,2.27,4.73,1.09,0.983,21,21
3,SUV,20,30,13.5,3,7.518,13.5,51.3,40.5,83.097,0,30,39,20.46,1.31,4.75,1.22,0.963,21,23
1,SUV,18,30,13.5,3,4.224,13.5,51.3,40.5,10.783,0,18,23,12.93,0.98,4.67,1.13,0.924,20,21
1,Sedan,20,31,6.0,3,11.919,6.0,22.8,18.0,24.344,0,31,39,19.08,3.48,4.62,1.21,0.985,19,22
2,Sedan,22,30,6.0,7,10.245,6.0,22.8,18.0,10.783,0,30,39,49.36,1.5,4.7,1.05,0.987,21,21
1,SUV,19,35,13.5,7,8.265,13.5,51.3,40.5,83.097,0,35,39,26.98,0.85,4.79,0.96,0.957,19,21
1,Small,21,33,4.0,3,10.707,4.0,15.2,12.0,10.783,0,21,23,37.27,1.68,4.67,1.13,0.984,19,23
5,Small,20,31,4.0,7,1.972,4.0,15.2,12.0,24.344,0,31,39,50.04,3.38,4.7,1.23,0.994,19,21
1,Small,19,30,5.0,7,12.249,4.0,15.2,11.0,5.938,0,30,39,38.19,1.5,4.64,1.01,0.983,20,23
1,Small,20,31,4.0,3,10.951,4.0,15.2,12.0,83.097,0,31,39,11.95,3.13,4.69,1.06,0.974,19,23
4,SUV,17,33,13.5,7,14.627,13.5,51.3,40.5,5.938,0,33,39,11.62,3.56,4.75,0.93,0.976,19,21
3,SUV,22,31,13.5,3,4.474,13.5,51.3,40.5,57.822,0,31,39,45.17,1.52,4.77,0.95,0.986,20,21
1,Small,20,32,4.0,3,10.58,4.0,15.2,12.0,15.242,0,29,32,21.96,2.06,4.75,0.95,0.978,20,22
2,Small,18,29,5.0,3,13.021,4.0,15.2,11.0,86.377,0,18,23,24.92,2.08,4.79,0.94,0.981,19,22
2,SUV,18,33,13.5,3,8.434,13.5,51.3,40.5,57.822,0,18,23,36.67,1.64,4.75,0.99,0.984,20,22
5,SUV,19,30,13.5,7,9.026,13.5,51.3,40.5,24.344,0,19,23,48.05,0.98,4.78,0.92,0.979,21,22
4,SUV,17,34,13.5,3,11.514,13.5,51.3,40.5,5.938,0,29,34,31.17,2.07,4.65,1.12,0.985,19,22
2,Small,18,30,4.0,7,8.948,4.0,15.2,12.0,24.344,0,18,23,45.72,2.68,4.78,1.2,0.992,20,22
2,Sedan,19,32,6.0,7,7.182,6.0,22.8,18.0,86.377,0,32,39,41.11,1.46,4.71,0.91,0.983,19,22
2,Truck,21,31,17.5,7,10.771,17.5,66.5,52.5,5.938,0,21,23,36.67,3.28,4.63,0.96,0.992,21,23
1,Small,21,31,4.0,7,4.976,4.0,15.2,12.0,86.377,0,21,23,24.39,1.89,4.65,1.01,0.979,20,21
1,Small,19,32,4.0,3,11.483,4.0,15.2,12.0,5.938,0,29,32,8.87,2.33,4.71,0.92,0.953,21,22
5,SUV,21,30,13.5,7,6.582,13.5,51.3,40.5,5.938,0,21,23,43.22,3.21,4.8,1.22,0.993,21,21
3,Small,22,29,5.0,7,12.733,4.0,15.2,11.0,57.822,0,29,39,42.75,2.39,4.78,1.19,0.99,20,21
4,Truck,21,35,17.5,3,10.055,17.5,66.5,52.5,10.783,0,29,35,27.19,1.01,4.71,0.99,0.964,21,23
2,Sedan,21,31,6.0,7,11.554,6.0,22.8,18.0,15.242,0,21,23,33.8,1.3,4.61,1.24,0.977,21,22
2,Small,24,32,4.0,7,11.27,4.0,15.2,12.0,5.938,0,32,39,29.26,1.16,4.62,1.2,0.971,19,21
4,Small,23,31,4.0,3,9.139,4.0,15.2,12.0,57.822,0,31,39,23.81,1.68,4.62,1.19,0.975,21,21
4,Small,21,31,4.0,7,11.787,4.0,15.2,12.0,24.344,0,31,39,20.35,1.43,4.73,1.16,0.966,19,21
1,SUV,20,32,13.5,7,13.622,13.5,51.3,40.5,10.783,0,20,23,8.19,2.9,4.76,1.13,0.959,19,21
3,Small,22,32,4.0,3,8.28,4.0,15.2,12.0,57.822,0,29,32,47.3,1.98,4.71,1.11,0.989,20,23
4,Small,20,31,5.0,7,14.221,4.0,15.2,11.0,3.045,0,20,23,33.17,1.02,4.69,0.96,0.971,19,22
1,Sedan,21,30,6.0,7,7.494,6.0,22.8,18.0,5.938,0,21,23,22.57,2.38,4.63,1.2,0.982,20,23
5,Sedan,22,31,6.0,3,8.895,6.0,22.8,18.0,10.783,0,31,39,9.16,3.45,4.69,1.02,0.969,21,21
4,Small,18,34,4.0,7,11.447,4.0,15.2,12.0,5.938,0,34,39,33.45,1.63,4.65,0.98,0.982,21,22
3,Sedan,18,32,6.0,3,3.776,6.0,22.8,18.0,83.097,0,32,39,46.82,1.62,4.75,0.99,0.987,21,21
4,Truck,16,32,17.5,3,9.477,17.5,66.5,52.5,86.377,0,29,32,23.52,2.4,4.66,1.12,0.982,21,22
5,Small,22,31,4.0,3,6.543,4.0,15.2,12.0,10.783,0,31,39,31.23,3.58,4.78,0.95,0.991,20,22
5,SUV,18,30,13.5,3,8.428,13.5,51.3,40.5,24.344,0,18,23,39.82,1.91,4.68,0.91,0.987,19,21
3,Small,18,31,4.0,7,10.376,4.0,15.2,12.0,5.938,0,18,23,39.03,2.5,4.71,1.18,0.99,20,21
4,Sedan,21,33,6.0,3,7.475,6.0,22.8,18.0,5.938,0,21,23,49.07,0.59,4.8,1.04,0.966,21,21
2,Small,19,31,5.0,3,12.113,4.0,15.2,11.0,83.097,0,31,39,40.76,2.15,4.68,1.08,0.989,20,22
5,Sedan,19,30,6.0,7,9.177,6.0,22.8,18.0,15.242,0,30,39,7.28,1.23,4.71,1.21,0.894,21,21
1,Sedan,20,30,7.0,7,15.304,6.0,22.8,17.0,83.097,0,20,23,33.46,3.04,4.65,1.04,0.99,19,23
3,SUV,16,33,13.5,7,4.631,13.5,51.3,40.5,86.377,0,16,23,45.03,1.74,4.73,1.13,0.987,19,23
5,SUV,20,31,13.5,3,9.578,13.5,51.3,40.5,15.242,0,20,23,16.2,2.57,4.74,1.06,0.976,19,21
3,Small,19,31,6.0,3,15.846,4.0,15.2,10.0,3.045,0,19,23,13.6,1.9,4.7,0.96,0.962,20,23
