,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.155887,1.033926,1.236798,1.238564,0.973218,1.176131,0.971011,0.885303,0.835639,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.655423,0.99316,0.942784,1.41297,1.185387,1.191682,0.836032,1.758717,1.310447,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.902207,4.60581,4.044351,4.596906,0.73569,4.606456,0.611111,0.803703,2.139972,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.119378,2.825609,5.026921,4.880024,5.174734,5.14715,3.134923,2.618286,2.68375,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96234,6.138316,5.546722,4.575601,6.227645,0.941908,0.988232,11.99439,3.35654,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802867,0.873531,0.766371,0.985891,1.771969,0.653897,9.257159,1.777348,0.803076,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.679412,3.351945,4.930549,5.208268,4.182315,8.185481,0.595236,2.867426,8.687425,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.786083,2.540049,2.675947,2.841988,2.452101,3.073923,2.838657,3.078518,5.361304,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.212821,7.712209,0.53531,2.089367,2.061249,2.253327,1.707609,1.037271,0.441835,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.851233,1.24525,1.090411,0.371824,0.529434,0.380243,0.457579,1.840135,0.620307,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.337576,1.642019,1.912662,1.624147,2.497463,2.530282,3.041675,1.707621,1.203841,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601063,2.339878,0.872422,2.145731,0.378186,0.628071,0.670575,8.092347,3.562879,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.596846,2.762539,3.00447,3.276928,2.507457,4.097543,3.062665,2.721743,3.929846,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.506111,7.753447,6.517108,8.991741,7.434502,7.336053,8.228857,6.219991,6.396205,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.045347,4.377637,5.76614,6.999791,5.500847,7.032316,5.939508,5.068542,4.504444,30,0
