,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.041866,0.045539,0.00624,0.0,0.0,0.0,0.026356,0.0,0.069926,0.0,0.0,0.0,0.058325,0.155317,0.059643,0.0,0.063779,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097423,0.041528,0.142573,0.180407,0.18786,0.482366,0.160461,0.069537,0.291425,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.627385,0.590169,0.670398,0.791761,0.497221,0.737857,0.616166,0.753624,0.622396,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896636,0.84873,0.806267,0.853628,0.873581,0.79913,0.798594,0.849078,0.878407,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922759,0.690424,0.838024,0.75556,0.690994,0.916797,0.706245,0.538747,0.950378,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.739852,0.410616,0.272026,0.650895,0.941418,0.771383,0.421719,0.644593,0.49446,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.697162,1.002003,0.644134,0.601022,0.403453,0.297634,1.255539,0.650709,0.394665,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294426,0.402188,0.375118,0.321261,0.388615,0.374126,0.22227,0.31625,0.389204,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185654,0.39253,0.217143,0.227438,0.156831,0.22833,0.291322,0.181025,0.213414,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303782,0.02916,0.109849,0.122251,0.464045,0.116191,0.099124,0.155557,0.085842,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083522,0.227589,0.178369,0.08171,0.097739,0.152351,0.080829,0.050359,0.105564,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038927,0.077105,0.114341,0.073729,0.13376,0.101396,0.087502,0.152188,0.125045,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148796,0.220854,0.142488,0.27907,0.129077,0.124791,0.317619,0.097406,0.169263,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577378,0.697218,0.748761,0.648161,0.788663,0.564445,0.517444,0.279901,0.655374,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341723,0.468367,0.467097,0.371732,0.221634,0.449066,0.260824,0.400635,0.547568,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416682,0.066204,0.040357,0.043669,0.731168,0.430575,0.997936,0.879986,0.438007,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084692,0.052326,0.073938,0.071986,0.06856,0.079403,0.065556,0.093077,0.075446,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193915,0.033443,0.053364,0.08616,0.127172,0.25924,0.163487,0.003937,0.23875,33,0
18,0.0,0.01351,0.07556,0.011832,0.0,0.0,0.0,0.073951,0.019457,0.007607,0.0,0.0,0.0,0.032248,0.083775,0.087109,0.0,0.0,34,0
19,0.0,0.038645,0.030842,0.0,0.007689,0.0,0.0,0.002708,0.055608,0.022558,0.0,0.0,0.007646,0.0,0.012165,0.006973,0.0,0.0,35,0
20,0.077484,0.061642,0.071758,0.052941,0.0,0.0,0.028872,0.077397,0.051113,0.0,0.0,0.0,0.0,0.021542,0.016733,0.0,0.0,0.0,36,0
21,0.039008,0.077522,0.097595,0.040023,0.0,0.0,0.0,0.07783,0.028282,0.0,0.0,0.0,0.0,0.095108,0.035124,0.018068,0.0,0.0,37,0
22,0.112342,0.106073,0.109395,0.126086,0.003505,0.024473,0.044756,0.101768,0.095137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0
23,0.104828,0.088382,0.070488,0.102197,0.053358,0.045278,0.040598,0.114142,0.09412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0
0,0.0,0.0,0.0,0.0,0.0,0.011548,0.0,0.0,0.035054,0.041906,0.139268,0.101097,0.095218,0.12097,0.0,0.013342,0.044362,0.0,16,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325224,0.502647,0.349916,0.582384,0.332597,0.471058,0.567104,0.469502,0.447093,17,1
2,0.0,0.0,0.0,0.0,0.0,0.020022,0.0,0.0,0.0,0.006645,0.008779,0.24166,0.26978,0.179055,0.0,0.093146,0.054464,0.015217,18,1
3,0.346895,0.180494,0.151705,0.247472,0.396254,0.580105,0.567601,0.68219,0.450159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1
