,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.000179,0.0,0.0,0.0,0.001203,0.0,0.0,0.0,0.004276,0.0,0.000979,0.000167,0.000642,0.0,0.005867,0.00141,0.002854,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00732,0.010023,0.0087,0.011766,0.015062,0.008902,0.009289,0.01203,0.010769,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02453,0.019142,0.017362,0.021787,0.02477,0.017283,0.015407,0.019326,0.018938,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026069,0.022675,0.022294,0.023638,0.026736,0.021864,0.014352,0.019865,0.026291,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027538,0.021246,0.023177,0.022494,0.028881,0.02301,0.02019,0.023426,0.028535,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02143,0.017053,0.018709,0.02142,0.021697,0.021849,0.011647,0.025569,0.018001,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017648,0.018083,0.013596,0.015217,0.020808,0.014807,0.013202,0.014521,0.019567,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010407,0.01356,0.008459,0.011043,0.013115,0.011063,0.00748,0.010319,0.010018,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00653,0.005594,0.005222,0.006598,0.006598,0.006626,0.004912,0.006143,0.005461,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00281,0.001284,0.001935,0.004297,0.003375,0.002393,0.001969,0.002633,0.002266,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018207,0.010415,0.020161,0.003733,0.002312,0.002173,0.055547,0.012286,0.008159,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002562,0.002194,0.002064,0.002272,0.001747,0.002684,0.002101,0.002942,0.002834,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003356,0.004573,0.002584,0.006911,0.004103,0.006479,0.002846,0.004993,0.004017,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016678,0.01183,0.005235,0.02204,0.019272,0.017571,0.004648,0.018546,0.01865,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01069,0.010739,0.005052,0.007523,0.015154,0.01013,0.003921,0.008029,0.007075,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018999,0.017823,0.043667,0.010204,0.014926,0.019208,0.020773,0.00977,0.006575,31,0
