,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094629,0.098859,0.089234,0.086414,0.084315,0.087787,0.109856,0.126895,0.090719,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156347,0.223726,0.284187,0.334312,0.167794,0.256392,0.228516,0.292456,0.157844,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.560665,0.462205,0.305512,0.259059,0.193788,0.218258,0.252543,0.291774,0.211619,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499608,0.459373,0.353339,0.507231,0.208256,0.284756,0.46923,0.560412,0.568199,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257182,0.315479,0.452106,0.328868,0.201276,0.311972,0.360211,0.432702,0.40825,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360639,0.475309,0.231277,0.340697,0.248318,0.580684,0.299724,0.209656,0.332222,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478971,0.473777,0.411169,0.434518,1.3266,0.442935,0.317757,0.440875,0.296446,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225578,0.249777,0.23322,0.224839,0.200189,0.302696,0.223896,0.264373,0.220256,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19476,0.210965,0.151933,0.185922,0.165212,0.201691,0.120458,0.48022,0.399617,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030855,0.020754,0.238194,0.732429,0.121075,0.84548,0.166688,0.030669,0.293365,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129346,0.176541,0.143754,0.144351,0.145604,0.16349,0.122034,0.171278,0.140189,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162363,0.180482,0.142883,0.168047,0.108388,0.174305,0.547957,0.204626,0.168078,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173609,0.239172,0.228353,0.253111,0.153928,0.238611,0.172113,0.3322,0.170687,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419401,0.786868,0.333168,0.43211,0.413604,0.497227,0.581307,0.452628,0.205827,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212555,0.710453,0.30241,0.279374,0.129666,0.139275,0.332361,0.288611,0.198523,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658968,0.562683,1.132579,0.025944,0.81205,0.096367,0.325497,0.099053,0.934597,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152167,0.039354,0.035161,0.97128,0.138562,0.774804,0.228398,1.046452,0.320798,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150766,0.196646,0.191676,0.151692,0.136536,0.16908,0.397455,0.25411,0.143696,33,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104823,0.126007,0.16343,0.12128,0.105865,0.109011,0.11063,0.10783,0.11297,34,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367965,0.382602,0.075737,0.077672,0.405663,0.081089,0.174941,0.074739,0.272553,35,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078965,0.070515,0.068182,0.062861,0.074581,0.066961,0.081424,0.071653,0.068285,36,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080235,0.068013,0.486695,0.270122,0.081618,0.187228,0.086496,0.165424,0.069569,37,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080222,0.066194,0.07256,0.070252,0.081814,0.075327,0.080746,0.08217,0.076181,38,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084354,0.064516,0.075247,0.06702,0.069242,0.063446,0.079148,0.079751,0.075838,39,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158052,0.161966,0.186,0.161996,0.129544,0.155192,0.160518,0.176259,0.103676,16,1
