,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096964,0.144142,0.100023,0.186645,0.124623,0.148883,0.149079,0.155581,0.104787,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36861,0.450172,0.288136,0.383335,0.364299,0.35781,0.400265,0.449693,0.369768,17,0
2,0.0,0.0,0.035168,0.0,0.0,0.0,0.0,0.0,0.041433,0.451802,0.472665,0.0,0.447068,0.432186,0.475446,0.408017,0.42073,0.0,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471437,0.490228,0.465579,0.506027,0.465329,0.466384,0.449223,0.530464,0.442519,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405639,0.469687,0.488018,0.463382,0.432624,0.457964,0.438884,0.509821,0.480136,20,0
5,0.0,0.045133,0.0,0.0,0.0,0.046417,0.055094,0.052724,0.0,0.351598,0.0,0.402396,0.418679,0.390629,0.0,0.0,0.0,0.370448,21,0
6,0.0,0.0,0.0,0.03551,0.0,0.0,0.0,0.0,0.0,0.49018,0.487645,0.488078,0.0,0.474039,0.486578,0.447814,0.469894,0.433526,22,0
7,0.0,0.051252,0.062475,0.049824,0.0,0.040325,0.0,0.060209,0.0,0.390109,0.0,0.0,0.0,0.393202,0.0,0.436623,0.0,0.408274,23,0
8,0.046877,0.040412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47433,0.469928,0.429499,0.420775,0.453713,0.474863,0.422269,24,0
9,0.0,0.0,0.020981,0.023107,0.020699,0.0,0.019998,0.0,0.010232,0.400025,0.44482,0.0,0.0,0.0,0.380798,0.0,0.487245,0.0,25,0
10,0.059743,0.0,0.0,0.0,0.043759,0.0,0.058656,0.0,0.0,0.0,0.425808,0.428336,0.444815,0.0,0.413236,0.0,0.456393,0.404553,26,0
11,0.0,0.027383,0.0,0.0,0.024623,0.0,0.0,0.030233,0.037343,0.343742,0.0,0.416884,0.386634,0.0,0.386014,0.395363,0.0,0.0,27,0
12,0.0,0.0,0.0,0.0,0.035556,0.0,0.0,0.0,0.0,0.380459,0.465598,0.426162,0.473286,0.0,0.426471,0.410824,0.464472,0.401451,28,0
13,0.059793,0.0,0.064162,0.053443,0.0,0.055815,0.057968,0.0,0.054326,0.0,0.488766,0.0,0.0,0.44752,0.0,0.0,0.484268,0.0,29,0
14,0.0,0.004583,0.006032,0.0111,0.004015,0.004975,0.0,0.011051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367428,0.0,0.229488,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.073647,0.0,0.0,0.413785,0.464752,0.468366,0.447443,0.373174,0.461659,0.0,0.458729,0.353254,31,0
16,0.016471,0.0,0.0,0.0,0.0,0.0,0.0,0.015075,0.0,0.0,0.46816,0.413646,0.453295,0.36747,0.365232,0.440396,0.0,0.371944,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.394712,0.375707,0.440167,0.454343,0.40425,0.418213,0.439456,0.405609,0.360735,33,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265566,0.36391,0.27963,0.455315,0.294787,0.304835,0.241596,0.380002,0.271494,34,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231907,0.249171,0.235049,0.352187,0.247792,0.239206,0.210774,0.235005,0.288669,35,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188396,0.250932,0.22282,0.168181,0.142833,0.190466,0.22004,0.253285,0.142473,36,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244216,0.244209,0.229159,0.12588,0.206701,0.16042,0.264525,0.224344,0.13805,37,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162161,0.154977,0.169527,0.199818,0.224638,0.241733,0.246587,0.205058,0.300314,38,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08449,0.064605,0.075119,0.066367,0.069378,0.063572,0.079362,0.079318,0.075787,39,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169305,0.152722,0.14636,0.206577,0.146538,0.160891,0.212308,0.17352,0.124197,16,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.040874,0.0,0.0,0.230436,0.283457,0.243271,0.384349,0.384283,0.252458,0.0,0.184832,0.11885,17,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464656,0.472665,0.144379,0.447068,0.432986,0.475446,0.416333,0.42073,0.421994,18,1
3,0.132694,0.113574,0.138655,0.097498,0.13891,0.137836,0.155298,0.072632,0.162119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1
4,0.23733,0.709784,0.332614,0.738163,0.028682,0.641112,0.271006,0.719241,0.319829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381508,0.41145,0.402396,0.418679,0.393172,0.391581,0.50288,0.462674,0.370448,21,1
6,0.0,0.0,0.0,0.094031,0.0,0.0,0.0,0.0,0.0,0.437646,0.435066,0.435507,0.0,0.421222,0.433981,0.394536,0.417004,0.379997,22,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397753,0.415228,0.445762,0.420508,0.395086,0.415207,0.436623,0.448274,0.408274,23,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419506,0.424764,0.47433,0.469928,0.429499,0.455957,0.461289,0.474863,0.422269,24,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405167,0.44482,0.0,0.434561,0.378484,0.408908,0.390351,0.487245,0.390768,25,1
