,Minute_of_day,reference,November,Active_Occupancy,Total_lighting,CHEST_FREEZER,FRIDGE_FREEZER,FRIDGE,UPRIGHT_FREEZER,ANSWER_MACHINE,CD_PLAYER,CLOCK,PHONE,HIFI,IRON,VACUUM,FAX,PC,PRINTER,TV1,TV2,TV3,VCR_DVD,RECEIVER,HOB,OVEN,MICROWAVE,KETTLE,SMALL_COOKING
0,1,00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
1,2,00:01:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
2,3,00:02:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
3,4,00:03:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
4,5,00:04:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
5,6,00:05:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
6,7,00:06:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
7,8,00:07:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
8,9,00:08:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
9,10,00:09:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
10,11,00:10:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
11,12,00:11:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
12,13,00:12:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
13,14,00:13:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
14,15,00:14:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
15,16,00:15:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
16,17,00:16:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
17,18,00:17:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
18,19,00:18:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
19,20,00:19:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
20,21,00:20:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
21,22,00:21:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
22,23,00:22:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
23,24,00:23:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
24,25,00:24:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
25,26,00:25:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
