NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
2,Small,22,32,4.0,3,9.845,4.0,15.2,12.0,5.938,0,32,39,41.14,1.9,4.68,0.92,0.987,20,22
1,Small,16,31,4.0,7,10.81,4.0,15.2,12.0,24.344,0,16,23,20.99,3.03,4.64,1.07,0.984,20,21
4,Sedan,19,29,6.0,7,10.685,6.0,22.8,18.0,57.822,0,19,23,44.07,2.64,4.64,1.22,0.991,20,23
5,Small,19,35,4.0,3,8.338,4.0,15.2,12.0,15.242,0,19,23,23.58,3.47,4.71,0.96,0.988,20,21
2,Small,20,32,4.0,7,8.705,4.0,15.2,12.0,83.097,0,29,32,38.54,2.37,4.73,0.99,0.989,19,22
2,Small,17,33,4.0,3,10.546,4.0,15.2,12.0,15.242,0,17,23,15.22,2.58,4.71,1.1,0.975,19,22
2,SUV,25,34,13.5,3,8.11,13.5,51.3,40.5,86.377,0,34,39,47.26,0.91,4.61,1.19,0.977,21,21
4,Small,20,32,4.0,7,9.818,4.0,15.2,12.0,83.097,0,29,32,8.52,0.92,4.79,1.12,0.88,19,22
1,SUV,19,32,13.5,3,6.054,13.5,51.3,40.5,10.783,0,32,39,10.98,0.98,4.71,1.06,0.911,21,22
3,Sedan,18,34,7.0,7,15.39,6.0,22.8,17.0,57.822,0,29,34,13.92,2.59,4.7,0.9,0.973,19,22
3,Small,17,32,4.0,3,3.836,4.0,15.2,12.0,57.822,0,17,23,17.14,0.88,4.76,1.24,0.936,21,22
4,Small,19,33,4.0,7,7.969,4.0,15.2,12.0,3.045,0,29,33,27.69,2.59,4.63,1.06,0.986,21,23
2,Small,18,33,4.0,7,5.381,4.0,15.2,12.0,10.783,0,29,33,21.22,2.93,4.67,1.1,0.984,19,22
5,Small,20,29,4.0,3,5.937,4.0,15.2,12.0,5.938,0,20,23,32.52,3.25,4.79,1.08,0.991,19,23
