NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
5,Sedan,18,30,6.0,7,11.332,6.0,22.8,18.0,86.377,0,30,39,13.03,0.58,4.77,1.15,0.876,20,22
5,Truck,20,30,17.5,3,5.939,17.5,66.5,52.5,24.344,0,30,39,28.47,3.13,4.79,0.97,0.989,20,22
1,Truck,21,32,17.5,7,7.633,17.5,66.5,52.5,57.822,0,21,23,29.85,1.42,4.74,1.05,0.977,20,22
3,Sedan,18,31,6.0,3,5.702,6.0,22.8,18.0,3.045,0,18,23,36.25,0.54,4.66,0.94,0.95,20,23
5,Small,21,31,6.0,7,15.009,4.0,15.2,10.0,10.783,0,31,39,25.04,1.96,4.79,0.97,0.98,20,23
1,Truck,18,33,17.5,3,8.672,17.5,66.5,52.5,86.377,0,33,39,31.6,1.28,4.71,1.04,0.976,20,21
5,Sedan,22,31,6.0,3,5.469,6.0,22.8,18.0,5.938,0,31,39,12.39,1.1,4.65,1.17,0.929,20,21
4,Small,22,31,4.0,7,11.037,4.0,15.2,12.0,3.045,0,31,39,13.08,1.79,4.72,1.07,0.958,19,22
2,Small,19,30,5.0,7,13.696,4.0,15.2,11.0,10.783,0,30,39,12.64,0.6,4.65,1.04,0.876,21,22
2,Small,17,29,7.0,3,19.106,4.0,15.2,9.0,15.242,0,17,23,39.48,1.44,4.63,1.15,0.983,20,23
2,Truck,17,33,17.5,7,5.452,17.5,66.5,52.5,83.097,0,17,23,44.35,1.68,4.72,1.14,0.987,21,21
4,SUV,16,30,13.5,3,13.137,13.5,51.3,40.5,10.783,0,30,39,40.58,3.51,4.71,1.14,0.993,20,22
5,Small,17,30,5.0,3,12.661,4.0,15.2,11.0,15.242,0,17,23,44.17,0.71,4.8,1.06,0.969,20,21
2,Small,21,29,5.0,7,11.935,4.0,15.2,11.0,24.344,0,29,39,40.4,0.94,4.61,1.22,0.974,20,21
5,Sedan,23,31,6.0,7,12.615,6.0,22.8,18.0,3.045,0,31,39,43.94,1.98,4.79,1.14,0.989,20,23
3,Truck,20,31,17.5,7,11.469,17.5,66.5,52.5,83.097,0,31,39,41.42,1.92,4.74,1.08,0.988,19,23
5,Sedan,19,32,6.0,7,9.183,6.0,22.8,18.0,86.377,0,32,39,19.97,2.23,4.77,1.18,0.978,20,21
2,Small,19,30,4.0,3,9.036,4.0,15.2,12.0,3.045,0,19,23,16.53,0.56,4.79,1.24,0.898,20,21
3,Small,22,34,4.0,3,2.389,4.0,15.2,12.0,24.344,0,34,39,26.37,2.7,4.69,1.13,0.986,21,22
4,SUV,20,34,13.5,3,13.16,13.5,51.3,40.5,15.242,0,20,23,15.39,1.57,4.78,1.19,0.959,21,21
5,Sedan,19,34,6.0,3,11.779,6.0,22.8,18.0,57.822,0,34,39,17.34,3.09,4.74,0.96,0.982,20,21
4,Sedan,18,31,6.0,3,10.592,6.0,22.8,18.0,15.242,0,18,23,42.52,2.23,4.62,1.02,0.99,21,22
