Iteration,"DAs_load
E_DAs_L","DAs_generation
E_DAs_G","DAs_demand_bid
b_t","DAs_supply_offer
o_t",EVs_Charge,EVs_Discharge,TCL_Power,SL_Power,Inflexible_loads,Solar_Power,Gen1,Gen2,Gen3,CDA1_supply,CDA2_supply,CDA1_demand,CDA2_demand,Bus1_price,Bus2_price,Bus3_price,Theta_bus_1,Theta_bus_2,Theta_bus_3
0,0.6067863415660262,0.0,0.6067863415660262,0.0,0.06572340425531914,0.0,0.0,0.18844319999999998,0.3530410881,0.00042135078929236776,0.9967863415660262,0.0,0.0,0.0,0.0,0.025,0.365,15.0,15.0,15.0,0.0,0.0,0.0
0,1.3165547180828863,0.0,1.3165547180828863,0.0,0.34785106382978737,0.0,1.734723475976807e-20,0.372078,0.597045233,0.0004195787468980479,1.7495547180828863,0.0,0.0,0.0,0.0,0.223,0.21,15.0,15.0,15.0,0.0,0.0,0.0
0,0.3859999999999999,0.0,0.3859999999999999,0.0,0.0,0.4068027945033518,0.0,0.009553400000000002,0.7836675652999999,0.0004181707966486651,2.0,0.0,0.0,0.0,0.0,0.677,0.937,15.0,15.000000000000005,15.000000000000002,0.0,0.0,0.0
0,1.304,0.0,1.304,0.0,0.0,1.8036846347563675e-05,0.0,0.45159650000000023,0.8528434138000001,0.0004218769536512194,2.0,0.0,0.0,0.0,0.0,0.087,0.609,15.0,15.000000000000005,15.000000000000002,0.0,0.0,0.0
0,1.241,0.0,1.241,0.0,0.0,0.02877912229999983,0.0,0.4397278000000001,0.8300513223,0.0,2.0,0.0,0.0,0.0,0.0,0.03,0.729,15.0,15.000000000000005,15.000000000000002,0.0,0.0,0.0
0,1.116,0.0,1.116,0.0,0.0,0.05173052360000043,0.0,0.34980679999999986,0.8179237235999999,0.0,2.0,0.0,0.0,0.0,0.0,0.505,0.379,15.0,15.000000000000005,15.000000000000002,0.0,0.0,0.0
0,1.5589999999999997,0.0,1.5589999999999997,0.0,0.0,0.0008756777304058953,0.0036339200304049794,0.7474406999999988,0.8088010577,0.0,2.0,0.0,0.0,0.199,0.0,0.0,0.64,15.0,15.000000000000005,15.000000000000002,0.0,0.0,0.0
0,0.77,0.0,0.77,0.0,0.08284868157013495,0.0,0.013400409529864078,0.0,0.6737509089,0.0,2.0,0.0,0.0,0.0,0.0,0.545,0.685,15.0,15.000000000000005,15.000000000000002,0.0,0.0,0.0
0,0.6350000000000005,0.0,0.6350000000000005,0.0,0.19276993492395267,0.0,0.008171678376047304,0.0,0.4340583867,0.0,2.0,0.0,0.0,0.0,0.0,0.589,0.776,15.0,15.000000000000005,15.000000000000002,0.0,0.0,0.0
0,1.797048422590084,0.0,1.797048422590084,0.0,1.5682919873245795,0.0,0.08021375156550761,0.0,0.1485426837,0.0,1.835048422590084,0.0,0.0,0.0,0.0,0.006,0.032,15.0,15.000000000000005,15.000000000000002,0.0,0.0,0.0
0,0.4027243732368079,0.0,0.4027243732368079,0.0,0.08426256224535983,0.0,0.16680855749144816,0.0,0.1516532535,0.0,1.368724373236808,0.0,0.0,0.0,0.0,0.698,0.268,15.0,15.000000000000005,15.000000000000002,0.0,0.0,0.0
