,offer_01,offer_02,offer_03,bids_01,bids_02,bids_03,Time,Iteration
0,0.0,0.0,0.0,0.57872,0.446,0.61,16,0
1,0.071,0.0,0.0,0.0,1.442054,0.567,17,0
2,0.0,0.0,0.0,0.784,1.044,2.464453,18,0
3,0.146,0.0,0.0,0.0,0.376,0.304,19,0
4,0.0,0.0,0.0,6.62478,0.329,0.241,20,0
5,0.0,0.0,0.0,0.186,0.06,4.704279,21,0
6,0.0,0.0,0.0,6.779122,5.783043,0.559,22,0
7,0.0,0.0,0.23,0.052,0.192,0.0,23,0
8,0.0,0.0,0.0,0.045,0.232,4.152543,24,0
9,0.0,0.0,0.0,0.097,3.941499,0.962,25,0
10,0.0,0.337,0.0,0.093,0.0,0.034,26,0
11,0.096,0.0,0.098,0.0,0.692,0.0,27,0
12,0.0,0.0,0.0,0.146,0.124,0.348,28,0
13,0.0,0.0,0.0,0.074,0.567,0.701,29,0
14,0.0,0.0,0.063,0.865,0.72,0.0,30,0
15,0.0,0.0,0.0,1.682,1.199,0.023,31,0
16,0.0,0.0,0.0,2.088398,2.881802,1.620573,32,0
17,0.0,0.0,0.0,1.221986,0.39,0.755565,33,0
18,0.0,0.0,0.0,1.715151,0.686096,2.5002,34,0
19,0.0,0.0,0.0,0.976,0.909,0.394317,35,0
20,0.0,0.0,0.0,1.807981,1.714993,1.000937,36,0
21,0.0,0.0,0.0,0.326363,0.582984,0.338748,37,0
22,0.0,0.0,0.0,0.303898,0.68295,0.810959,38,0
23,0.0,0.0,0.0,0.294517,0.304394,0.311317,39,0
0,0.0,0.0,0.0,0.486502,0.609184,0.502634,16,1
1,0.0,0.0,0.0,1.071353,0.49812,0.936928,17,1
2,0.0,0.0,0.0,2.138046,1.114838,1.532769,18,1
3,0.0,0.0,0.0,0.31534,0.83734,0.76534,19,1
4,0.0,0.0,0.0,0.422,3.12121,1.8386,20,1
5,0.0,0.0,0.0,2.697244,3.092042,0.74762,21,1
6,0.0,0.0,0.0,5.964018,2.514868,2.12516,22,1
7,0.0,0.0,0.0,1.02814,1.16814,0.74614,23,1
8,3.350248,3.163248,0.0,0.0,0.0,0.71212,24,1
9,0.0,0.05718,0.0,5.02037,0.0,1.321404,25,1
10,0.0,0.0,0.0,1.2909,0.8609,1.2319,26,1
11,0.0,0.0,0.0,0.40098,1.18898,0.39898,27,1
12,0.0,0.0,0.0,0.52418,0.50218,0.72618,28,1
13,0.26458,0.0,0.0,0.0,4.775242,0.36242,29,1
14,0.0,0.0,0.57978,0.34822,0.20322,0.0,30,1
15,0.20296,0.68596,0.0,0.0,0.0,1.766521,31,1
16,0.0,0.0,0.0,2.054651,4.834013,3.998221,32,1
17,0.0,0.0,0.0,4.096977,1.303823,0.983309,33,1
18,0.0,0.0,0.0,0.831511,0.70964,0.6955,34,1
19,0.0,0.0,0.0,0.357089,0.478314,0.434585,35,1
20,0.0,0.0,0.0,0.399369,0.328763,0.315994,36,1
21,0.0,0.0,0.0,0.285889,0.337244,0.334485,37,1
22,0.0,0.0,0.0,0.303898,0.315121,0.324164,38,1
23,0.0,0.0,0.0,0.294517,0.304394,0.311317,39,1
0,0.0,0.0,0.0,0.474363,0.466493,0.361003,16,2
1,0.0,0.0,0.0,1.02685,1.358536,0.774939,17,2
2,0.0,0.0,0.0,2.252097,2.014582,1.95383,18,2
3,0.5935,0.0715,0.1435,0.0,0.0,0.0,19,2
4,0.0,1.306032,0.0,6.086559,0.0,2.199519,20,2
5,2.848513,2.458923,0.0,0.0,0.0,1.863313,21,2
6,0.0,0.0,0.0,5.620206,6.034377,2.072835,22,2
