,offer_01,offer_02,offer_03,bids_01,bids_02,bids_03,Time,Iteration
0,0.0,0.0,0.0,0.185457,0.252697,0.179519,16,0
1,0.0,0.0,0.0,0.406712,0.471471,0.610123,17,0
2,0.0,0.0,0.0,0.627021,0.753286,0.614053,18,0
3,0.0,0.0,0.0,1.68233,1.028195,0.780982,19,0
4,0.0,0.0,0.0,2.024362,2.408888,1.782282,20,0
5,0.494902,0.212246,0.0,0.0,0.0,1.25982,21,0
6,1.797675,1.294459,0.354626,0.0,0.0,0.0,22,0
7,0.0,0.0,0.0,1.877776,2.321718,1.670517,23,0
8,0.531618,0.0,0.0,0.0,1.227486,0.247814,24,0
9,0.0,0.296184,0.91554,1.979778,0.0,0.0,25,0
10,0.199056,0.0,0.0,0.0,0.775574,0.008208,26,0
11,0.078864,1.74566,0.0,0.0,0.0,1.006572,27,0
12,0.0,0.0,0.918352,0.650394,0.43588,0.0,28,0
13,0.0,0.0,0.0,1.591899,1.747322,1.466288,29,0
14,0.0,0.0,0.0,1.226099,1.252836,0.75313,30,0
15,0.0,0.0,0.0,0.789837,1.176308,0.908213,31,0
16,0.0,0.0,0.0,0.724135,0.376916,0.43062,32,0
17,0.0,0.0,0.0,0.459606,0.455786,0.351261,33,0
18,0.0,0.0,0.0,0.280099,1.658742,0.290887,34,0
19,0.0,0.0,0.0,0.188435,0.204062,0.164258,35,0
20,0.0,0.0,0.0,0.301716,0.174957,0.721723,36,0
21,0.0,0.0,0.0,1.545545,0.159119,0.586635,37,0
22,0.0,0.0,0.0,0.14817,0.152668,0.165234,38,0
23,0.0,0.0,0.0,0.150626,0.153252,0.158939,39,0
0,0.0,0.0,0.0,0.338323,0.318796,0.309867,16,1
1,0.097938,0.035964,0.0,0.0,0.0,0.100542,17,1
2,0.0,0.0,0.0,0.65815,0.46101,0.457384,18,1
3,0.817857,0.0,0.0,0.0,0.719723,0.560201,19,1
4,0.0,0.0,0.0,2.185224,1.034412,0.593782,20,1
5,0.052047,0.0,0.0,0.0,0.230609,0.683668,21,1
6,0.0,0.0,0.0,1.244,1.747215,3.047666,22,1
7,0.0,0.0,0.0,1.273064,0.598255,0.52836,23,1
8,0.475863,0.0,0.0,0.0,1.283241,0.303569,24,1
9,0.0,0.066557,0.685913,2.209405,0.0,0.0,25,1
10,0.0,0.0,0.0,0.212065,1.186695,0.419329,26,1
11,0.0,0.0,0.0,0.720908,0.054112,1.365562,27,1
12,0.0,0.0,0.094595,1.474151,1.259637,0.0,28,1
13,0.0,0.0,0.0,1.044377,0.201445,0.195214,29,1
14,1.014446,0.0,0.0,0.0,0.192474,0.497122,30,1
15,0.0,0.0,0.0,1.852824,0.599263,0.29614,31,1
16,0.0,0.0,0.0,0.184213,0.676773,0.27659,32,1
17,0.0,0.0,0.0,0.178608,0.263295,0.314962,33,1
18,0.0,0.0,0.0,0.44786,0.416976,0.21971,34,1
19,0.0,0.0,0.0,0.620888,0.642024,0.587589,35,1
20,0.0,0.0,0.0,0.417642,0.312093,0.498838,36,1
21,0.0,0.0,0.0,0.239646,0.159119,0.414578,37,1
22,0.0,0.0,0.0,0.667732,0.67694,0.690681,38,1
23,0.0,0.0,0.0,0.150626,0.153252,0.158939,39,1
0,0.0,0.0,0.0,0.338323,0.2875,0.28335,16,2
1,0.0,0.0,0.0,0.925088,0.925757,0.876427,17,2
2,0.0,0.117001,0.0,0.077094,0.0,0.617145,18,2
3,0.285303,0.0,0.0,0.0,1.230328,1.069969,19,2
4,0.0,0.0,0.0,2.632504,1.568169,1.21164,20,2
5,0.0,0.0,0.0,0.084345,0.367001,0.83006,21,2
6,0.0,0.0,0.0,2.826935,1.997645,1.248358,22,2
7,0.155297,0.819059,0.0,0.0,0.0,0.826272,23,2
8,0.585701,0.0,0.0,0.0,1.173403,0.193731,24,2
9,0.0,0.518923,1.138279,1.757039,0.0,0.0,25,2
10,0.597843,0.0,0.390579,0.0,0.376787,0.0,26,2
11,0.0,0.0,0.0,2.64023,1.794074,0.250794,27,2
12,0.14865,0.363164,0.0,0.0,0.0,1.148627,28,2
13,0.0,0.257996,0.267048,0.574943,0.0,0.0,29,2
14,0.0,0.0,0.0,0.297156,1.492153,0.788731,30,2
