F_min_DAo,F_max_DAo,F_min_DAb,F_max_DAb,F_min_g_1,F_max_g_1,F_min_g_2,F_max_g_2,F_min_g_3,F_max_g_3,F_min_do_1,F_max_do_1,F_min_do_2,F_max_do_2,F_min_db_1,F_max_db_1,F_min_db_2,F_max_db_2,F_min_l_1,F_max_l_1,F_min_l_2,F_max_l_2,F_min_l_3,F_max_l_3
6.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,9.0,0.0,9.0,0.0,14.0,0.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,9.0,0.0,100.0,93.0,7.0,0.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,9.0,0.0,100.0,95.0,100.0,88.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,91.0,0.0,10.0,0.0,0.0,3.0,0.0,9.0,0.0,100.0,92.0,100.0,92.0,0.0,12.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,90.0,0.0,6.0,0.0,0.0,3.0,0.0,9.0,0.0,11.0,0.0,12.0,0.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,93.0,0.0,10.0,0.0,0.0,3.0,0.0,9.0,0.0,10.0,0.0,100.0,89.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,96.0,0.0,12.0,0.0,0.0,3.0,0.0,9.0,0.0,100.0,87.0,100.0,87.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,88.0,0.0,13.0,0.0,0.0,3.0,0.0,9.0,0.0,100.0,94.0,11.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,96.0,0.0,9.0,0.0,0.0,3.0,0.0,9.0,0.0,100.0,90.0,5.0,0.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,91.0,0.0,12.000000000000007,0.0,0.0,3.000000000000007,0.0,9.000000000000007,0.0,11.000000000000009,0.0,6.000000000000007,0.0,0.0,11.000000000000009,0.0,11.000000000000007,0.0,0.0,0.0,0.0,0.0,0.0
