Iteration,"DAs_load
E_DAs_L","DAs_generation
E_DAs_G","DAs_demand_bid
b_t","DAs_supply_offer
o_t",EVs_Charge,EVs_Discharge,TCL_Power,SL_Power,Inflexible_loads,Solar_Power,Gen1,Gen2,Gen3,Gen4,CDA1_supply,CDA2_supply,CDA3_supply,CDA4_supply,CDA5_supply,CDA6_supply,CDA7_supply,CDA8_supply,CDA1_demand,CDA2_demand,CDA3_demand,CDA4_demand,CDA5_demand,CDA6_demand,CDA7_demand,CDA8_demand,Bus1_price,Bus2_price,Bus3_price,Bus4_price,Bus5_price,Bus6_price,Theta_bus_1,Theta_bus_2,Theta_bus_3,Theta_bus_4,Theta_bus_5,Theta_bus_6
0,0.0,0.04453891296943312,0.0,0.04453891296943312,0.0,0.0,0.0,0.5169333333333334,3.7255418293333338,8.237932390663849,0.0010000870305668574,0.0,0.0,0.0,0.000834,0.012161,0.017637,0.00706,0.030776,0.009223,0.0,0.009855,0.021314,0.021189,0.033204,0.014105,0.008327,0.014119,0.007414,0.013413,14.999999999999995,15.0,15.000000000000002,14.99999999999999,14.999999999999996,15.000000000000004,0.0,-0.0013329742441181634,-0.002204936810264174,0.0017649640513503165,0.00038203336260307294,-0.002629134051860489
0,0.09316791922050896,0.0,0.09316791922050896,0.0,0.32000000000000006,0.0,0.0,0.057509333333333336,6.215624522666668,4.352941909874668,0.05344391922050866,0.0,0.0,0.0,0.00744,0.006984,0.028693,0.024331,0.028712,0.025704,0.010173,0.014015,0.009168,0.012339,0.032369,0.017977,0.014771,0.000118,0.015343,0.004243,15.0,15.000000000000007,15.000000000000007,14.999999999999998,14.999999999999998,15.000000000000009,0.0,-0.0045001513720230885,-0.005017835499512034,-0.0069587793575129125,-0.00572222151115024,-0.0052696813784809185
0,0.579608890938618,0.0,0.579608890938618,0.0,1.098439716312052,0.0,0.0,1.592586666666667,8.172687824000002,2.7307060871645157,0.6621178909386185,2.220446049250313e-16,0.0,0.0,0.022557,0.031222,0.0,0.0,0.001686,0.0,0.0,0.0,0.024549,0.008899,0.000383,0.006705,0.018344,0.021237,0.026512,0.031345,15.0,15.000000000000004,15.000000000000005,14.999999999999996,14.999999999999996,15.000000000000005,0.0,-0.054239589082283775,-0.059608537107757514,-0.08850849641924471,-0.0853279525821752,-0.06222045306734536
0,0.7250750203593403,0.0,0.7250750203593403,0.0,1.400283687943271,0.0,0.0,1.994704,8.809679701333334,1.5687587734845436,0.8068980203593412,0.0,0.0,0.0,0.002898,0.020303999999999878,0.017899,0.0,0.027868,0.018388999999999555,0.006438,0.020517,0.029739,0.021601,0.022724,0.033172,0.033309,0.024708,0.000789,0.030094,15.0,15.000000000000002,15.0,15.0,15.0,15.0,0.0,-0.06711473807402604,-0.07435853476376263,-0.10632153898676222,-0.10067651389579728,-0.07788253762096353
0,0.697553871524963,0.0,0.697553871524963,0.0,1.434326241134756,0.0,0.0,1.9447520000000003,8.914107184000002,0.34904474853339235,0.7176488715249636,0.0,0.0,0.0,0.0,0.024304,0.0,0.017253,0.030879,0.0,0.0,0.018265,0.014064,0.005705,0.008894,0.014603,0.0323,0.014256,0.010942,0.010032,15.0,15.000000000000004,15.000000000000005,14.999999999999996,14.999999999999996,15.000000000000005,0.0,-0.05908860063191347,-0.06511499095320561,-0.09547628667899788,-0.09023888514669456,-0.06804674312964801
0,1.0356829068141842,0.0,1.0356829068141842,0.0,7.365673758865271,0.0,0.0,9.353466666666668,8.743353152000003,0.0,1.013885906814184,0.0,0.0,0.0,0.016845,0.012649,0.01449199999999895,0.00749,0.005544,0.029437,0.009304,0.009564,0.007288,0.005447,0.003718,0.004033,0.02829,0.002508,0.03223,1.4e-05,15.0,14.999999999999943,14.999999999999982,15.000000000000096,15.000000000000137,15.0,0.0,-0.08240602497960942,-0.09017867513295079,-0.13651720987464644,-0.12722437620112156,-0.09395995759042326
0,0.8661311352567367,0.0,0.8661311352567367,0.0,2.5815602836879283,0.0,0.0,13.771029333333342,8.458896928000001,0.0,0.8710941352567372,0.0,0.0,0.0,0.006628,0.021332999999999824,0.031794,0.01961,0.007125,0.018186,0.013323,0.019333,0.000885,0.032984,0.015124,0.01127,0.016188,0.030131,0.021383,0.01433,15.0,15.000000000000012,15.00000000000001,14.999999999999991,14.999999999999996,15.000000000000009,0.0,-0.07127755337566502,-0.07828509298707557,-0.11656631973161129,-0.1097156602770809,-0.08169416017521851
0,0.3434673478581562,0.0,0.3434673478581562,0.0,1.639716312056738,0.0,0.0,0.0,7.166842453333334,0.0,0.4380903478581558,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.02282,0.00878,0.007341,0.001955,0.019417,0.017874,0.0,0.021663,0.018565,0.029195,0.00767,0.013368,0.02782,0.032705,0.021824,15.000000000000004,15.000000000000007,15.000000000000007,15.0,14.999999999999998,15.000000000000009,0.0,-0.03716720691882915,-0.041603125120830524,-0.05661970327111331,-0.05525038513571201,-0.04376113549684106
0,0.21667680187517738,0.0,0.21667680187517738,0.0,2.500992907801424,0.0,0.0,0.0,4.162107536000001,0.0,0.2670848018751777,1.1102230246251565e-16,0.0,0.0,0.019642,0.0,0.0,0.0,0.032844,0.004248,0.003845,0.007123,0.007348,0.028095,0.016686,0.002366,0.012632,0.004936,0.031308,0.014739,15.00000000000045,15.000000000000455,15.000000000000455,15.000000000000446,15.000000000000446,15.000000000000455,0.0,-0.022947786974238812,-0.025851414911116904,-0.03408068621721241,-0.03370245880573485,-0.02726398812155841
0,0.18267723166524807,0.0,0.18267723166524807,0.0,3.712907801418464,0.0,0.0,0.0,1.5334722453333336,0.0,0.20103823166524828,0.0,0.0,0.0,0.000217,0.0,0.029017,0.030181,0.026136,0.0,0.005952,0.030039,0.026981,0.007635,0.030421,0.007631,0.00884,0.010275,0.032347,0.015773,15.000000000000002,15.000000000000007,15.000000000000007,14.999999999999998,14.999999999999998,15.000000000000009,0.0,-0.017542067860042688,-0.01991338976469177,-0.02524478113656687,-0.02502712038557895,-0.021067003749905694
0,0.15101398754695655,0.0,0.15101398754695655,0.0,2.8504964539006856,0.0,0.0,0.0,1.7193776906666671,0.0,0.2141639875469563,0.0,0.0,0.0,0.023271,0.008925,0.021298,0.002362,0.0141,0.02869,0.008848999999999663,0.005656,0.026861,0.010515,0.009948,0.028655,0.015167,0.026537,0.032084,0.026534,15.0,15.000000000000005,15.000000000000007,14.999999999999996,15.0,15.000000000000007,0.0,-0.017639745134816066,-0.019442490414621733,-0.02848295943393041,-0.028004445478356087,-0.020319500053205562
0,0.11451474446808424,0.0,0.11451474446808424,0.0,1.822411347517688,0.0,0.0,0.0,1.6075401333333335,0.0,0.09904613978008905,0.0,0.0,0.0,0.005183,0.031057604687995302,0.0,0.022299,0.033181,0.007003,0.014485,0.017182,0.011342,0.007033,0.020299,0.007933,0.031911,0.029964,0.003613,0.002827,15.0,15.000000000000004,15.000000000000004,14.999999999999995,14.999999999999995,15.000000000000004,0.0,-0.008177553554310036,-0.009024789138223271,-0.013143059533595385,-0.012302017582419961,-0.009436957058764548
0,0.14585807512056753,0.0,0.14585807512056753,0.0,3.687943262411346,0.0,0.0,0.0,1.4984364800000003,0.0,0.2264980751205678,0.0,0.0,0.0,0.01122,0.01048899999999997,0.017979,0.0,0.023947,0.0,0.010456,0.011173,0.031907,0.029212,0.025417,0.007141,0.018526,0.008318,0.024285,0.021098,15.0,15.000000000000007,15.000000000000007,14.999999999999998,14.999999999999998,15.000000000000009,0.0,-0.019968840221527565,-0.02278217103932933,-0.028130384262501043,-0.028237096364742212,-0.02415081600064247
0,0.37387311604067985,0.0,0.37387311604067985,0.0,4.725488870847076,0.0,0.0,6.200437333333333,1.4428991466666667,0.0,0.44269111604068023,0.0,0.0,0.0,0.003224,0.0,0.017678,0.019035,0.00989,0.0,0.017047,0.025038,0.003092,0.021848,0.025954,0.031184,0.00516,0.026004,0.020207,0.027281,15.000000575844284,15.000000575844291,15.000000575844291,15.000000575844282,15.000000575844282,15.000000575844293,0.0,-0.03726851433647906,-0.04155145029237464,-0.05765294306186167,-0.05564177237773138,-0.043635037006945085
0,0.4003756522212495,0.0,0.4003756522212495,0.0,7.415602836878387,0.0,0.0,5.1351786666666674,1.5374360746666669,0.0,0.4430616522212498,0.0,0.0,0.0,0.020124,0.015295,0.010805,5.551115123125783e-17,0.019306,0.020689,0.01922,0.007488,0.02825,0.030485,1.9e-05,0.015756,0.03229,0.013546,0.01284,0.022427,15.000000000000002,14.999999999999998,14.999999999999998,15.000000000000005,15.000000000000007,14.999999999999998,0.0,-0.03668547171587762,-0.04054786017184119,-0.05863339354999261,-0.05528700761003158,-0.04242685657903196
0,0.04035700000000001,0.0,0.04035700000000001,0.0,5.911715561524034e-15,0.4986632996137972,0.0,0.0,2.504622346666667,0.3916790470528512,1.9949319973733282e-17,0.0,0.0,0.0,0.024324,0.0,0.03097,0.006347,0.024933,0.030996,0.023626,0.000814,0.026904,0.008829,0.000649,0.026917,0.018073,0.005152,0.008491,0.006638,14.000000000000004,14.000000000000007,14.000000000000007,14.0,14.0,14.000000000000009,0.0,0.0006788319273090649,0.001147567501395955,-0.0010302272779161153,0.0005015181484779937,0.0013756006134647003
