,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099994,0.099618,0.089558,0.10695,0.106678,0.091384,0.093062,0.11017,0.089248,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169107,0.475673,0.484088,0.156658,0.456478,0.179902,0.380342,0.157684,0.158549,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.900756,0.810895,0.629438,0.794583,0.723407,0.59058,0.637551,0.688267,0.355617,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873253,0.949697,0.830403,0.871456,0.691502,0.778743,0.679085,0.867684,0.568936,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.870489,0.74861,0.916129,0.990969,0.915971,0.697394,0.416365,0.667036,0.427479,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.818163,0.873374,0.706255,0.728339,0.317255,1.066066,0.528582,1.092314,0.5484,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427935,0.218646,0.711644,0.776181,0.835623,0.536741,1.503941,0.464787,2.632294,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377296,0.439796,0.250341,0.421006,0.38227,0.354409,0.414835,0.519067,0.341176,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298221,0.225933,0.181512,0.314048,0.559407,0.257937,0.287791,0.382034,0.27123,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08674,0.158958,0.224321,0.199641,0.078216,0.112062,0.127312,0.02916,0.16726,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157172,0.112686,0.105934,0.114533,0.09056,0.179537,0.114592,0.228595,0.085876,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118299,0.100869,0.158161,0.116226,0.246935,0.112497,0.06534,0.187642,0.075854,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176879,0.139845,0.178044,0.190786,0.088909,0.112304,0.087515,0.298092,0.104469,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761687,0.686875,0.607931,0.705406,0.654305,0.485745,0.730939,0.584748,0.497968,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608907,0.494245,0.428938,0.493449,0.247344,0.236991,0.615138,0.303285,0.1305,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202601,0.256541,0.499392,0.043669,0.772617,0.040357,0.456953,0.064329,0.53312,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124323,0.093077,0.084692,0.179581,0.333809,1.286187,0.079403,0.8435,0.275271,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27782,0.289662,0.283099,0.164615,0.137644,0.168776,0.172763,0.167743,0.152001,33,0
