,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.044539,0.007199,0.0,0.0,0.003122,0.031029,0.0,0.013941,0.002882,0.0,0.0,0.07451,0.043366,0.0,0.0,0.049906,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113494,0.048328,0.093168,0.044309,0.121895,0.356208,0.178292,0.105993,0.369548,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.840176,0.77247,0.579609,0.815886,0.782959,0.389578,0.265678,0.214988,0.62592,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.834472,0.885644,0.725075,0.91583,1.000295,0.47105,0.375074,0.548053,0.872666,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736254,1.051516,0.697554,0.885172,1.010026,0.484387,0.314752,0.561991,0.983594,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.788371,0.301825,1.035683,0.746208,0.908827,0.410019,2.304076,0.487811,0.389977,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.739601,0.455633,0.866131,0.763459,0.465797,2.547033,0.623594,2.542139,0.402099,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365322,0.367435,0.343467,0.351105,0.370229,0.237492,0.263263,0.225859,0.34453,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229177,0.237204,0.216677,0.21209,0.218662,0.174758,0.153478,0.278253,0.186141,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538691,0.02916,0.182677,0.099272,0.072918,0.097559,0.08179,0.066497,0.066055,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079721,0.126489,0.151014,0.093824,0.096596,0.074899,0.206588,0.184301,0.045385,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048975,0.127189,0.114515,0.077077,0.071958,0.226717,0.170935,0.066544,0.055526,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107504,0.153691,0.145858,0.132347,0.117385,0.043066,0.083463,0.127141,0.186542,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411164,0.692928,0.373873,0.46757,0.563803,0.514378,0.226805,0.329742,0.241381,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323486,0.427287,0.400376,0.418536,0.432569,0.275947,0.219045,0.3863,0.397196,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344556,0.071735,0.040357,0.043669,0.207422,0.379397,1.132596,0.108419,1.38376,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084692,0.052326,0.073938,0.071986,0.06856,0.079403,0.065556,0.093077,0.075446,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195902,0.064038,0.071053,0.059811,0.395327,0.25473,0.287981,0.015883,0.128516,33,0
18,0.0,0.011068,0.050048,0.010688,0.0,0.0,0.0,0.031942,0.0,0.047906,0.0,0.0,0.0,0.106736,0.063969,0.008319,0.0,0.001793,34,0
19,0.0,0.03652,0.030842,0.0,0.001381,0.0,0.016574,0.002416,0.062049,0.008932,0.0,0.0,0.009766,0.0,0.01164,0.0,0.0,0.0,35,0
20,0.069845,0.061305,0.037941,0.052594,0.056696,0.016615,0.0,0.077227,0.034671,0.0,0.0,0.0,0.0,0.0,0.0,0.117338,0.0,0.0,36,0
21,0.036394,0.078296,0.086221,0.039492,0.059331,0.032348,0.0,0.077643,0.03328,0.0,0.0,0.0,0.0,0.0,0.0,0.126973,0.0,0.0,37,0
22,0.054279,0.105496,0.109284,0.126003,0.073874,0.017442,0.028232,0.101474,0.103176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0
23,0.08512,0.088382,0.070488,0.102197,0.055419,0.05393,0.043036,0.114142,0.095138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011217,0.0,0.076708,0.052597,0.065063,0.056736,0.001589,0.004352,0.005758,0.0,0.007948,16,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48585,0.4172,0.475984,0.390835,0.360663,0.358385,0.248344,0.516229,0.432271,17,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.394844,0.283173,0.381006,0.38687,0.299933,0.324537,0.344815,0.40579,0.354087,18,1
3,0.0,0.046967,0.0,0.176443,0.0,0.089072,0.0,0.0,0.0,0.014479,0.0,0.113206,0.0,0.07784,0.0,0.090818,0.121004,0.173558,19,1
4,0.0,0.0,0.331677,0.278671,0.0,0.0,0.0,0.0,0.0,0.342541,0.281429,0.0,0.0,0.091681,0.379699,0.159603,0.153983,0.036334,20,1
5,0.131804,0.190822,0.339539,0.0,0.118881,0.445819,0.337042,0.498591,0.285388,0.0,0.0,0.0,0.638377,0.0,0.0,0.0,0.0,0.0,21,1
6,0.574324,0.535514,0.0,0.536007,0.476138,0.118968,0.504327,0.315997,0.531563,0.0,0.0,0.242729,0.0,0.0,0.0,0.0,0.0,0.0,22,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829953,0.680475,0.702123,0.727894,0.56988,0.69049,0.832066,0.815736,0.808098,23,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.029391,0.686188,0.961518,0.926532,1.613034,0.973286,0.743212,0.963842,1.077175,24,1
