,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067507,0.080544,0.073871,0.059373,0.05589,0.062314,0.058074,0.069746,0.058177,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22035,0.194232,0.110283,0.233908,0.161908,0.199156,0.095918,0.100032,0.302202,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456026,0.461788,0.479212,0.526417,0.546464,0.527679,0.397258,0.435468,0.509857,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568025,0.60179,0.523102,0.545118,0.508043,0.565551,0.2565,0.214704,0.547987,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642397,0.530532,0.573147,0.484679,0.607414,0.59967,0.258086,0.311306,0.578054,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53957,0.466641,0.486645,0.412589,0.244157,0.230045,0.268527,0.231708,0.52302,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187938,0.253713,0.420483,0.416324,0.161062,0.409967,1.664313,1.194684,0.275421,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216208,0.245291,0.246812,0.222384,0.298177,0.20144,0.245312,0.25167,0.250362,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166554,0.124091,0.152518,0.150659,0.274252,0.203755,0.12876,0.174104,0.139778,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091615,0.054583,0.090788,0.092542,0.146291,0.054175,0.049637,0.02916,0.088132,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064042,0.06956,0.036266,0.088512,0.097582,0.063791,0.06884,0.05667,0.05149,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039364,0.046375,0.035565,0.057192,0.058578,0.057925,0.043305,0.055898,0.054061,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088465,0.071788,0.100096,0.157255,0.211923,0.111554,0.054013,0.129414,0.115081,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375239,0.527673,0.429612,0.524609,0.358489,0.394352,0.414415,0.416352,0.456963,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281617,0.292057,0.291583,0.382527,0.153257,0.377347,0.279967,0.232884,0.348479,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15021,0.294571,0.366776,0.043669,0.645685,0.040357,0.251719,0.150406,0.028923,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06856,0.093077,0.084692,0.071986,0.065556,0.073938,0.079403,0.052326,0.075446,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10123,0.093461,0.135067,0.143152,0.097891,0.225228,0.089749,0.524521,0.1081,33,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090883,0.07586,0.076125,0.077072,0.076893,0.072445,0.071445,0.073168,0.083989,34,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.370243,0.058263,0.058615,0.054067,0.146781,0.099912,0.054238,0.058652,0.063314,35,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050732,0.050558,0.236159,0.046384,0.04969,0.065559,0.046337,0.047396,0.048573,36,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049575,0.389628,0.054076,0.369397,0.162545,0.286793,0.21364,0.184649,0.364478,37,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051437,0.051131,0.053789,0.049869,0.05198,0.066601,0.049774,0.047918,0.049231,38,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051362,0.051514,0.052342,0.048342,0.04856,0.04666,0.047633,0.048896,0.047011,39,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091224,0.076671,0.072557,0.073097,0.06369,0.071102,0.084778,0.072423,0.070757,16,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273914,0.369758,0.381273,0.443533,0.428971,0.416815,0.239266,0.372663,0.398069,17,1
2,0.0,0.055674,0.032389,0.104313,0.005794,0.050216,0.0,0.026395,0.047116,0.004205,0.0,0.0,0.0,0.0,0.0,0.01207,0.0,0.0,18,1
3,0.071283,0.210504,0.124429,0.207809,0.079403,0.173016,0.017018,0.140935,0.153209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1
4,0.136179,0.380084,0.214849,0.36054,0.094878,0.280777,0.124185,0.335652,0.286206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470001,0.397072,0.417076,0.34302,0.174588,0.160476,0.198958,0.162139,0.453451,21,1
6,0.324763,0.598381,0.401129,0.579496,0.198539,0.510531,0.0,0.455888,0.467073,0.0,0.0,0.0,0.0,0.0,0.0,0.013741,0.0,0.0,22,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.590046,0.752126,0.662713,0.722574,0.679696,0.673071,0.696924,0.678072,0.67367,23,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576729,0.586962,0.600565,0.643303,0.597405,0.614166,0.522414,0.660847,0.626801,24,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436527,0.547553,0.488052,0.528065,0.498765,0.567344,0.437001,0.560893,0.545948,25,1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469963,0.516173,0.462131,0.597816,0.421361,0.577023,0.420276,0.532972,0.510796,26,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466795,0.521518,0.510073,0.555518,0.518649,0.565774,0.485493,0.511977,0.509046,27,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.554356,0.626471,0.535086,0.60077,0.484885,0.550465,0.490901,0.586442,0.568516,28,1
13,0.189132,0.036698,0.134759,0.039762,0.205882,0.170019,0.149956,0.148019,0.107408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.566991,0.670758,0.668553,0.708793,0.644894,0.704084,0.639682,0.706331,0.638706,30,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418285,0.672262,0.485875,0.603091,0.467479,0.562359,0.393716,0.579743,0.508622,31,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184793,0.377164,0.201334,0.319209,0.184559,0.300801,0.18531,0.314317,0.295454,32,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120648,0.145081,0.129886,0.129125,0.137074,0.161164,0.116843,0.176411,0.163137,33,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10477,0.094618,0.080924,0.289698,0.087971,0.293743,0.097336,0.084034,0.223219,34,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066651,0.180102,0.057296,0.062956,0.413796,0.076891,0.058905,0.060652,0.070931,35,1
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353753,0.056316,0.380845,0.046384,0.04969,0.048284,0.046337,0.047396,0.048573,36,1
