,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0749,0.059543,0.057317,0.060977,0.057905,0.062401,0.05809,0.058188,0.0598,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104221,0.351396,0.102249,0.344339,0.147775,0.380574,0.097578,0.263224,0.35065,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.330561,0.261868,0.425242,0.503306,0.199008,0.461244,0.662347,0.283852,0.301643,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406544,0.354855,0.430884,0.529668,0.25651,0.577141,0.664912,0.368651,0.546124,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.390131,0.413062,0.552932,0.473811,0.268808,0.553468,0.583466,0.497263,0.581384,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424542,0.469349,0.426733,0.445137,1.499061,0.233392,0.474941,1.011662,0.423938,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175228,0.767112,0.446521,0.425181,0.399729,0.499812,0.167131,0.179074,0.244206,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206066,0.239447,0.266599,0.234937,0.282886,0.208617,0.296347,0.198749,0.254641,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113831,0.109864,0.128618,0.141613,0.185529,0.127882,0.1552,0.158458,0.13887,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.226253,0.054367,0.409242,0.084159,0.126248,0.043353,0.064616,0.02916,0.06772,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040794,0.04773,0.045401,0.056214,0.045482,0.034697,0.044258,0.046103,0.206284,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03491,0.037198,0.032714,0.060596,0.043727,0.054748,0.05051,0.147841,0.031834,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100422,0.105278,0.069883,0.13273,0.09399,0.117043,0.094667,0.089003,0.225577,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104454,0.397529,0.442776,0.502353,0.344243,0.363192,0.476203,0.188612,0.330721,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213701,0.247992,0.262458,0.368357,0.328606,0.361236,0.31676,0.174009,0.330787,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238096,0.577291,0.369343,0.043669,0.081014,0.040357,0.317776,0.61461,0.028923,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06856,0.093077,0.084692,0.071986,0.065556,0.073938,0.079403,0.052326,0.075446,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091748,0.086454,0.095126,0.142243,0.165827,0.166943,0.096203,0.159176,0.148724,33,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078358,0.075018,0.076161,0.077016,0.071598,0.072411,0.074814,0.071294,0.103714,34,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052559,0.056266,0.052633,0.057242,0.056087,0.058683,0.054242,0.057918,0.061261,35,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049137,0.220091,0.230381,0.046411,0.049717,0.04831,0.046363,0.04742,0.048599,36,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361386,0.051341,0.054121,0.357921,0.359276,0.398726,0.213682,0.298372,0.511092,37,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051459,0.05115,0.053813,0.049891,0.051999,0.051471,0.049795,0.047939,0.049251,38,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051398,0.051549,0.052378,0.048377,0.048595,0.046697,0.047669,0.048932,0.047048,39,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090329,0.061543,0.074795,0.064473,0.070558,0.068499,0.07559,0.076415,0.076491,16,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271324,0.36196,0.350674,0.419601,0.428649,0.410381,0.204844,0.368747,0.394292,17,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234823,0.16613,0.313076,0.397035,0.10327,0.3655,0.566609,0.188114,0.205905,18,1
3,0.042725,0.227229,0.074315,0.247971,0.121953,0.224815,0.064361,0.18511,0.163533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1
4,0.080029,0.402702,0.173503,0.378307,0.182632,0.378053,0.136335,0.399331,0.273404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1
5,0.310826,0.509876,0.475625,0.546648,0.279951,0.528604,0.17261,0.526957,0.399578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204567,0.796451,0.47586,0.45452,0.429068,0.528656,0.19647,0.208413,0.273545,22,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565726,0.522598,0.583224,0.583762,0.580241,0.514302,0.543293,0.652389,0.598631,23,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448805,0.417391,0.417886,0.453922,0.45592,0.418405,0.360058,0.499717,0.480842,24,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364481,0.357001,0.35784,0.431192,0.383113,0.365139,0.325397,0.414577,0.383399,25,1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379352,0.385741,0.334998,0.378422,0.323731,0.359095,0.295599,0.460982,0.427847,26,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.407381,0.366812,0.307268,0.346593,0.361895,0.342026,0.364023,0.425004,0.421759,27,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423013,0.395156,0.397766,0.425972,0.376104,0.430169,0.377708,0.461547,0.448001,28,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287704,0.579307,0.62183,0.683691,0.523631,0.540132,0.603488,0.371862,0.509218,29,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49881,0.592719,0.491931,0.544129,0.505026,0.552281,0.495797,0.702352,0.542398,30,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318321,0.544708,0.353549,0.486665,0.488216,0.484645,0.261148,0.539079,0.496578,31,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24317,0.300212,0.19496,0.248249,0.237677,0.264882,0.202647,0.310402,0.232473,32,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13157,0.139645,0.120106,0.15173,0.12243,0.179643,0.134004,0.195205,0.163403,33,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089457,0.097018,0.082827,0.102679,0.285658,0.093233,0.087264,0.105986,0.088375,34,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062131,0.061203,0.057299,0.271567,0.080409,0.250584,0.054242,0.060737,0.067573,35,1
