,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01724,0.059438,0.041622,0.049479,0.043818,0.017772,0.038927,0.036642,0.005702,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286353,0.159926,0.162561,0.250926,0.295926,0.138195,0.240535,0.222196,0.274621,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433661,0.266543,0.425557,0.491024,0.455961,0.312153,0.44288,0.424068,0.42986,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.501692,0.55536,0.540219,0.544185,0.52582,0.491813,0.583383,0.478136,0.532952,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573749,0.348022,0.442708,0.44863,0.587463,0.463493,0.613376,0.537635,0.608073,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458935,0.423938,0.49061,0.388678,0.4775,0.424021,0.474999,0.367619,0.457053,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43297,0.681796,0.533554,0.389358,0.418206,0.551471,0.227472,0.364659,0.401655,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201626,0.216412,0.288996,0.190157,0.215865,0.229482,0.253511,0.188053,0.211624,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10471,0.094842,0.135114,0.120351,0.110834,0.104081,0.130037,0.119153,0.10518,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052182,0.059874,0.059568,0.054925,0.04012,0.030658,0.068233,0.045728,0.043692,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035659,0.227877,0.050593,0.040555,0.041284,0.034725,0.05457,0.040604,0.040071,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028613,0.029865,0.065069,0.033958,0.024847,0.033102,0.051035,0.026849,0.026671,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05967,0.087803,0.055217,0.110985,0.064486,0.097894,0.085971,0.093414,0.099052,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.295056,0.37643,0.319621,0.380242,0.306711,0.386083,0.340546,0.490384,0.332094,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23594,0.263859,0.161694,0.284854,0.180135,0.335893,0.242653,0.343152,0.270211,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213906,0.247977,0.25887,0.303891,0.304129,0.243715,0.271881,0.310584,0.239246,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208776,0.227719,0.236975,0.27047,0.220086,0.271485,0.197355,0.190596,0.206136,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126432,0.150512,0.087857,0.13969,0.147841,0.165914,0.141606,0.159207,0.127773,33,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04319,0.008763,0.064429,0.054929,0.056159,0.036107,0.031924,0.024661,0.0602,34,0
19,0.053642,0.072504,0.0,0.030675,0.024218,0.053106,0.022167,0.040219,0.030072,0.0,0.0,0.000537,0.0,0.0,0.0,0.0,0.0,0.0,35,0
20,0.015758,0.006896,0.020283,0.011208,0.0,0.022459,0.0108,0.03997,0.01909,0.0,0.0,0.0,0.0,0.011145,0.0,0.0,0.0,0.0,36,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038232,0.057409,0.0415,0.055433,0.03929,0.011911,0.017945,0.032196,0.037716,37,0
22,0.028255,0.042587,0.013988,0.03835,0.003861,0.0,0.01751,0.038087,0.023732,0.0,0.0,0.0,0.0,0.0,0.037912,0.0,0.0,0.0,38,0
23,0.031721,0.027291,0.032577,0.03237,0.02545,0.02784,0.029371,0.031121,0.02627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063973,0.031789,0.055014,0.083482,0.060715,0.080117,0.043347,0.064346,0.063349,16,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35404,0.299756,0.313981,0.357903,0.357895,0.327026,0.298828,0.302519,0.333879,17,1
2,0.0,0.054583,0.027319,0.0,0.0,0.053316,0.0,0.0,0.0,0.081042,0.0,0.0,0.024481,0.049227,0.0,0.054487,0.0,0.011729,18,1
3,0.0,0.092856,0.0,0.123674,0.04019,0.045374,0.0,0.0,0.081579,0.026367,0.0,0.0,0.0,0.0,0.0,0.082097,0.0,0.0,19,1
4,0.0,0.267197,0.126653,0.263361,0.067069,0.277254,0.0,0.273382,0.119617,0.019356,0.0,0.0,0.0,0.0,0.0,0.050839,0.0,0.0,20,1
5,0.078676,0.346897,0.0,0.273779,0.05803,0.325884,0.121112,0.145701,0.010344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1
6,0.12465,0.0,0.228951,0.251326,0.0,0.242634,0.11677,0.428644,0.201868,0.0,0.0,0.0,0.0,0.031272,0.0,0.0,0.0,0.0,22,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553263,0.541185,0.631358,0.597814,0.582857,0.611435,0.589384,0.559243,0.606169,23,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433782,0.515313,0.52893,0.552976,0.430848,0.532915,0.459221,0.485891,0.515438,24,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347305,0.497088,0.426485,0.507834,0.369154,0.454363,0.415928,0.453664,0.389188,25,1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.370276,0.459734,0.434784,0.448125,0.387065,0.447227,0.449449,0.489149,0.433029,26,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364042,0.461521,0.438672,0.462053,0.411041,0.45862,0.31265,0.480845,0.457831,27,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385165,0.536396,0.211406,0.525428,0.384334,0.507879,0.376619,0.486981,0.459336,28,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292625,0.280812,0.318102,0.380966,0.304711,0.387024,0.339803,0.495189,0.331035,29,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41499,0.519536,0.516826,0.520802,0.350163,0.518605,0.392422,0.492318,0.412864,30,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256379,0.417366,0.398569,0.454022,0.389858,0.453868,0.339362,0.417154,0.315648,31,1
