Iteration,"DAs_load
E_DAs_L","DAs_generation
E_DAs_G","DAs_demand_bid
b_t","DAs_supply_offer
o_t",EVs_Charge,EVs_Discharge,TCL_Power,SL_Power,Inflexible_loads,Solar_Power,Gen1,Gen2,Gen3,Gen4,CDA1_supply,CDA2_supply,CDA3_supply,CDA4_supply,CDA5_supply,CDA6_supply,CDA7_supply,CDA8_supply,CDA1_demand,CDA2_demand,CDA3_demand,CDA4_demand,CDA5_demand,CDA6_demand,CDA7_demand,CDA8_demand,Bus1_price,Bus2_price,Bus3_price,Bus4_price,Bus5_price,Bus6_price,Theta_bus_1,Theta_bus_2,Theta_bus_3,Theta_bus_4,Theta_bus_5,Theta_bus_6
0,0.057702425075644596,0.0,0.057702425075644596,0.0,0.0,0.0,0.0,0.0,11.719679053333332,0.1791940382044291,0.07406942507564457,0.0,0.0,0.0,0.011816,0.03068,0.028462,0.009755,0.024429,0.003685,0.0,0.021882,0.031846,0.008442,0.018566,0.017984,0.03078,0.022159,0.016509,0.00079,15.0,15.000000000000007,15.000000000000007,14.999999999999996,15.0,15.000000000000007,0.0,-0.007587086576092078,-0.009236877330623018,-0.0075952391642003445,-0.008512711704731552,-0.010039476793552186
0,0.3138217612328278,0.0,0.3138217612328278,0.0,1.7333333333333332,0.0,0.0,20.893000000000004,20.449994466666666,0.005592574711037718,0.3065017612328279,2.220446049250313e-16,0.0,0.0,0.030079,0.012906,0.017991,0.0,0.030085,0.023472,0.0,0.024048,0.026414,0.00915,0.008046,0.007612,0.029335,0.007101,0.026031,0.017572,15.000000000000002,15.000000000000007,15.000000000000007,14.999999999999998,14.999999999999998,15.000000000000009,0.0,-0.033086508063569026,-0.04108096212565597,-0.028863180134078813,-0.03232337369225413,-0.04497014899315491
0,0.2552636550751772,0.0,0.2552636550751772,0.0,1.9999999999999998,0.0,0.0,11.610679999999995,26.11722832,0.0,0.3114716550751767,0.0,0.0,0.0,0.027296,0.002787,0.028599,0.031848,0.001985,0.01539499999999867,0.021881,0.007841,0.027037,0.010714,0.033228,0.028837,0.000124,0.03303,0.031786,0.029084,15.0,15.000000000000002,15.000000000000002,14.999999999999998,14.999999999999995,14.999999999999998,0.0,-0.03261703638198249,-0.040046497046333236,-0.03085789480438672,-0.034961887911271354,-0.043660822755630005
0,0.34482128571063847,0.0,0.34482128571063847,0.0,5.588652482269501,0.0,0.0,17.643853333333336,27.031042106666664,0.0,0.40029128571063877,0.0,0.0,0.0,0.00668,0.0,0.028061,0.0,0.010114,0.0,0.002648,0.017544,0.03227,0.003074,0.00261,0.000919,0.020919,0.032014,0.007671,0.02104,15.000000000000002,15.000000000000007,15.000000000000007,14.999999999999998,14.999999999999998,15.000000000000009,0.0,-0.04271801823734306,-0.05281838462425515,-0.038443450782067075,-0.043661776285140494,-0.05773206753541214
0,0.43118188686382997,0.0,0.43118188686382997,0.0,9.727659574468072,0.0,0.0,23.032826666666672,26.800713826666662,0.0,0.49285788686383025,2.220446049250313e-16,0.0,0.0,0.0,0.010676,0.0,0.024185,0.021298,0.0,0.0,0.024632,0.016495,0.008995,0.011257,0.023349,0.020747,0.01525,0.023825,0.022549,15.000000000000007,15.000000000000009,15.00000000000001,15.0,15.0,15.00000000000001,0.0,-0.052168493512627076,-0.06430902516823546,-0.04798295681763487,-0.05371299484655791,-0.07021521912629058
0,0.26766822555744674,0.0,0.26766822555744674,0.0,4.851063829787233,0.0,0.0,0.77096,26.32013192,0.0,0.30184322555744686,0.0,0.0,0.0,0.011729,0.007077,0.0,0.019463,0.0,0.025774,0.026093,0.029183,0.019165,0.020827,0.001542,0.025185,0.028223,0.017906,0.031181,0.009465,15.000000000000004,15.000000000000009,15.00000000000001,15.0,15.0,15.00000000000001,0.0,-0.03211192095063468,-0.03965915407938872,-0.029140366810483348,-0.03144832388254504,-0.04333077439796751
0,0.31567248333333325,0.0,0.31567248333333325,0.0,5.199999999999999,0.0,0.0,13.504426666666662,26.296736666666668,0.0,0.37927048333333363,2.220446049250313e-16,0.0,0.0,0.006252,0.00944,0.003916,0.020076,0.00266,0.012386,0.009986,0.021751,0.002799,0.030556,0.016735,0.004451,0.019891,0.03058,0.016017,0.029036,15.000000000000002,15.000000000000002,15.0,15.000000000000005,15.000000000000007,14.999999999999998,0.0,-0.039906614117628955,-0.049084283487410924,-0.037286846348759825,-0.04160847336160759,-0.053549087576595406
0,0.21881782863546084,0.0,0.21881782863546084,0.0,8.624113475177298,0.0,0.0,0.0,21.999026719999996,0.0,0.22287882863546088,1.1102230246251565e-16,0.0,0.0,0.0,0.02653,0.018309,0.025444,0.000346,0.028426,0.026967,0.0,0.032464,0.007294,0.000758,0.024707,0.001426,0.029863,0.026983,0.006588,15.000000000000002,15.000000000000007,15.000000000000007,14.999999999999998,14.999999999999998,15.000000000000009,0.0,-0.02432931117578138,-0.030328935469377195,-0.020578970220599718,-0.023462567469737503,-0.03324766635848674
0,0.07567463149503549,0.0,0.07567463149503549,0.0,0.39999999999999997,0.0,0.0,0.0,13.563295093333332,0.0,0.08089463149503558,0.0,0.0,0.0,0.020319,0.014613999999999848,0.0,0.0,0.01873,0.022337,0.018678,0.021241,0.024671,0.014208,0.000916,0.029069,0.010038,0.008068,0.029744,0.004425,14.999999999999998,15.000000000000004,15.000000000000005,14.999999999999996,14.999999999999995,15.000000000000005,0.0,-0.008587521923792385,-0.010597393459846378,-0.007837820570309404,-0.0080332116048343,-0.011575167041716277
0,0.0437565832921986,0.0,0.0437565832921986,0.0,1.3078014184397162,0.0,0.0,0.0,5.04351524,0.0,0.05629858329219867,0.0,0.0,0.0,0.01029,0.018301,0.001872,0.019919,0.030127,0.0003610000000000002,0.03098,0.025842,0.025613,0.010796,0.006323,0.029322,0.001114,0.025332,0.026729,0.025005,15.000000000000002,15.000000000000004,15.000000000000002,15.000000000000002,15.0,15.0,0.0,-0.006060012418077454,-0.00751645956806825,-0.005327958267311626,-0.006515444343065407,-0.008225000149446207
