,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042371,0.005098,0.029079,0.06063,0.017986,0.030547,0.034668,0.051638,0.050125,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277658,0.179382,0.159254,0.293478,0.201515,0.198097,0.224669,0.22906,0.277267,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420047,0.233367,0.279702,0.490934,0.321951,0.320076,0.471943,0.413303,0.429049,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508984,0.477033,0.534748,0.508061,0.470192,0.507959,0.592429,0.511649,0.503299,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549794,0.559687,0.622445,0.438868,0.431841,0.358278,0.562325,0.54926,0.588838,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.540661,0.504073,0.521132,0.373455,0.453378,0.258437,0.495283,0.392869,0.425148,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395692,0.447422,0.476138,0.399896,0.315128,0.226233,0.365393,0.322595,0.399886,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209882,0.206341,0.258117,0.213206,0.143978,0.139057,0.217582,0.188435,0.214022,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104228,0.11297,0.137568,0.121727,0.931238,0.077258,0.123129,0.119153,0.117154,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045799,0.064768,0.03788,0.049081,0.043113,0.032842,0.049765,0.044281,0.03738,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04105,0.064368,0.061231,0.042328,0.031014,0.028498,0.049563,0.039351,0.033149,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02762,0.016442,0.052487,0.0241,0.026393,0.990734,0.027588,0.026593,0.026274,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058238,0.136767,0.09394,0.108574,0.045493,0.060462,0.058382,0.091499,0.095109,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29677,0.406559,0.283312,0.428291,0.249051,0.345375,0.276893,0.470274,0.339895,29,0
