,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057753,0.059438,0.041622,0.049479,0.043818,0.085637,0.058068,0.078357,0.056127,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107763,0.250184,0.308698,0.330408,0.105864,0.141457,0.095916,0.285865,0.346203,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633949,0.369679,0.501016,0.524966,0.684825,0.295267,0.6586,0.45346,0.476615,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614455,0.283666,0.518656,0.526143,0.596692,0.256485,0.642579,0.528866,0.523177,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609591,0.348866,0.582242,0.471267,0.617776,0.289986,0.584303,0.535132,0.610807,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.454806,0.437557,0.487402,0.377422,0.455715,0.252527,0.481234,0.381004,0.435678,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400774,1.084043,0.201688,0.404495,0.400018,1.652573,0.215443,0.337996,0.400092,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205697,0.171788,0.239947,0.199206,0.225794,0.17561,0.273042,0.203854,0.218759,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10776,0.11524,0.152774,0.124436,0.127571,0.119868,0.15764,0.136487,0.122601,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045473,0.03003,0.073242,0.06762,0.043581,0.058672,0.061354,0.050267,0.049323,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034269,0.039375,0.059274,0.046214,0.036943,0.033477,0.061691,0.042443,0.029603,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042754,0.322201,0.04409,0.029277,0.03938,0.028507,0.070354,0.026792,0.033381,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084096,0.064427,0.13098,0.11334,0.096472,0.082831,0.117106,0.075868,0.08857,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345349,0.306076,0.427961,0.486634,0.395059,0.307954,0.47321,0.48343,0.440589,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275378,0.219575,0.292436,0.254666,0.32384,0.228203,0.274108,0.34384,0.315316,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164787,0.294755,0.253606,0.347818,0.347329,0.285493,0.149764,0.326236,0.294568,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289167,0.228477,0.098013,0.258599,0.077282,0.085932,0.084851,0.239259,0.175136,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086889,0.153538,0.094049,0.211779,0.082416,0.115795,0.094288,0.086998,0.084974,33,0
