,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.028207,0.0,0.0,0.0,0.045292,0.0,0.031081,0.0,0.074173,0.0,0.037852,0.02988,0.030871,0.0,0.079916,0.0,0.037435,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145832,0.129876,0.103605,0.044966,0.251131,0.049748,0.350261,0.047169,0.334993,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.790286,0.649408,0.803923,0.819035,0.226833,0.513403,0.711981,0.227246,0.576394,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952689,1.032621,0.824427,0.819364,0.380811,0.658249,0.940346,0.386884,0.728126,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.030113,0.650267,0.969037,0.769358,0.281858,0.765492,0.94902,0.398313,0.906567,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.942713,0.726631,0.807606,0.675406,2.54985,0.622567,0.777854,0.833971,0.436635,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.460571,0.960911,0.605621,0.621292,1.081978,0.696206,0.436253,2.471374,0.385165,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349974,0.309518,0.410598,0.326991,0.432199,0.374944,0.373492,0.267038,0.327878,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195542,0.184523,0.220922,0.205991,0.177308,0.237982,0.221453,0.163587,0.184609,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611,0.057618,0.049897,0.106194,0.064145,0.306252,0.17007,0.02916,0.067076,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092398,0.074536,0.069792,0.181597,0.076659,0.125566,0.075693,0.096276,0.058718,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074228,0.060218,0.063472,0.081162,0.044041,0.122288,0.052561,0.0786,0.053341,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101044,0.112785,0.143747,0.180999,0.073448,0.323475,0.08677,0.079421,0.2403,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585317,0.684616,0.572629,0.63803,0.092067,0.500927,0.616205,0.454095,0.313183,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424537,0.281837,0.420416,0.4497,0.313427,0.567589,0.463502,0.196877,0.333338,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213779,0.192683,0.505173,0.043669,0.52311,0.040357,0.417291,0.110441,1.533099,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06856,0.093077,0.084692,0.071986,0.065556,0.073938,0.079403,0.052326,0.075446,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381915,0.067722,0.099758,0.089215,0.193165,0.082159,0.267073,0.009495,0.087284,33,0
18,0.0,0.031942,0.0,0.011753,0.0,0.066514,0.0,0.01351,0.0,0.100014,0.0,0.027359,0.0,0.072401,0.0,0.088744,0.0,0.008238,34,0
19,0.0,0.008902,0.030763,0.0,0.0,0.059627,0.0,0.038645,0.0,0.00052,0.0,0.0,0.009766,0.014919,0.0,0.025534,0.0,0.007824,35,0
20,0.056399,0.077246,0.066776,0.052883,0.0,0.09255,0.038745,0.061572,0.067265,0.0,0.0,0.0,0.0,0.099039,0.0,0.0,0.0,0.0,36,0
21,0.050361,0.077691,0.028581,0.039857,0.0,0.097595,0.003941,0.078326,0.032263,0.0,0.0,0.0,0.0,0.074778,0.0,0.0,0.0,0.0,37,0
22,0.087313,0.101768,0.116117,0.125789,0.0,0.109395,0.051716,0.108028,0.101356,0.0,0.0,0.0,0.0,0.042949,0.0,0.0,0.0,0.0,38,0
23,0.054912,0.114142,0.100213,0.102197,0.040133,0.070488,0.051064,0.088382,0.095138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0
0,0.0,0.066114,0.0,0.0,0.0,0.029279,0.0,0.018344,0.0,0.048053,0.0,0.001966,0.045369,0.086804,0.0,0.089247,0.0,0.065378,16,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38957,0.386401,0.518611,0.470135,0.591626,0.453096,0.386273,0.368708,0.523761,17,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305327,0.392751,0.464775,0.486021,0.395244,0.403894,0.42472,0.349762,0.341784,18,1
3,0.151611,0.304929,0.263626,0.0,0.0,0.0,0.0,0.389697,0.0,0.0,0.0,0.0,0.025339,0.088429,0.011419,0.050162,0.0,0.029329,19,1
4,0.0,0.163925,0.0,0.091894,0.114881,0.0,0.0,0.332402,0.0,0.215921,0.0,0.154845,0.0,0.0,0.005781,0.459373,0.0,0.019875,20,1
5,0.469148,0.992572,0.766195,0.939809,0.0,0.992648,0.457057,1.0187,0.599958,0.0,0.0,0.0,0.0,0.120993,0.0,0.0,0.0,0.0,21,1
6,0.087924,0.040282,0.270026,0.984249,0.584007,0.960518,0.302705,0.0,0.515302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259203,0.0,22,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.510675,0.470219,0.571299,0.487692,0.5929,0.535645,0.534193,0.427739,0.488579,23,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708195,1.146672,1.000612,1.38185,1.114398,1.450286,0.998495,1.276759,1.137533,24,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.723286,1.40946,1.057063,1.207779,0.815719,1.271077,1.021413,1.16225,1.06578,25,1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.627908,1.261893,1.177514,1.300405,0.688114,1.201139,0.928991,1.261784,1.000405,26,1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.323947,1.148558,1.134843,1.207615,1.087547,1.319716,0.791116,1.185289,1.020899,27,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766256,1.201424,1.24617,1.331116,1.087823,1.202346,0.948491,1.13535,1.103855,28,1
13,0.212852,0.050068,0.421666,0.264851,0.25811,0.408598,0.283254,0.116843,0.497899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306647,0.163947,0.302526,0.33181,0.195537,0.449699,0.345612,0.078987,0.215448,30,1
15,0.03249,0.028706,0.0,0.175555,0.0,0.193457,0.0,0.058636,0.0,0.0,0.0,0.258904,0.0,0.276841,0.0,0.171022,0.0,0.656388,31,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49798,0.588269,0.448849,0.683992,0.482353,0.706874,0.435569,0.579498,0.366047,32,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198068,0.197887,0.17018,0.23787,0.115699,0.167757,0.253903,0.177809,0.196905,33,1
18,0.0,0.12218,0.038915,0.073726,0.0,0.09607,0.0,0.100014,0.020371,0.014176,0.0,0.0,0.0,0.037079,0.0,0.039033,0.0,0.0,34,1
19,0.0,0.057497,0.0,0.046582,0.0,0.058563,0.0,0.057307,0.0,0.010486,0.0,0.001064,0.0,0.015749,0.0,0.026543,0.0,0.046435,35,1
20,0.0,0.098064,0.0,0.097387,0.0,0.099039,0.0,0.098585,0.0,0.155152,0.0,0.010002,0.0,0.123018,0.0,0.107683,0.0,0.023708,36,1
21,0.0,0.070837,0.0,0.07047,0.0,0.070837,0.0,0.073956,0.0,0.144143,0.0,0.062577,0.0,0.163215,0.0,0.111916,0.0,0.020226,37,1
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166842,0.002044,0.152388,0.006233,0.320944,0.0,0.27801,0.000128,0.214028,38,1
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,1
0,0.0,0.081805,0.034191,0.082084,0.0,0.1123,0.002271,0.094078,0.019063,0.00159,0.0,0.0,0.0,0.00151,0.0,0.0,0.0,0.0,16,2
1,0.040094,0.097262,0.098224,0.178623,0.055914,0.186726,0.0,0.16415,0.090276,0.0,0.0,0.0,0.0,0.0,0.0,0.007492,0.0,0.0,17,2
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074382,0.161806,0.198641,0.1907,0.164299,0.172949,0.191941,0.118817,0.110839,18,2
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456141,0.33663,0.33663,0.625595,0.298988,0.221978,0.650418,0.210559,0.629585,19,2
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305383,0.425587,0.430904,0.358048,0.383482,0.420146,0.369592,0.402832,0.520367,20,2
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.637774,1.11435,1.340727,1.340727,2.401529,2.280536,2.280536,2.280536,2.280536,21,2
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.631404,3.074393,2.853889,2.501561,1.873276,2.063531,1.304541,1.866449,1.091944,22,2
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250456,0.324522,0.328471,0.2957,0.284738,0.286714,0.270797,0.302795,0.317196,23,2
8,0.0,0.14317,0.05627,0.372002,0.639454,0.857157,0.022501,0.485702,0.085828,0.111067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2
9,0.354335,0.0,0.075626,0.0,0.0,0.00374,0.0,0.0,0.0,0.0,0.020546,0.0,0.003692,0.428693,0.0,0.077374,0.002944,0.046067,25,2
10,0.525698,0.753873,0.580893,0.527775,0.001755,0.066157,0.0,0.061623,0.043233,0.0,0.0,0.0,0.0,0.0,0.0,0.016546,0.0,0.0,26,2
11,0.0,1.091404,1.059914,0.53551,0.130034,0.423409,0.406373,0.423409,0.480196,0.083985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2
12,0.334884,0.050632,0.0,0.910395,0.679431,1.039165,0.644621,1.095656,0.787083,0.0,0.0,0.14503,0.0,0.0,0.0,0.0,0.0,0.0,28,2
