,offer_01,offer_02,offer_03,bids_01,bids_02,bids_03,Time,Iteration
0,0.0,0.0,0.0,0.031832,0.355032,0.026541,16,0
1,0.0,0.0,0.0,0.124475,2.0154,0.509812,17,0
2,0.0,0.0,0.0,2.452003,1.888401,1.777783,18,0
3,0.0,0.0,0.0,2.559604,3.301667,1.259405,19,0
4,0.0,0.0,0.0,1.885224,2.811357,0.162495,20,0
5,0.0,0.0,0.0,0.665178,1.62048,0.321438,21,0
6,0.0,0.0,0.0,3.317019,2.651985,1.018171,22,0
7,0.0,0.0,0.0,2.781336,3.125399,3.299784,23,0
8,0.0,0.0,0.0,3.054672,0.068188,0.085406,24,0
9,0.0,0.0,0.0,2.476803,2.993918,2.541661,25,0
10,0.0,0.0,0.0,0.775529,2.862496,3.328153,26,0
11,0.0,0.0,0.0,1.523707,3.255555,3.351571,27,0
12,0.0,0.0,0.0,2.55565,2.471923,1.857884,28,0
13,0.0,0.0,0.0,2.462128,3.321965,3.321581,29,0
14,0.0,0.0,0.0,3.207619,0.161398,3.310017,30,0
15,0.0,0.0,0.0,0.029713,0.027741,2.201583,31,0
16,0.0,0.0,0.0,2.182347,1.416604,0.20629,32,0
17,0.0,0.0,0.0,0.49203,0.102008,0.902169,33,0
18,0.0,0.0,0.0,0.018575,0.002249,0.98722,34,0
19,0.0,0.0,0.0,0.107091,0.002064,0.023142,35,0
20,0.0,0.0,0.0,0.021592,0.003311,0.012396,36,0
21,0.0,0.0,0.0,0.056774,0.041512,0.104631,37,0
22,0.006893,0.0,0.0,0.0,0.034196,0.305076,38,0
23,0.0,0.0,0.0,0.0,0.0,0.0,39,0
0,0.0,0.0,0.0,0.565897,0.423117,0.026541,16,1
1,0.0,0.0,0.0,3.13881,2.693763,1.193458,17,1
2,0.0,0.0,0.0,2.167149,1.603547,1.492929,18,1
3,0.0,0.0,0.0,0.983809,2.014324,0.926959,19,1
4,0.0,0.0,0.0,2.859481,3.427125,0.895102,20,1
5,0.0,0.0,0.0,1.391415,3.488108,2.543438,21,1
6,0.0,0.0,0.0,2.163177,1.498143,1.185748,22,1
7,0.0,0.0,0.0,0.137436,0.925392,0.518343,23,1
8,0.0,0.0,0.0,3.179739,2.693255,2.710473,24,1
9,0.0,0.0,0.0,2.226216,3.504417,4.430591,25,1
10,0.0,0.0,0.0,1.711068,0.943315,1.044818,26,1
11,0.0,0.0,0.0,0.156433,0.80431,0.435215,27,1
12,0.0,0.0,0.0,1.990044,1.419799,0.80576,28,1
13,0.0,0.0,0.0,1.712315,0.87569,0.228785,29,1
14,0.0,0.0,0.0,2.361918,3.331577,2.464316,30,1
15,0.0,0.0,0.0,3.604009,2.009161,4.558967,31,1
16,0.0,0.0,0.0,1.710439,2.261098,2.234382,32,1
17,0.0,0.0,0.0,0.512353,0.555909,2.150982,33,1
18,0.0,0.0,0.0,0.091611,0.002249,0.98722,34,1
19,0.0,0.095355,0.0,0.083132,0.0,0.027202,35,1
20,0.0,0.0,0.0,0.096446,0.061325,0.008022,36,1
21,0.052781,0.022448,0.0,0.0,0.0,0.041316,37,1
22,0.006893,0.0,0.0,0.0,0.13756,0.061142,38,1
23,0.0,0.0,0.0,0.0,-0.0,0.0,39,1
0,0.0,0.0,0.0,0.565897,0.444946,0.026541,16,2
1,0.0,0.0,0.0,1.050157,1.501065,1.110016,17,2
2,0.0,0.0,0.0,2.736857,2.173255,2.062637,18,2
3,0.0,0.0,0.0,2.89205,2.928341,2.014406,19,2
4,0.0,0.0,0.0,0.145919,2.07875,0.146921,20,2
5,0.0,0.0,0.0,1.859964,1.504657,0.183638,21,2
6,0.0,0.0,0.0,3.149442,2.484408,2.172013,22,2
7,0.0,0.0,0.0,1.889598,2.677554,3.470552,23,2
8,0.0,0.0,0.0,0.064469,1.432029,1.11592,24,2
9,0.0,0.0,0.0,2.256973,2.288137,0.005836,25,2
10,0.0,0.0,0.0,3.8452,2.713293,3.15064,26,2
11,0.0,0.0,0.0,2.093808,2.741685,3.611004,27,2
12,0.0,0.0,0.0,3.607774,2.869733,2.42349,28,2
13,0.0,0.0,0.0,2.228858,3.398983,3.23086,29,2
14,0.0,0.0,0.0,1.541655,1.007099,0.139838,30,2
15,0.0,0.049315,0.0,0.203655,0.0,1.230043,31,2
16,0.0,0.0,0.0,1.918605,1.713545,1.582934,32,2
17,0.0,0.0,0.0,0.621907,0.666705,1.84342,33,2
18,0.0,0.0,0.0,0.069471,0.010167,0.98722,34,2
19,0.0,0.010342,0.0,0.07064,0.0,0.012223,35,2
20,0.013108,0.039307,0.102774,0.0,0.0,0.0,36,2
21,0.014089,0.0,0.0,0.0,0.008462,0.052781,37,2
22,0.010953,0.0,0.0,0.0,0.003556,0.485163,38,2
23,0.0,0.0,0.0,-0.0,-0.0,0.0,39,2
