NO_Residents,EV_Type,Arrival,Depart,EV_demand,EV_Power,EV_Distance,EV_soc_low,EV_soc_up,EV_soc_arr,SL_loads1,SL_loads2,SL_low,SL_up,TCL_R,TCL_C,TCL_COP,TCL_MAX,TCL_Beta,TCL_temp_low,TCL_temp_up
4,Sedan,21,30,6.0,7,7.047,6.0,22.8,18.0,10.783,0,21,23,18.99,1.24,4.66,1.23,0.958,21,22
5,Small,18,30,4.0,3,11.225,4.0,15.2,12.0,10.783,0,30,39,21.98,2.33,4.8,0.94,0.981,21,23
3,SUV,21,32,13.5,7,10.478,13.5,51.3,40.5,15.242,0,29,32,17.66,3.03,4.71,1.17,0.981,20,23
3,Sedan,19,34,6.0,7,10.726,6.0,22.8,18.0,5.938,0,19,23,7.79,3.59,4.72,1.1,0.965,21,21
3,Sedan,19,29,6.0,7,13.946,6.0,22.8,18.0,10.783,0,29,39,11.56,3.3,4.69,0.99,0.974,21,22
5,Small,16,31,4.0,3,11.012,4.0,15.2,12.0,57.822,0,16,23,44.49,1.8,4.7,1.03,0.988,20,21
1,Small,18,30,4.0,3,8.94,4.0,15.2,12.0,10.783,0,18,23,46.74,1.28,4.7,0.97,0.983,21,22
3,Sedan,21,33,6.0,7,10.175,6.0,22.8,18.0,24.344,0,33,39,36.12,1.86,4.65,1.23,0.985,20,22
3,Small,19,34,4.0,7,8.737,4.0,15.2,12.0,15.242,0,19,23,35.04,3.53,4.72,1.16,0.992,19,22
5,Small,20,30,4.0,3,10.354,4.0,15.2,12.0,57.822,0,20,23,37.92,3.55,4.66,0.9,0.993,20,22
2,Small,18,33,4.0,7,6.303,4.0,15.2,12.0,86.377,0,18,23,47.04,2.96,4.8,0.95,0.993,20,22
5,Sedan,20,34,6.0,7,10.053,6.0,22.8,18.0,86.377,0,20,23,39.08,3.1,4.6,1.18,0.992,19,22
5,SUV,20,30,13.5,7,9.728,13.5,51.3,40.5,5.938,0,30,39,49.84,1.07,4.73,1.08,0.981,20,21
2,Sedan,20,29,6.0,3,14.293,6.0,22.8,18.0,5.938,0,29,39,36.7,2.26,4.71,1.02,0.988,21,21
1,Small,21,34,5.0,7,14.393,4.0,15.2,11.0,5.938,0,29,34,13.18,0.59,4.61,1.11,0.879,21,22
2,SUV,17,29,13.5,7,6.269,13.5,51.3,40.5,5.938,0,29,39,45.28,0.82,4.75,1.23,0.973,21,21
3,SUV,17,30,13.5,3,15.462,13.5,51.3,40.5,86.377,0,30,39,21.34,1.67,4.62,0.94,0.972,21,22
5,SUV,20,30,13.5,3,6.638,13.5,51.3,40.5,86.377,0,20,23,16.01,0.73,4.77,1.01,0.918,19,21
5,Small,18,33,5.0,3,12.025,4.0,15.2,11.0,3.045,0,18,23,32.39,2.44,4.67,1.2,0.987,20,22
2,Sedan,18,30,6.0,3,11.456,6.0,22.8,18.0,24.344,0,18,23,45.0,0.67,4.68,1.12,0.967,20,23
2,Truck,16,30,17.5,7,8.582,17.5,66.5,52.5,5.938,0,16,23,28.09,3.48,4.74,1.03,0.99,21,21
3,Small,18,30,4.0,7,8.993,4.0,15.2,12.0,86.377,0,18,23,21.85,2.48,4.62,1.04,0.982,21,23
5,Small,18,31,4.0,3,9.652,4.0,15.2,12.0,83.097,0,31,39,27.95,1.73,4.6,1.14,0.98,21,22
5,Small,17,30,4.0,7,11.227,4.0,15.2,12.0,24.344,0,17,23,20.93,2.99,4.74,0.99,0.984,21,21
3,Truck,18,32,17.5,3,8.752,17.5,66.5,52.5,24.344,0,18,23,49.95,2.47,4.74,0.94,0.992,19,22
1,Small,20,34,4.0,7,6.209,4.0,15.2,12.0,57.822,0,34,39,30.61,1.99,4.66,1.19,0.984,19,21
3,Sedan,18,31,6.0,3,11.745,6.0,22.8,18.0,3.045,0,18,23,40.66,3.42,4.77,0.99,0.993,21,23
5,Small,20,33,4.0,3,3.793,4.0,15.2,12.0,5.938,0,33,39,29.31,3.36,4.72,1.01,0.99,20,22
2,Sedan,20,31,6.0,3,9.366,6.0,22.8,18.0,83.097,0,20,23,7.63,1.12,4.74,1.19,0.89,21,23
2,Small,19,31,4.0,7,10.989,4.0,15.2,12.0,86.377,0,19,23,19.92,2.79,4.79,0.98,0.982,19,21
3,Small,19,32,5.0,7,13.18,4.0,15.2,11.0,15.242,0,19,23,31.01,3.2,4.68,1.21,0.99,20,21
5,Truck,18,32,17.5,3,15.072,17.5,66.5,52.5,15.242,0,29,32,35.76,3.54,4.71,1.22,0.992,20,23
1,Small,22,33,4.0,3,2.066,4.0,15.2,12.0,24.344,0,29,33,48.46,1.45,4.65,0.92,0.986,19,22
2,Sedan,19,32,7.0,7,15.583,6.0,22.8,17.0,15.242,0,32,39,7.66,2.93,4.7,1.24,0.956,20,21
4,Truck,20,29,17.5,3,10.936,17.5,66.5,52.5,10.783,0,20,23,39.3,1.59,4.78,0.97,0.984,21,21
4,Sedan,20,31,6.0,7,4.497,6.0,22.8,18.0,24.344,0,31,39,23.5,2.36,4.7,1.09,0.982,21,22
3,Sedan,18,30,6.0,7,3.446,6.0,22.8,18.0,3.045,0,18,23,34.47,2.86,4.69,0.99,0.99,20,22
3,Small,21,31,4.0,3,8.6,4.0,15.2,12.0,57.822,0,31,39,34.24,2.64,4.63,0.93,0.989,20,21
4,Small,21,32,4.0,3,9.734,4.0,15.2,12.0,83.097,0,32,39,46.24,1.76,4.77,1.04,0.988,20,22
3,Sedan,19,33,6.0,7,12.152,6.0,22.8,18.0,24.344,0,19,23,41.17,1.21,4.68,0.93,0.98,21,23
5,SUV,21,34,13.5,3,13.973,13.5,51.3,40.5,86.377,0,21,23,22.5,0.8,4.78,1.12,0.946,19,21
2,Sedan,22,33,6.0,3,14.172,6.0,22.8,18.0,83.097,0,33,39,12.32,2.86,4.79,0.99,0.972,21,21
