,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292275,0.140197,0.059477,0.152818,0.306162,0.133353,0.182398,0.28321,0.041479,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.126335,0.100523,0.070442,0.079368,1.026147,0.08307,0.829605,0.062609,0.28451,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8165,1.001634,0.636843,0.767297,1.598447,0.724436,2.046245,1.586082,0.71046,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.850805,1.397713,0.689525,0.998752,2.007768,0.953094,2.542802,1.958661,0.937775,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.558486,1.770705,0.877231,0.890558,2.388278,0.85406,2.542948,1.947637,1.128034,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161981,1.333343,1.504527,1.029911,1.783326,0.139269,2.04596,0.242962,0.962515,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.020517,2.456174,1.277769,3.33,0.977983,1.70526,0.253221,0.141179,0.903741,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.948679,0.891346,2.128964,1.18108,1.28205,1.917877,1.341326,1.146219,1.80251,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517115,0.654437,1.419579,1.282372,0.599394,1.641317,0.705111,0.920874,0.985475,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310255,0.594242,2.247302,0.96331,0.348906,1.400793,0.469135,0.02916,2.394976,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358835,0.547737,1.621522,1.244065,0.285106,1.739287,0.523594,0.913267,1.439711,26,0
