,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29027,0.195052,0.196501,0.259475,0.212896,0.063016,0.034282,0.307922,0.039442,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.148718,0.058474,0.299592,1.108583,1.15,0.941486,0.992926,0.26589,1.494067,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.771989,2.013041,2.223807,1.983596,1.670089,2.14923,1.577875,1.717629,2.026558,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.851656,2.983815,2.362295,2.435591,1.78855,2.457218,2.014636,2.098239,2.101262,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.555763,2.623699,2.6895,2.459455,2.094736,2.45908,2.035822,2.285744,2.691784,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.064279,2.411949,2.101419,2.251425,1.736686,2.033587,1.605518,0.28496,2.143578,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924006,0.444821,1.645395,1.686021,2.773567,1.477842,2.519485,2.36654,0.529208,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.898552,1.222495,1.068454,0.790782,1.133114,0.712856,1.210688,1.165538,1.08217,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.570562,0.588905,0.590047,0.455819,0.641096,0.492551,0.689962,0.91347,0.657901,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497149,0.304199,0.287302,0.277097,0.363204,0.129559,0.395774,0.02916,0.380934,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276708,0.278801,0.209266,0.246704,0.329786,0.339713,0.337126,0.593182,0.359456,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289747,0.239618,0.263261,0.233457,0.259337,0.251571,0.162985,0.680291,0.4042,27,0
