Iteration,"DAs_load
E_DAs_L","DAs_generation
E_DAs_G","DAs_demand_bid
b_t","DAs_supply_offer
o_t",EVs_Charge,EVs_Discharge,TCL_Power,SL_Power,Inflexible_loads,Solar_Power,Gen1,Gen2,Gen3,Gen4,CDA1_supply,CDA2_supply,CDA3_supply,CDA4_supply,CDA5_supply,CDA6_supply,CDA7_supply,CDA8_supply,CDA1_demand,CDA2_demand,CDA3_demand,CDA4_demand,CDA5_demand,CDA6_demand,CDA7_demand,CDA8_demand,Bus1_price,Bus2_price,Bus3_price,Bus4_price,Bus5_price,Bus6_price,Theta_bus_1,Theta_bus_2,Theta_bus_3,Theta_bus_4,Theta_bus_5,Theta_bus_6
0,0.039553411250542715,0.0,0.039553411250542715,0.0,0.0,0.0,0.0,0.0035302400000000005,0.035159037159999997,0.017008206334989198,0.059130411250542754,0.0,0.0,0.0,0.012161,0.017637,0.00706,0.030776,0.019456,0.009223,0.0,0.009855,0.021189,0.033204,0.014105,0.008327,0.013974,0.014119,0.007414,0.013413,15.0,15.000000000000007,15.000000000000007,14.999999999999998,14.999999999999998,15.000000000000009,0.0,-0.0065957014090060025,-0.008284824115693217,-0.005245577214191396,-0.006517064684384441,-0.00910655800739154
0,0.3505832441001873,0.0,0.3505832441001873,0.0,0.06502127659574458,0.0,0.0,0.04152608000000001,0.0613499834,0.0005481384487489656,0.33428524410018756,0.0,0.0,0.0,0.006984,0.028693,0.024331,0.0,0.031157,0.025704,0.0,0.014015,0.012339,0.032369,0.017977,0.014771,0.017426,0.000118,0.015343,0.004243,15.0,15.000000000000007,15.000000000000007,14.999999999999998,14.999999999999998,15.000000000000009,0.0,-0.036616376582939765,-0.04570193638341567,-0.03067416679275096,-0.03415379158916659,-0.05012193049251471
0,0.6608642704919148,0.0,0.6608642704919148,0.0,0.10995744680851059,0.0,0.0,0.030172159999999996,0.07835168496,0.0,0.7019792704919151,0.0,0.0,0.0,0.031222,0.024024,0.0,0.0,0.023873,0.0,0.0,0.0,0.008899,0.000383,0.006705,0.018344,0.006809,0.021237,0.026512,0.031345,15.0,14.99999999999999,14.999999999999993,15.0,15.0,14.999999999999995,0.0,-0.07392085547719428,-0.09094825220474212,-0.06892343401260773,-0.07757385097107443,-0.09923183570227317
0,0.8664854275965954,0.0,0.8664854275965954,0.0,0.3204255319148935,0.0,0.0,0.06377528000000002,0.08109312632000001,0.0,0.9224354275965951,0.0,0.0,0.0,0.020304,0.017899,0.021663,0.0,0.013193,0.018389,0.006438,0.020517,0.021601,0.022724,0.033172,0.033309,0.007956,0.024708,0.000789,0.030094,15.0,15.000000000000004,15.0,15.000000000000004,15.000000000000005,15.0,0.0,-0.09829924421531572,-0.12147754668872314,-0.0888028775604804,-0.0982902215737935,-0.1327534573250727
0,1.0864161857353185,0.0,1.0864161857353185,0.0,0.2562553191489361,0.0,0.0,0.06729064000000003,0.08040214148000002,0.0,1.1074541857353182,0.0,0.0,0.0,0.0,0.021365,0.017253,0.030879,0.01,0.000322,0.0,0.018265,0.005705,0.008894,0.014603,0.0323,0.02239,0.014256,0.010942,0.010032,15.0,15.000000000000004,15.0,15.000000000000004,15.000000000000005,15.0,0.0,-0.11886686701479914,-0.14728188795817912,-0.10532294303598139,-0.1174708105276966,-0.16110538677804123
0,1.3022672783131914,0.0,1.3022672783131914,0.0,0.5594042553191488,0.0,0.0,0.056072840000000006,0.07896039576,0.0,1.3005662783131906,0.0,0.0,0.0,0.012649,0.014492,0.00749,0.005544,0.0,0.029437,0.009304,0.009564,0.005447,0.003718,0.004033,0.02829,0.010539,0.002508,0.03223,1.4e-05,15.0,14.999999999999998,14.999999999999975,15.0,14.999999999999998,14.999999999999979,0.0,-0.13983874964886994,-0.17337746023020173,-0.12331754834331224,-0.13679620107693186,-0.18969356033319143
0,0.07898477714006863,0.0,0.07898477714006863,0.0,0.0,0.0,9.456714006850575e-05,0.0,0.07889021,0.0,0.07683277714006868,5.551115123125783e-17,0.0,0.0,0.021333,0.031794,0.01961,0.007125,0.015276,0.018186,0.013323,0.019333,0.032984,0.015124,0.01127,0.016188,0.002418,0.030131,0.021383,0.01433,15.0,14.999999999999996,14.999999999999993,15.000000000000004,15.000000000000004,14.999999999999995,0.0,-0.008297304618537747,-0.010303601862567255,-0.007230317970067657,-0.008515831772031739,-0.0112796366027984
0,2.635828375137451,0.0,2.635828375137451,0.0,1.8908085106382988,0.0,0.002341933275321703,0.0,0.06599708016,0.0,2.7161873751374506,0.0,0.0,0.0,0.0,0.00878,0.007341,0.001955,0.033203,0.019417,0.017874,0.0155,0.018565,0.029195,0.00767,0.013368,0.033282,0.02782,0.032705,0.021824,15.0,15.000000000000004,15.0,15.000000000000004,15.000000000000005,15.0,0.0,-0.2921700190357563,-0.36229845514042625,-0.25735976655353915,-0.28729298639061074,-0.39641493021406266
0,1.708094140599149,0.0,1.708094140599149,0.0,1.1845106382978725,0.0,0.0,0.0,0.04068988528000001,0.0,1.767155140599149,0.0,0.0,0.0,0.025867,0.005955,0.0,0.0,0.007105,0.004248,0.003845,0.007123,0.028095,0.016686,0.002366,0.012632,0.002442,0.004936,0.031308,0.014739,15.0,14.999999999999998,14.999999999999975,15.0,14.999999999999998,14.999999999999979,0.0,-0.18967974718589234,-0.23502474093600562,-0.16805546846048916,-0.18771288491495458,-0.25708442791777364
0,0.061707999999999937,0.0,0.061707999999999937,0.0,0.019708117414432232,0.0,0.026869336865567743,0.0,0.015130545720000003,0.0,0.0,0.0,0.0,0.0,0.00107,0.029017,0.030181,0.026136,0.031109,0.029966,0.005952,0.030039,0.007635,0.030421,0.007631,0.00884,0.00884,0.010275,0.032347,0.015773,15.0,15.000000000000002,15.0,15.000000000000009,15.000000000000009,15.0,0.0,-0.0017602606215301948,-0.002975726099481768,0.0026714543550281776,0.001588662534722453,-0.003567032564943344
