,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039553,0.028188,0.241259,0.086884,0.163922,0.06107,0.094132,0.095529,0.028809,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350583,0.058378,0.728459,1.040626,0.773837,0.262153,0.623151,0.076954,0.267383,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.660864,0.44668,1.180221,0.697111,1.431445,0.582374,1.196118,1.374504,0.585279,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.866485,0.710086,1.184519,0.822318,1.506143,0.746088,1.563819,1.614628,0.722441,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086416,0.841987,1.451135,0.884447,1.644108,0.879515,1.61257,1.860211,0.817191,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.302267,1.402271,1.262642,0.844049,0.533046,1.181704,1.372173,0.160449,0.721172,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078985,1.683659,1.085762,2.006425,0.122326,1.317339,0.130498,0.935346,1.16012,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.635828,2.48658,0.699262,1.214782,1.158646,1.229962,0.805667,0.782645,2.559447,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.708094,0.55282,0.547324,1.854883,0.812245,2.233912,0.549197,0.70598,2.071944,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061708,2.026412,0.354025,1.559126,0.504736,0.980963,0.602157,0.02916,2.202976,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.872793,1.14178,0.457011,1.728746,0.531403,1.535883,0.44053,1.028672,1.460477,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.492045,1.917487,0.564367,1.142818,0.512869,1.417869,0.194985,0.681994,1.51637,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.656086,1.444181,1.066959,0.757233,0.988105,1.439041,1.074613,0.665163,1.168055,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.729101,0.650996,1.555383,1.003826,1.987967,1.127556,1.567428,2.095197,0.495498,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484918,0.365291,1.584423,0.603367,1.912507,0.496935,1.684769,2.438665,0.356552,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372856,0.269595,1.671641,0.043669,1.288785,0.040357,1.632446,0.400172,0.285051,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06856,0.093077,0.084692,0.071986,0.065556,0.073938,0.079403,0.052326,0.075446,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093319,0.102004,0.495739,0.106253,0.505084,0.102615,0.424976,0.58487,0.095935,33,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077534,0.02813,0.182328,0.034363,0.129541,0.02494,0.169396,0.178259,0.034291,34,0
19,0.009496,0.001273,0.0,0.0,0.0,0.026457,0.022045,0.026237,0.017187,0.0,0.0,0.027436,0.009766,0.01043,0.0,0.0,0.0,0.0,35,0
20,0.04767,0.04345,0.055191,0.051949,0.05447,0.037924,0.0,0.0,0.045393,0.0,0.0,0.0,0.0,0.0,0.0,0.230199,0.011217,0.0,36,0
21,0.031707,0.034185,0.034938,0.037444,0.028856,0.033862,0.034678,0.033002,0.022145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049533,0.042383,0.045835,0.10768,0.072493,0.144423,0.006903,0.048495,0.014094,38,0
23,0.007409,0.009964,0.011349,0.013259,0.010253,0.012666,0.011516,0.012518,0.012287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352009,0.323219,0.353864,0.469391,0.328604,0.429206,0.275409,0.419853,0.424554,16,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.277717,1.193939,1.235759,1.359272,1.47875,0.967066,1.055936,0.915621,1.10605,17,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58151,0.367326,1.100867,1.827119,2.048722,1.446672,2.092373,0.816507,2.272191,18,1
3,0.0,0.0,0.0,0.16387,0.0,0.0,0.0,0.0,0.0,0.197648,0.041249,0.515682,0.0,0.519955,0.519955,0.641717,0.692526,0.095106,19,1
4,0.105739,0.0,0.0,0.0,0.0,0.202419,0.0,0.0,0.0,0.0,0.661646,0.144473,0.0,0.0,0.0,0.0,0.0,0.0,20,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.567746,1.66775,1.528121,0.695475,1.358526,1.03313,1.269989,1.43564,1.996363,21,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.182216,0.950731,0.352834,0.0,0.0,0.0,0.0,0.0,0.0,22,1
7,0.0,0.0,0.873871,0.0,0.0,0.0,0.39715,0.488575,0.71319,0.373474,0.898333,0.0,0.013428,0.0,0.028608,0.0,0.0,0.0,23,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.325935,0.170661,2.15604,2.419298,1.37666,1.37666,1.699045,1.699045,1.699045,24,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.480963,1.57258,1.77328,2.727919,2.727919,2.727919,3.407074,3.407074,3.407074,25,1
10,0.0,0.269342,0.046631,0.0,0.0,0.0,0.0,0.0,0.0,0.369582,0.0,0.0,0.796523,0.796523,0.796523,0.0,0.116169,0.547974,26,1
11,0.218042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2074,0.337675,0.0,0.0,0.0,0.0,0.0,0.0,27,1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.522597,1.310692,0.93347,0.0,0.0,0.0,0.0,0.0,0.0,28,1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.882919,1.804814,0.769463,0.0,0.544475,0.544475,0.847802,0.847802,0.0,29,1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067292,0.046767,1.763299,1.146272,0.686377,0.774387,1.00119,0.489934,0.195402,0.0,30,1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201617,0.098356,1.500402,1.723495,1.117546,1.355584,1.461207,2.023397,1.908276,31,1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.240269,2.268353,2.233142,2.581609,2.230194,2.422867,2.123673,2.229866,2.441187,32,1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915857,0.808241,0.873241,0.928791,0.950035,0.91975,0.689477,1.055964,0.916587,33,1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351434,0.29921,0.301334,0.410244,0.247171,0.320996,0.283949,0.340715,0.473325,34,1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018057,0.027117,0.045493,0.027823,0.028487,0.001096,0.005305,0.005508,0.030758,35,1
20,0.029456,0.031914,0.03079,0.013102,0.036254,0.032097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091644,0.004377,0.005159,36,1
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169025,0.166547,0.166511,0.164041,0.172509,0.167546,0.117414,0.166253,0.166807,37,1
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028301,0.063368,0.032495,0.032521,0.049061,0.070556,0.003448,0.012955,0.06007,38,1
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,1
