,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132027,0.068247,0.234049,0.093049,0.205123,0.189596,0.059766,0.114755,0.301904,16,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129183,0.078263,0.143827,0.076656,1.267742,0.943861,0.80794,0.094253,1.02857,17,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.235183,0.620824,1.775866,0.583415,1.684041,1.285614,1.560288,0.786508,1.592782,18,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.756381,0.931078,1.854902,1.056956,2.179931,1.582481,2.035024,0.764963,2.000677,19,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.622066,0.991785,1.994843,0.919779,2.325214,1.56917,1.916735,1.980521,2.04591,20,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.632974,2.681762,1.89728,0.964267,0.111514,0.675959,1.595492,0.143558,1.809998,21,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.335485,1.721461,1.447465,1.431717,0.076794,1.119726,0.152727,0.083221,0.082372,22,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943999,1.326495,0.969475,1.892824,1.58205,0.940771,0.983709,0.78673,1.069149,23,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.560349,1.582352,0.541451,2.139326,0.811649,0.669231,0.518048,2.2173,0.647858,24,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.475263,0.149089,1.508246,0.66814,0.472112,0.341476,0.02916,0.527147,25,0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408158,1.508163,0.260075,1.146278,0.503574,0.436223,0.507169,1.655991,0.394264,26,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37145,1.609211,0.308367,1.370223,0.691848,0.385529,1.638559,1.971185,0.340285,27,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.772682,1.294309,0.816576,1.202425,1.050914,0.879041,0.695974,1.860737,0.993842,28,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036911,0.517804,1.211283,1.307996,1.167031,1.171505,1.035023,1.891793,1.468999,29,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750922,0.371195,1.165359,0.556654,1.182464,1.562207,1.006959,0.681644,1.236168,30,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307863,0.268619,1.1553,0.043669,0.684529,1.116927,0.883954,0.472605,0.407508,31,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06856,0.093077,0.084692,0.071986,0.065556,0.073938,0.079403,0.052326,0.075446,32,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.370332,0.125777,0.361271,0.120901,0.314851,0.549835,0.201742,0.198754,0.422451,33,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190029,0.036694,0.058862,0.062304,0.078864,0.201805,0.071211,0.050583,0.116204,34,0
19,0.0,0.002704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024852,0.0,0.04221,0.009766,0.049266,0.037196,0.013891,0.031688,0.107781,35,0
20,0.0,0.011978,0.001014,0.020823,0.0,0.013765,0.0,0.016892,0.003864,0.007787,0.0,0.0,0.0,0.007442,0.0,0.005101,0.0,0.0,36,0
21,0.0,0.008471,0.0,0.008572,0.0,0.003353,0.0,0.0,0.0,0.070311,0.0,0.078244,0.0,0.049476,0.0,0.077408,0.006832,0.046869,37,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023274,0.051286,0.021361,0.128107,0.023893,0.043437,0.022808,0.021851,0.018632,38,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019628,0.005774,0.016304,0.004796,0.018831,0.003434,0.01828,0.002691,0.013061,39,0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363861,0.329919,0.364816,0.476955,0.340158,0.432672,0.287527,0.426627,0.436106,16,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.175346,1.142173,1.162486,1.214391,1.137735,0.813854,0.653265,1.059207,0.873895,17,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.561521,1.079741,0.310254,1.827119,2.220513,1.307868,2.253966,1.733334,2.1964,18,1
3,0.03456,0.0,0.0,0.171973,0.0,0.129315,0.0,1.338312,0.293752,0.0,0.133837,1.151364,0.0,0.0,0.0,0.0,0.0,0.0,19,1
