senario,EV,Arrival,Depart,Type,BatteryCapacity,Distance,Demand,alloc_charger,delay
1,1,8.0,21.0,small,16,14.0,5.0,20,0
1,2,7.0,17.0,sedan,24,30.0,13.0,20,0
1,3,7.0,15.0,small,16,33.0,13.0,11,0
1,4,8.0,18.0,sedan,24,58.0,24,11,0
1,5,6.0,16.0,sedan,24,25.0,11.0,20,0
1,6,10.0,17.0,truck,70,96.0,70,11,0
1,7,10.0,20.0,small,16,35.0,13.0,11,0
1,8,7.0,20.0,truck,70,46.0,38.0,20,0
1,9,10.0,15.0,truck,70,72.0,59.0,20,0
1,10,9.0,17.0,sedan,24,28.0,12.0,20,0
2,1,6.0,21.0,sedan,24,12.0,5.0,11,0
2,2,9.0,22.0,sedan,24,35.0,15.0,11,0
2,3,8.0,18.0,suv,54,11.0,6.0,11,0
2,4,7.0,21.0,suv,54,28.0,16.0,11,0
2,5,10.0,16.0,small,16,52.0,16,11,0
2,6,10.0,15.0,sedan,24,60.0,24,11,0
2,7,8.0,19.0,small,16,22.0,8.0,11,0
2,8,8.0,19.0,small,16,30.0,11.0,11,0
2,9,11.0,20.0,small,16,31.0,12.0,11,0
2,10,8.0,18.0,sedan,24,17.0,7.0,11,0
3,1,9.0,18.0,suv,54,52.0,30.0,NAN,0
3,2,6.0,20.0,truck,70,40.0,33.0,11,0
3,3,9.0,18.0,sedan,24,31.0,13.0,11,0
3,4,8.0,18.0,truck,70,52.0,43.0,11,0
3,5,7.0,19.0,small,16,32.0,12.0,11,0
3,6,7.0,17.0,small,16,27.0,10.0,NAN,0
3,7,9.0,20.0,small,16,45.0,16,11,0
3,8,7.0,18.0,truck,70,34.0,28.0,11,0
3,9,6.0,16.0,suv,54,34.0,20.0,11,0
3,10,11.0,20.0,sedan,24,22.0,9.0,11,0
4,1,7.0,18.0,truck,70,40.0,33.0,11,0
4,2,10.0,18.0,sedan,24,36.0,15.0,20,0
4,3,10.0,18.0,truck,70,47.0,38.0,20,0
4,4,10.0,17.0,small,16,50.0,16,11,0
4,5,11.0,18.0,truck,70,38.0,31.0,20,0
4,6,9.0,16.0,small,16,32.0,12.0,11,0
4,7,8.0,19.0,sedan,24,39.0,17.0,11,0
4,8,9.0,18.0,small,16,37.0,14.0,11,0
4,9,7.0,21.0,truck,70,72.0,59.0,20,0
4,10,10.0,19.0,small,16,46.0,16,11,0
