Model,Scenario,Number_of_EVs,EV_No,Arrival,Depart,EV_Type,BatteryCapacity,Distance,Demand,Alloc_charger,Delay
NoDelay,1,110,1,9.0,20.0,Sedan,24,23.564,10.0,19,0
NoDelay,1,110,2,13.0,21.0,Truck,70,67.083,55.0,19,0
NoDelay,1,110,3,11.0,20.0,Small,16,33.465,13.0,8,0
NoDelay,1,110,4,7.0,18.0,Small,16,61.75,16,8,0
NoDelay,1,110,5,10.0,21.0,Small,16,44.011,16,8,0
NoDelay,1,110,6,4.0,22.0,SUV,54,35.917,21.0,8,0
NoDelay,1,110,7,9.0,20.0,Sedan,24,43.76,19.0,19,0
NoDelay,1,110,8,10.0,18.0,SUV,54,36.107,21.0,8,0
NoDelay,1,110,9,13.0,19.0,SUV,54,56.288,32.0,19,0
NoDelay,1,110,10,10.0,20.0,Sedan,24,12.433,5.0,8,0
NoDelay,1,110,11,14.0,18.0,Small,16,74.861,16,8,0
NoDelay,1,110,12,8.0,19.0,Small,16,58.311,16,8,0
NoDelay,1,110,13,10.0,21.0,Small,16,30.118,11.0,8,0
NoDelay,1,110,14,6.0,19.0,Small,16,18.709,7.0,8,0
NoDelay,1,110,15,12.0,22.0,Truck,70,21.849,18.0,19,0
NoDelay,1,110,16,9.0,18.0,Small,16,62.004,16,8,0
NoDelay,1,110,17,7.0,20.0,Truck,70,73.008,60.0,19,0
NoDelay,1,110,18,10.0,18.0,SUV,54,47.267,27.0,19,0
NoDelay,1,110,19,7.0,20.0,Truck,70,74.357,61.0,19,0
NoDelay,1,110,20,8.0,24.0,Small,16,12.754,5.0,8,0
NoDelay,1,110,21,8.0,20.0,Sedan,24,31.56,14.0,19,0
NoDelay,1,110,22,8.0,21.0,Truck,70,57.208,47.0,19,0
NoDelay,1,110,23,8.0,16.0,Small,16,35.438,13.0,8,0
NoDelay,1,110,24,7.0,19.0,Sedan,24,34.842,15.0,19,0
NoDelay,1,110,25,7.0,18.0,Sedan,24,70.678,24,8,0
NoDelay,1,110,26,9.0,18.0,Small,16,73.439,16,8,0
NoDelay,1,110,27,7.0,17.0,SUV,54,30.161,17.0,19,0
NoDelay,1,110,28,7.0,19.0,Small,16,38.554,15.0,8,0
NoDelay,1,110,29,6.0,23.0,Sedan,24,24.662,11.0,19,0
NoDelay,1,110,30,11.0,21.0,Truck,70,53.646,44.0,19,0
NoDelay,1,110,31,9.0,18.0,Sedan,24,6.266,3.0,8,0
NoDelay,1,110,32,6.0,18.0,Sedan,24,67.722,24,19,0
NoDelay,1,110,33,11.0,22.0,SUV,54,43.868,25.0,19,0
NoDelay,1,110,34,8.0,22.0,Small,16,21.281,8.0,8,0
NoDelay,1,110,35,6.0,20.0,Sedan,24,61.397,24,19,0
NoDelay,1,110,36,8.0,18.0,Sedan,24,58.041,24,8,0
NoDelay,1,110,37,8.0,21.0,Small,16,46.713,16,8,0
NoDelay,1,110,38,8.0,19.0,SUV,54,41.864,24.0,8,0
NoDelay,1,110,39,7.0,21.0,Small,16,29.06,11.0,8,0
NoDelay,1,110,40,3.0,22.0,Sedan,24,41.374,18.0,19,0
NoDelay,1,110,41,9.0,20.0,Small,16,46.094,16,8,0
NoDelay,1,110,42,7.0,18.0,SUV,54,53.35,31.0,19,0
NoDelay,1,110,43,6.0,18.0,Sedan,24,51.694,22.0,19,0
NoDelay,1,110,44,7.0,19.0,Small,16,35.732,14.0,8,0
NoDelay,1,110,45,8.0,20.0,Small,16,14.491,5.0,8,0
NoDelay,1,110,46,7.0,19.0,Small,16,41.432,16.0,8,0
NoDelay,1,110,47,6.0,19.0,Sedan,24,44.953,19.0,19,0
NoDelay,1,110,48,8.0,18.0,SUV,54,58.77,34.0,19,0
NoDelay,1,110,49,10.0,17.0,Small,16,62.874,16,8,0
NoDelay,1,110,50,9.0,22.0,SUV,54,35.331,20.0,8,0
NoDelay,1,110,51,12.0,23.0,SUV,54,44.327,25.0,19,0
NoDelay,1,110,52,11.0,18.0,Sedan,24,35.383,15.0,19,0
NoDelay,1,110,53,11.0,22.0,Truck,70,26.64,22.0,8,0
NoDelay,1,110,54,11.0,19.0,Sedan,24,46.569,20.0,8,0
NoDelay,1,110,55,10.0,19.0,Sedan,24,43.166,19.0,19,0
NoDelay,1,110,56,8.0,18.0,Small,16,36.938,14.0,8,0
NoDelay,1,110,57,9.0,17.0,Truck,70,36.418,30.0,19,0
NoDelay,1,110,58,9.0,19.0,SUV,54,27.708,16.0,19,0
NoDelay,1,110,59,7.0,17.0,Small,16,60.809,16,8,0
NoDelay,1,110,60,9.0,20.0,SUV,54,57.647,33.0,19,0
NoDelay,1,110,61,14.0,17.0,Small,16,68.347,16,8,0
NoDelay,1,110,62,7.0,19.0,Small,16,32.159,12.0,8,0
